label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,threshold
1,2460944.928680556,2025-09-26T10:17:18.000,44.0,0.7539662069216311,11.454545454545455,3.3409090909090935,11.451868779466086,3.3539704178628256,1779.6042365162502,1743.17707781091,1799.8243529290464,96.89096326381296,80.50176673545494,125.34971063784683,1800
2,2460944.9308819445,2025-09-26T10:20:28.200,1.0,0,13.0,7.0,13.0,7.0,1797.776316728968,1797.776316728968,1797.776316728968,88.97845179479695,88.97845179479695,88.97845179479695,1800
3,2460944.934844445,2025-09-26T10:26:10.560,1.0,0,15.0,12.0,15.0,12.0,1798.7016911039295,1798.7016911039295,1798.7016911039295,84.25160855930537,84.25160855930537,84.25160855930537,1800
4,2460944.940611979,2025-09-26T10:34:28.875,101.0,0.8661898173536293,11.683168316831683,22.405940594059416,11.681008981608056,22.406226025714886,1788.4776169392055,1770.3222114433686,1799.8852478870654,98.7113533636001,84.67661715582466,126.60393840641271,1800
5,2460944.945303363,2025-09-26T10:41:14.211,1.0,0,13.0,32.0,13.0,32.0,1799.8616683145042,1799.8616683145042,1799.8616683145042,91.68790722067259,91.68790722067259,91.68790722067259,1800
6,2460944.9855299704,2025-09-26T11:39:09.789,708.0,0.9538626226671986,5.137005649717514,84.37994350282486,5.133204910878234,84.42427365873557,1770.451661015348,1720.0559097100286,1799.8792244255053,113.20052489128956,75.88475177159638,151.99458638071783,1800
7,2460945.009513889,2025-09-26T12:13:42.000,217.0,0.877322909741503,4.912442396313365,131.48387096774195,4.905978817539031,131.4288263892379,1733.3023158554113,1635.2785540900134,1799.8310859646958,121.67227990601964,76.64313849204667,166.3314910383358,1800
