label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,threshold
1,2460691.8182725697,2025-01-16T07:38:18.750,178.0,0.964598365718282,1.5842696629213489,4.061797752808985,1.535387220866328,4.076384014806223,1816.5957476494173,1741.0830694146373,1849.7902936817409,94.32081694198381,44.2135039909027,130.99172995648127,1850
2,2460691.830972222,2025-01-16T07:56:36.000,558.0,0.7658632430631508,1.3799283154121866,26.025089605734763,1.2951641245464387,25.77058493453046,1681.0506871125183,1487.1892167073843,1849.5194859227956,13.319620591887082,-112.79003910005946,145.35161430426433,1850
3,2460691.526875,2025-01-16T00:38:42.000,1.0,0,4.0,61.0,4.0,61.0,1844.8537673297426,1844.8537673297426,1844.8537673297426,154.42599145451334,154.42599145451334,154.42599145451334,1850
4,2460691.526875,2025-01-16T00:38:42.000,354.0,0.8948103418242707,-4.6440677966101696,61.841807909604526,-4.69426240491687,62.02478929912749,1788.998615741463,1656.1992536291582,1849.9965584454196,112.45864101551905,79.65575029761304,177.04709954183707,1850
5,2460691.5331498017,2025-01-16T00:47:44.143,1.0,0,6.0,69.0,6.0,69.0,1842.2842963616688,1842.2842963616688,1842.2842963616688,122.59586202593175,122.59586202593175,122.59586202593175,1850
6,2460691.535142974,2025-01-16T00:50:36.353,4.0,0.9241763718304448,5.5,72.0,5.499425815242594,72.00036199222293,1845.309324102442,1836.9387515984931,1849.441702659992,115.19536774783626,113.11797299972261,118.22263656059214,1850
7,2460691.5389880952,2025-01-16T00:56:08.571,253.0,0.9280034373107976,10.490118577075098,80.44268774703558,10.485905484353786,80.4387460838225,1805.3844307207626,1740.1061721639853,1849.9950260247601,96.42819058219197,75.45901540237159,139.85010362605445,1850
8,2460691.5576736107,2025-01-16T01:23:03.000,1.0,0,-14.0,110.0,-14.0,110.0,1842.9795096596788,1842.9795096596788,1842.9795096596788,95.9062676075239,95.9062676075239,95.9062676075239,1850
9,2460691.5954353637,2025-01-16T02:17:25.615,678.0,0.9227512112619648,7.541297935103245,149.5486725663717,7.533754226385579,149.54909297454566,1791.6728147342685,1706.0879512698257,1849.9021542585897,107.72738459351865,80.24584297891565,141.8049212701209,1850
10,2460691.6297048614,2025-01-16T03:06:46.500,1.0,0,13.0,180.0,13.0,180.0,1844.984866213128,1844.984866213128,1844.984866213128,85.68107874669052,85.68107874669052,85.68107874669052,1850
11,2460691.6297048614,2025-01-16T03:06:46.500,1.0,0,11.0,180.0,11.0,180.0,1844.5734683429891,1844.5734683429891,1844.5734683429891,94.11539325971758,94.11539325971758,94.11539325971758,1850
