label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,threshold
1,2460619.7062847223,2024-11-05T04:57:03.000,502.0,0.7855662383498061,3.3286852589641427,10.274900398406373,3.0984123757153323,10.330417806914625,1727.4112593670866,1556.110676841005,1849.9985257023718,101.94125448108629,58.11604820721552,144.45787713440183,1850
2,2460619.7062847223,2024-11-05T04:57:03.000,1.0,0,-14.0,18.0,-14.0,18.0,1840.6967448014448,1840.6967448014448,1840.6967448014448,98.396373429929,98.396373429929,98.396373429929,1850
3,2460619.719973659,2024-11-05T05:16:45.724,51.0,0.7760842300705543,-5.921568627450981,38.54901960784315,-5.917969139466891,38.549155670509464,1820.163892557749,1783.6388215455643,1848.8241439052554,109.28880179279166,95.56717342905186,122.18049408523349,1850
4,2460619.7773676217,2024-11-05T06:39:24.563,2317.0,0.9586773365586218,2.625809236081139,94.90893396633578,2.587934189191463,94.84379997991286,1759.7681282662784,1532.8697743964608,1849.9749725132904,102.39796025842766,71.53169315869995,146.30416408052656,1850
5,2460619.8350868057,2024-11-05T08:02:31.500,1.0,0,1.0,140.0,1.0,140.0,1844.434407117326,1844.434407117326,1844.434407117326,133.78515981714528,133.78515981714528,133.78515981714528,1850
6,2460619.8565625,2024-11-05T08:33:27.000,434.0,0.7756718070810616,6.527649769585253,164.04377880184333,6.511729104279848,164.06009975970193,1790.1298831728386,1633.0513948913751,1849.9767361573458,110.1259770140172,77.16069917667288,135.88515341739583,1850
7,2460619.8672916666,2024-11-05T08:48:54.000,1.0,0,-6.0,177.0,-6.0,177.0,1849.708799118547,1849.708799118547,1849.708799118547,108.26312070096134,108.26312070096134,108.26312070096134,1850
8,2460619.8672916666,2024-11-05T08:48:54.000,2.0,1.0,-6.0,179.5,-6.0,179.499845712114,1844.426282460966,1843.8571371969867,1844.995427724945,111.40175249824716,110.45512167712587,112.34838331936847,1850
