Tag,label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,threshold
1,1,2460734.628,2025-02-28T03:03:56.400,175,0.840401397,-8.165714286,124.0914286,-8.168135974,124.0896361,2049.452728,2030.064751,2074.789329,125.078924,114.1362525,139.7998975,2030
,2,2460734.665,2025-02-28T03:57:03.750,25,0.779705959,8.88,158.16,8.880076066,158.1599584,2042.846761,2030.071894,2061.188411,139.4360209,122.2415417,158.6553816,2030
1,1,2460736.677,2025-03-02T04:15:09.600,46,0.968033878,-9.717391304,123.4130435,-9.717935985,123.4161093,2041.534262,2030.125494,2067.575052,113.7311021,108.3583087,120.4719861,2030
,1,2460743.66,2025-03-09T03:50:22.683,1,0,-10,140,-10,140,2037.491625,2037.491625,2037.491625,106.1074044,106.1074044,106.1074044,2030
,2,2460743.679,2025-03-09T04:17:39.000,173,0.853060472,-9.144508671,170.1907514,-9.146367094,170.211418,2071.114092,2030.152142,2144.793614,127.7955148,114.9013014,144.3890573,2030
,3,2460743.679,2025-03-09T04:17:39.000,10,0.8841973,1.9,173,1.899309017,173.0017313,2042.040937,2030.214184,2065.204603,149.4406504,142.2159619,157.3209008,2030
2,1,2460937.962,2025-09-19T11:05:16.390,361,0.934795134,-8.689750693,22.99168975,-8.667288227,23.13596312,2128.334371,2030.215846,2315.111803,135.8785145,104.5750706,169.1885721,2030
2,1,2460944.949,2025-09-26T10:47:04.186,350,0.849075717,-7.348571429,37.15714286,-7.351609114,37.20923747,2165.97899,2030.477488,2376.911602,141.4945625,117.6306749,164.3970378,2030
,2,2460944.989,2025-09-26T11:43:49.059,4,0.912870929,-12.25,91.25,-12.24956426,91.24932203,2034.229678,2030.684085,2039.674261,112.8502406,111.3010177,114.5389857,2030
,3,2460944.998,2025-09-26T11:57:20.182,30,0.958701034,-12.46666667,107.2333333,-12.46544071,107.2344614,2042.407718,2030.195386,2068.997768,115.4847124,114.0368079,119.0896967,2030
2,1,2460949.409,2025-09-30T21:48:42.000,413,0.978623396,-9.290556901,34.61501211,-9.262734498,34.81036152,2102.364585,2030.020168,2300.671438,127.1561039,96.37176024,161.1285018,2030
2,1,2460965.754,2025-10-17T06:05:02.700,149,0.858006512,-7.563758389,60.41610738,-7.560415073,60.42043041,2091.312113,2030.792639,2160.782181,129.7547783,107.7232843,154.1683542,2030
,1,2460967.936,2025-10-19T10:28:02.082,100,0.725875035,-7.3,64.21,-7.30101301,64.21204714,2073.445706,2030.284789,2120.547568,137.2007506,122.4151806,148.7304315,2030
,1,2460977.797,2025-10-29T07:08:00.000,37,0.894610989,10.21621622,46.81081081,10.21874825,46.80652994,2047.274149,2030.144096,2074.915471,117.0911221,86.27120302,138.4901658,2030
2,2,2460977.81,2025-10-29T07:26:24.000,211,0.802805602,-5.867298578,71.34123223,-5.862248301,71.35992618,2081.280615,2030.323811,2161.151563,131.4859419,113.3487985,149.1198374,2030
,3,2460977.901,2025-10-29T09:37:14.717,60,0.893941213,-10.3,168.9,-10.29961762,168.8996128,2052.268886,2030.128635,2076.357251,113.5745684,109.8734427,119.8000388,2030
2,1,2460979.005,2025-10-30T12:07:30.000,173,0.863985195,-7.011560694,74.1849711,-7.007683867,74.18744858,2084.057104,2030.208744,2167.712953,141.5000829,126.0753244,152.4359572,2030
,1,2460981.833,2025-11-02T07:59:58.868,67,0.955196496,-11.28358209,23.05970149,-11.28363413,23.0575316,2039.076131,2030.324899,2049.459578,123.6783827,120.6423808,126.4736699,2030
2,2,2460981.888,2025-11-02T09:18:10.000,296,0.947706286,-9.35472973,72.07432432,-9.334088649,72.14678727,2073.553305,2031.028265,2161.954584,130.8392921,118.9424838,146.5376375,2030
,1,2460983.872,2025-11-04T08:55:14.681,1,0,-12,12,-12,12,2030.44116,2030.44116,2030.44116,108.9863551,108.9863551,108.9863551,2030
,2,2460983.875,2025-11-04T08:59:30.652,8,0.795097217,-12,15.25,-12.00038294,15.24949619,2035.228103,2030.48752,2040.748314,106.5638,102.2434868,108.1889753,2030
,3,2460983.878,2025-11-04T09:04:35.400,2,1,-12,19.5,-12,19.4997391,2031.508365,2030.448318,2032.568413,97.26584953,96.31247624,98.21922283,2030
,4,2460983.901,2025-11-04T09:37:01.875,84,0.983235873,-12.25,36.58333333,-12.25228968,36.59554206,2044.284982,2030.015965,2073.238291,108.5466775,91.41378024,114.5391589,2030
,5,2460983.919,2025-11-04T10:03:24.000,35,0.904379998,-12.45714286,54.6,-12.45727314,54.60063434,2035.265969,2030.228747,2046.017017,112.0752151,109.4800787,116.8730802,2030
2,6,2460983.947,2025-11-04T10:43:37.500,121,0.846902604,-8.892561983,78.76033058,-8.888234523,78.76772664,2051.946494,2030.220591,2082.913034,127.0129014,117.8730356,138.487503,2030
2,1,2460984.786,2025-11-05T06:51:07.500,124,0.85157157,-7.556451613,76.4516129,-7.553837905,76.45399828,2054.934838,2030.07465,2095.011913,121.5403273,102.705501,135.9371363,2030
,1,2460991.787,2025-11-12T06:53:00.000,52,0.855263494,-11.59615385,92.32692308,-11.59530944,92.32800084,2047.14914,2030.64515,2081.447223,440.8528339,306.1435537,519.8463409,2030
,2,2460991.799,2025-11-12T07:10:50.000,2,1,-14,118.5,-14,118.4998286,2031.083798,2030.387597,2031.78,199.2306428,199.1244066,199.336879,2030
,1,2460995.807,2025-11-16T07:22:24.462,21,0.921007289,-9.761904762,60.04761905,-9.762317918,60.04797056,2039.72814,2030.267244,2052.880063,121.0355681,119.8192233,122.1384561,2030
,2,2460995.825,2025-11-16T07:47:42.000,2,1,-12.5,89,-12.50058657,89,2035.204166,2032.816577,2037.591755,122.8328521,122.5807719,123.0849324,2030
2,3,2460995.825,2025-11-16T07:48:19.412,14,0.933030235,-10.21428571,94.21428571,-10.21442991,94.21445914,2034.630001,2030.518227,2040.435194,130.2313486,125.0920423,136.1398521,2030
,1,2461023.704,2025-12-14T04:53:11.250,30,0.85146024,7.633333333,39.7,7.633551689,39.69947071,2055.020595,2032.009723,2080.007836,115.1317861,96.50549703,134.6604202,2030
,2,2461023.719,2025-12-14T05:15:37.500,23,0.861417286,10.2173913,70.17391304,10.21610396,70.17151342,2060.673411,2032.147612,2094.173086,99.18031523,86.69792721,112.5824365,2030
,3,2461023.768,2025-12-14T06:26:16.875,569,0.99858757,-11.3655536,124.427065,-11.36600165,124.398842,2069.14336,2030.408845,2130.848132,109.9908474,97.00063798,122.9067156,2030
,4,2461023.778,2025-12-14T06:41:00.000,60,0.954979964,9.166666667,141.4666667,9.169036669,141.45279,2058.232638,2030.144337,2103.726913,131.083783,105.2691589,162.0754961,2030
,1,2461024.857,2025-12-15T08:34:30.732,29,0.888081389,-12.51724138,4.448275862,-12.51726943,4.447388207,2039.422413,2030.348893,2052.761072,126.522774,125.1263696,127.9711827,2030
,1,2461025.694,2025-12-16T04:39:28.636,36,0.964553441,-11.86111111,7.055555556,-11.86053843,7.055151129,2036.976781,2030.172828,2050.439594,202.884871,187.867465,223.2686805,2030
,2,2461025.704,2025-12-16T04:53:56.471,1,0,-12,20,-12,20,2030.265893,2030.265893,2030.265893,180.5005329,180.5005329,180.5005329,2030
,3,2461025.841,2025-12-16T08:10:36.000,6,0.87038828,-11.83333333,145,-11.83328885,145.0003519,2032.249344,2030.322915,2034.561178,110.2877634,108.3761633,111.826405,2030
,4,2461025.874,2025-12-16T08:57:54.000,1,0,-12,172,-12,172,2031.051329,2031.051329,2031.051329,119.037908,119.037908,119.037908,2030
,1,2461035.942,2025-12-26T10:37:11.765,114,0.978283638,-12.09649123,11.96491228,-12.09940526,11.95194706,2059.597704,2030.84298,2081.378413,124.2140331,118.0576993,129.2613297,2030
,1,2461039.666,2025-12-30T03:59:28.125,1,0,9,41,9,41,2034.845881,2034.845881,2034.845881,117.2369779,117.2369779,117.2369779,2030
,2,2461039.669,2025-12-30T04:02:58.235,3,0.816496581,8.666666667,44.33333333,8.666558512,44.33308364,2032.402599,2030.880173,2033.265585,117.1638333,113.4157188,123.697111,2030
,3,2461039.673,2025-12-30T04:09:12.353,2,1,9,47.5,9,47.5002314,2032.290786,2031.350235,2033.231337,113.7941851,113.1999027,114.3884674,2030
,4,2461039.696,2025-12-30T04:42:11.250,708,0.999171313,-11.81779661,67.46468927,-11.81996395,67.48485905,2060.58721,2030.023449,2101.586331,116.598487,103.9782907,125.1769107,2030
,5,2461039.742,2025-12-30T05:48:13.200,74,0.938034307,9.067567568,107.5540541,9.068685785,107.5543595,2089.705727,2032.224913,2153.613733,131.3181122,96.59411444,158.6694818,2030
,6,2461039.778,2025-12-30T06:40:24.490,66,0.829823084,9.863636364,140.6212121,9.861816333,140.6184636,2112.898322,2030.470024,2222.476371,132.3670266,93.9018533,169.2020585,2030
