label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,threshold
1,2461031.968147676,2025-12-22T11:14:07.959,507.0,0.9965832698441398,12.321499013806706,122.11637080867851,12.31077504384483,122.11951477925098,1730.7215938644756,1689.5937291546381,1749.9380159579819,96.4905781185118,79.07240640415853,121.991079307434,1750
2,2461031.973364049,2025-12-22T11:21:38.654,1.0,0,5.0,127.0,5.0,127.0,1747.9124843884065,1747.9124843884065,1747.9124843884065,123.95122500881442,123.95122500881442,123.95122500881442,1750
3,2461031.8905145205,2025-12-22T09:22:20.455,1.0,0,8.0,170.0,8.0,170.0,1748.9206012416303,1748.9206012416303,1748.9206012416303,108.45256575948639,108.45256575948639,108.45256575948639,1750
4,2461031.8756786613,2025-12-22T09:00:58.636,1.0,0,10.0,172.0,10.0,172.0,1749.4320213197514,1749.4320213197514,1749.4320213197514,101.50203493557689,101.50203493557689,101.50203493557689,1750
