label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,threshold
1,2460591.555847222,2024-10-08T01:20:25.200,107.0,0.3775782480245355,7.859813084112149,5.43925233644859,7.873926812461583,5.492375551650554,1650.343637687737,1538.171920018382,1748.931748758892,94.63200213684,57.39738450944792,131.88013833334924,1750
2,2460590.221626984,2024-10-06T17:19:08.571,545.0,0.8417038385356125,3.928440366972477,56.89174311926605,3.89835999891409,56.81844996410982,1685.8699387095664,1558.4000789366985,1749.1619183199932,102.55852864545255,76.95225410719262,126.8279268178265,1750
3,2460589.7931944444,2024-10-06T07:02:12.000,3.0,0.97372313034591,-1.666666666666668,79.0,-1.666174563437707,79.00072503537035,1745.0142624900384,1743.6574907573322,1747.590443949488,91.5340947223636,87.99763062774875,95.85931000641337,1750
4,2460589.7931944444,2024-10-06T07:02:12.000,1.0,0.0,-5.0,79.0,-5.0,79.0,1747.235899573791,1747.235899573791,1747.235899573791,81.10694427805501,81.10694427805501,81.10694427805501,1750
5,2460589.7931944444,2024-10-06T07:02:12.000,2.0,1.0,10.5,82.0,10.50033319406485,82.0,1737.6088045303222,1736.4508826489212,1738.7667264117233,86.69039526835031,84.66183454401688,88.71895599268375,1750
6,2460589.7931944444,2024-10-06T07:02:12.000,2.0,1.0,-6.5,82.0,-6.499907309069098,82.0,1742.2978131812697,1741.9748227688417,1742.6208035936977,71.48234475040405,69.75410325818356,73.21058624262453,1750
7,2460589.7931944444,2024-10-06T07:02:12.000,60.0,0.9302797269188812,2.9499999999999997,85.26666666666667,2.940828788683413,85.2601342627032,1724.7389981332642,1654.2850118796948,1749.8888481119154,92.0905866749383,62.742245353826,104.18428041175208,1750
8,2460589.7931944444,2024-10-06T07:02:12.000,2.0,1.0,-8.0,86.5,-8.0,86.50063171267527,1735.5808799793317,1733.3881030976456,1737.7736568610178,66.69852697181697,62.951792241319,70.44526170231495,1750
9,2460593.9861805555,2024-10-10T11:40:06.000,8.0,0.85146931829632,-11.125,89.625,-11.123804034298132,89.62927804885359,1726.639480348295,1685.932495770414,1743.655288658689,98.10909277709904,92.83277382067924,105.39100520247293,1750
10,2460593.987694444,2024-10-10T11:42:16.800,1.0,0.0,-8.0,102.0,-8.0,102.0,1748.0349662533515,1748.0349662533515,1748.0349662533515,127.3807174776053,127.3807174776053,127.3807174776053,1750
11,2460593.988933081,2024-10-10T11:44:03.818,551.0,0.7605685877127301,4.219600725952812,103.15426497277676,4.14652930338667,103.22177298535485,1661.9702008215008,1498.2674448194227,1749.8055472095914,103.05421065737228,53.32850080368397,136.35728622226964,1750
12,2460593.99375,2024-10-10T11:51:00.000,2.0,1.0,-2.0,115.5,-2.0,115.50100401991334,1745.2278430510487,1741.7233560355585,1748.7323300665394,123.73335163529858,123.02472613050426,124.44197714009287,1750
13,2460593.0845833337,2024-10-09T14:01:48.000,193.0,0.9746876737375908,7.176165803108808,153.12435233160622,7.179010544862976,153.06246246454478,1705.0772851144116,1634.4984125649073,1749.3754446202154,88.33460687610821,64.08451760811245,112.39867577444431,1750
14,2460592.195881944,2024-10-08T16:42:04.200,6.0,0.8703882797784891,5.5,179.66666666666666,5.499091074966191,179.666469333589,1738.1186243508946,1734.4227302163815,1742.774908895777,97.4150247141463,95.49466249070136,98.87203356750906,1750
1,2460600.016388889,2024-10-16T12:23:36.000,70.0,0.8739700093583891,6.800000000000001,6.199999999999989,6.798806692017562,6.217557070604329,1704.728312471126,1636.0707264458335,1749.753125405988,137.28287982163005,108.66870534968008,159.23571409991715,1750
2,2460599.21625,2024-10-15T17:11:24.000,28.0,0.6559256676341682,-11.714285714285715,43.64285714285714,-11.705588606889416,43.64290058968419,1732.9816108592556,1702.2183946053972,1749.7187129115605,133.53409026784158,123.37661896711226,142.31548331583343,1750
3,2460599.139325881,2024-10-15T15:20:37.756,767.0,0.9159980982199948,6.271186440677965,47.90221642764016,6.172612038982944,47.8658251799734,1617.4899974878751,1435.9381597916583,1749.4768169884233,123.76698732762296,53.4024276802591,190.99952867555265,1750
1,2460610.717430556,2024-10-27T05:13:06.000,59.0,0.93113598365874,7.288135593220339,21.254237288135585,7.30648451749754,21.26250332757496,1722.6800928296564,1667.1794298778643,1749.4558924840012,70.40205520128275,27.913989861351023,95.15444287587827,1750
2,2460610.717430556,2024-10-27T05:13:06.000,1.0,0.0,-7.0,22.0,-7.0,22.0,1735.0266249064075,1735.0266249064075,1735.0266249064075,80.21274594292505,80.21274594292505,80.21274594292505,1750
3,2460610.717430556,2024-10-27T05:13:06.000,1.0,0.0,10.0,24.0,10.0,24.0,1741.2469277436967,1741.2469277436967,1741.2469277436967,63.69833245058297,63.69833245058297,63.69833245058297,1750
4,2460610.717430556,2024-10-27T05:13:06.000,1.0,0.0,-8.0,24.0,-8.0,24.0,1727.6568710374545,1727.6568710374545,1727.6568710374545,85.98911549526323,85.98911549526323,85.98911549526323,1750
5,2460610.717430556,2024-10-27T05:13:06.000,1.0,0.0,-5.0,25.0,-5.0,25.0,1749.741878974064,1749.741878974064,1749.741878974064,86.26305391769722,86.26305391769722,86.26305391769722,1750
6,2460610.717430556,2024-10-27T05:13:06.000,4.0,0.9128709291752768,4.75,26.75,4.749799202612342,26.748892927630664,1742.8921550054097,1736.7034794596482,1747.5514751068013,88.29500845557729,82.18170481603862,93.8567785640264,1750
7,2460610.717430556,2024-10-27T05:13:06.000,3.0,0.816496580927726,2.333333333333334,28.666666666666657,2.329767465437765,28.66487085041061,1737.0289452092802,1718.4468979610938,1746.387099660449,91.20033771398836,88.79876679787321,94.61641316652997,1750
8,2460610.717430556,2024-10-27T05:13:06.000,2.0,1.0,8.0,29.5,8.0,29.50001194637491,1740.1971505171905,1740.1555724220289,1740.238728612352,72.06885493720489,70.78069160133755,73.35701827307224,1750
9,2460610.723263889,2024-10-27T05:21:30.000,1.0,0.0,6.0,36.0,6.0,36.0,1748.6469639113136,1748.6469639113136,1748.6469639113136,88.54633344216906,88.54633344216906,88.54633344216906,1750
10,2460610.732708333,2024-10-27T05:35:06.000,351.0,0.9598489178715064,8.763532763532764,53.89173789173789,8.767404526079181,53.80455714085022,1710.8021939871269,1626.627954490368,1749.6764817166045,70.99430111702469,29.650400188226293,113.40165032378114,1750
11,2460610.7493194444,2024-10-27T05:59:01.200,74.0,0.8443080230243704,0.2567567567567561,90.3108108108108,0.259663548838418,90.3112643570483,1738.4441594158352,1716.1896790890985,1749.8875264193891,91.88179350568936,74.93254826916828,103.6726566957162,1750
12,2460610.7657916667,2024-10-27T06:22:44.400,1.0,0.0,4.0,99.0,4.0,99.0,1744.077363180692,1744.077363180692,1744.077363180692,108.63681605189018,108.63681605189018,108.63681605189018,1750
13,2460610.7730949703,2024-10-27T06:33:15.405,215.0,0.7336387044858678,5.4511627906976745,110.4046511627907,5.423988391250221,110.377144503805,1711.960210761565,1639.2122463648127,1749.8600153092395,106.0566454526415,86.64537105151453,124.09989455929046,1750
14,2460610.7792291665,2024-10-27T06:42:05.400,1.0,0.0,-1.0,115.0,-1.0,115.0,1749.2357219242936,1749.2357219242936,1749.2357219242936,103.51830735080698,103.51830735080698,103.51830735080698,1750
1,2460619.700920139,2024-11-05T04:49:19.500,13.0,0.650642030324172,-12.615384615384617,2.1538461538461604,-12.611570630392798,2.156112072552816,1731.5304188342693,1708.2960113678566,1745.298082975852,91.50679120329217,87.08738020924228,100.1543278414634,1750
2,2460619.7062847223,2024-11-05T04:57:03.000,248.0,0.6908372788617845,8.5,9.653225806451616,8.495039762966792,9.686245987781234,1647.5110924724654,1556.110676841005,1749.405979787476,96.19068602764982,58.11604820721552,131.44977137569796,1750
3,2460619.7436742424,2024-11-05T05:50:53.455,194.0,0.9330294312021916,7.278350515463917,60.9020618556701,7.280086513269296,60.9155988981672,1705.6986561583124,1646.2678257835732,1749.898534518812,108.77569458467276,79.01546230759399,138.3805704065085,1750
4,2460619.7921354165,2024-11-05T07:00:40.500,715.0,0.8772009273341411,2.4503496503496507,103.29650349650348,2.417090199380404,103.21644203969056,1702.749833428332,1532.8697743964608,1749.6985822764927,99.647618853013,73.94181370267772,136.6134052466731,1750
5,2460619.813611111,2024-11-05T07:31:36.000,1.0,0.0,-1.0,122.0,-1.0,122.0,1748.2593185159046,1748.2593185159046,1748.2593185159046,118.49957636439206,118.49957636439206,118.49957636439206,1750
6,2460619.813611111,2024-11-05T07:31:36.000,2.0,1.0,-2.0,127.5,-2.0,127.4996161043905,1748.2717315634002,1746.929423879486,1749.6140392473144,118.99532507705028,118.54846120665924,119.44218894744132,1750
7,2460619.813611111,2024-11-05T07:31:36.000,1.0,0.0,12.0,128.0,12.0,128.0,1749.6220317682032,1749.6220317682032,1749.6220317682032,97.63929644638864,97.63929644638864,97.63929644638864,1750
8,2460619.8217466325,2024-11-05T07:43:18.909,22.0,0.9357773783423036,8.818181818181818,133.5,8.820576860004824,133.4924071552535,1736.925423853335,1714.418711792685,1749.84749453044,114.5998342067554,100.47593290068004,124.0888515233575,1750
9,2460619.8565625,2024-11-05T08:33:27.000,97.0,0.7383245741447472,7.010309278350515,162.79381443298968,7.010904951177562,162.78303122843425,1705.1293239775562,1633.0513948913751,1749.6093266137996,114.33147764971696,91.84880943736808,135.85952533702462,1750
1,2460632.794183007,2024-11-18T07:03:37.412,7.0,0.7796345722180095,11.714285714285715,2.0,11.715094587467172,2.001121495052331,1746.3617957901129,1736.4856124753692,1749.7148433675657,76.38811334788313,72.58262453515279,79.81152000792409,1750
2,2460632.80870915,2024-11-18T07:24:32.471,110.0,0.8190720858833173,9.39090909090909,14.709090909090918,9.39181512268874,14.698616754963211,1723.7545018105468,1688.4807383682455,1749.8623843683138,99.69321546801037,74.70045476487182,145.30553918650847,1750
3,2460632.850173611,2024-11-18T08:24:15.000,2.0,1.0,-5.5,76.0,-5.4994488459246575,76.0,1747.9422503210735,1746.0154793316233,1749.8690213105235,95.57850696521912,92.48809729283454,98.6689166376037,1750
4,2460632.8522470235,2024-11-18T08:27:14.143,1.0,0.0,12.0,80.0,12.0,80.0,1741.2919572026867,1741.2919572026867,1741.2919572026867,81.59388422361287,81.59388422361287,81.59388422361287,1750
5,2460632.8522470235,2024-11-18T08:27:14.143,13.0,0.5234764688134469,-4.692307692307693,80.3076923076923,-4.691668927346111,80.30911399339838,1742.4890909731273,1733.9497185186087,1746.517484569432,102.81428094107514,94.93402269582982,108.50047096028844,1750
6,2460632.8529647435,2024-11-18T08:28:16.154,1.0,0.0,-1.0,81.0,-1.0,81.0,1749.9456111450872,1749.9456111450872,1749.9456111450872,114.98004878461802,114.98004878461802,114.98004878461802,1750
7,2460632.8559791665,2024-11-18T08:32:36.600,553.0,0.8303039982792224,4.182640144665461,84.1609403254973,4.13736368347433,83.90699966002396,1666.4750998037257,1428.0542592790127,1749.928158123436,105.4420071063458,57.36570676913569,136.417875140699,1750
8,2460632.8574305554,2024-11-18T08:34:42.000,1.0,0.0,-9.0,86.0,-9.0,86.0,1741.5575865602425,1741.5575865602425,1741.5575865602425,92.16752279482498,92.16752279482498,92.16752279482498,1750
1,2460642.658576389,2024-11-28T03:48:21.000,257.0,0.8494742610759161,7.844357976653696,12.252918287937746,7.839238825422808,12.2823202136357,1658.1448640309525,1546.570095303933,1749.878937726893,95.3769952808783,65.95435169147162,125.54256964602682,1750
2,2460642.658576389,2024-11-28T03:48:21.000,1.0,0.0,-6.0,14.0,-6.0,14.0,1741.6781602036208,1741.6781602036208,1741.6781602036208,97.77595340776293,97.77595340776293,97.77595340776293,1750
