label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,threshold
1,2460965.4868112477,2025-10-16T23:41:00.492,2.0,1.0,7.5,31.0,7.499991543823376,31.0,1749.1692912843955,1749.1397087154505,1749.1988738533407,112.14297551409166,106.72093041822231,117.565020609961,1750
2,2460965.825313155,2025-10-17T07:48:27.057,4.0,0.9128709291752769,14.75,65.75,14.749747160409207,65.74938730595521,1747.6134660044727,1745.3145064573318,1749.380929498904,65.96687983307254,63.94749727170481,68.62136458839667,1750
3,2460965.9033715986,2025-10-17T09:40:51.306,209.0,0.7479381548112314,6.172248803827751,77.86602870813397,6.178267677661836,77.86886778820423,1720.2521626641696,1683.2765994550718,1749.8777483401525,105.93996283682802,63.35536939064428,143.20290827133962,1750
4,2460965.908229822,2025-10-17T09:47:51.057,4.0,1.0,15.0,83.5,15.0,83.4982683930012,1744.9691174132895,1741.8710122360378,1749.5155596219229,69.28644925323968,67.33924550495155,71.64193451633727,1750
5,2460965.9389950205,2025-10-17T10:32:09.170,145.0,0.7994498711968501,6.855172413793104,109.53103448275863,6.85362710289273,109.53093704992386,1730.228432813584,1695.22457768862,1749.89354218535,119.85259464317062,76.97015470382142,151.536421944428,1750
6,2460965.9750694446,2025-10-17T11:24:06.000,2.0,1.0,4.5,147.0,4.499594557421352,147.0,1748.0379376443168,1746.6204796262896,1749.455395662344,135.38776133671723,132.77908945828867,137.99643321514583,1750
7,2460965.9764357237,2025-10-17T11:26:04.047,1.0,0,5.0,149.0,5.0,149.0,1748.5361958655135,1748.5361958655135,1748.5361958655135,135.82715137993398,135.82715137993398,135.82715137993398,1750
8,2460965.9787413194,2025-10-17T11:29:23.250,8.0,0.7950972173652757,4.75,152.0,4.7488947651593705,152.00015127551865,1745.355767486299,1740.3606553557086,1749.5716091739068,138.11105077023063,133.50585248523345,144.22745516828914,1750
9,2460965.983043651,2025-10-17T11:35:34.971,3.0,1.0,15.0,161.0,15.0,160.9996985817638,1739.3687030577505,1731.4110902169275,1744.1339256480253,82.138387316281,81.75855360711515,82.47500891000571,1750
10,2460965.9897685186,2025-10-17T11:45:16.000,4.0,1.0,15.0,172.5,15.0,172.50000285301357,1743.048578822701,1739.5524926934675,1745.860167493718,73.30529026837053,70.29577521792034,77.26922114495567,1750
11,2460965.993109217,2025-10-17T11:50:04.636,11.0,0.8468413944019119,14.272727272727273,178.36363636363637,14.270126937248628,178.36220181821454,1730.6075997550222,1719.2750223088249,1745.6061404793818,56.77657000095133,50.6341935230356,66.3803933000092,1750
