label,area,eccentricity,seg_intensity_max,seg_intensity_mean,seg_intensity_min,seg_intensity_std,intensity_max,intensity_mean,intensity_min,intensity_std,eccentricity_intensity,centroid_lat,centroid_lon
1,86.0,0.8862847914483963,161.25532574305674,149.67040015635973,140.17355397467207,,2086.21521656516,1900.560756775216,1659.5388662823661,,0.8862847914483963,,52.33720930232559
2,75.0,0.962158294565112,152.49492028248505,146.45307720612524,140.13774728932316,,2166.360425948732,2037.344212318892,1786.628239033376,,0.962158294565112,,100.98666666666666
3,108.0,0.7531559930788416,164.62542587158052,150.89632904426276,140.3178466354386,,2019.0241466077741,1789.756148156446,1560.8724659392549,,0.7531559930788416,,144.0648148148148
4,75.0,0.8027009139827389,157.7892265580691,147.81334467620866,140.0719925740355,,1972.2692789662058,1861.9289246543306,1685.6912380311019,,0.8027009139827389,,172.82666666666665
