Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,N/A,0.0,16,336,-1,24,113.59800664293385,1892.2446911297068,0.5275104167786511
1,N/A,0.0,22,328,-7,32,102.25104354895932,1930.4248918844537,0.5741176724433898
2,N/A,0.0,22,315,-7,45,99.42324404682424,1935.2547423393198,0.5787581925590833
3,N/A,0.0,6,304,9,56,140.05190342071356,2104.9651655323464,0.412621145618373
4,N/A,0.0,19,287,-4,73,112.36870572032305,2048.5918435369495,0.6464052498340607
5,N/A,0.0,21,275,-6,85,110.24191080382197,2061.9822226190395,0.5111111303170522
6,N/A,0.0,15,65,0,295,135.71418834721595,1922.3256654552458,0.6261438131332397
7,N/A,0.0,21,63,-6,297,108.15574797772965,1924.8397138047303,0.7411764860153198
8,N/A,0.0,19,43,-4,317,115.59740360685821,1938.7606870578602,0.7403594901164373
9,N/A,0.0,19,24,-4,336,113.40533078618735,1916.0000843877594,0.7960784435272217
10,N/A,0.0,19,19,-4,341,109.51211891929734,1926.1949094307465,0.7904139558474222
11,N/A,0.0,18,5,-3,355,115.54574565155167,1915.5457984266177,0.7307189702987671
