#  WV (nm)   Kark1994  MUSE 0730  MUSE 0919     T620       T632       T647       T656       CH4        NH3
   626.500  0.5094500  0.4702355  0.5245533  0.0362018  0.8231357  0.0000000  0.0000000  0.0519500  0.0725490
   627.000  0.5116000  0.4730277  0.5254334  0.0222688  0.9394171  0.0000000  0.0000000  0.0416500  0.0781917
   627.500  0.5112750  0.4734432  0.5267746  0.0140885  0.9786488  0.0000000  0.0000000  0.0342750  0.0815504
   628.000  0.5108000  0.4744266  0.5255933  0.0080116  0.9837299  0.0000000  0.0000000  0.0258000  0.0849092
   628.500  0.5141000  0.4754377  0.5274586  0.0054609  0.9730051  0.0000000  0.0000000  0.0188750  0.0798039
   629.000  0.5167500  0.4771491  0.5285202  0.0046513  0.9849445  0.0000000  0.0000000  0.0149500  0.0746986
   629.500  0.5182000  0.4777291  0.5305261  0.0034317  1.0000000  0.0000000  0.0000000  0.0119250  0.0742956
   630.000  0.5188000  0.4785930  0.5324015  0.0000000  0.9912606  0.0000000  0.0000000  0.0092000  0.0738925
   630.500  0.5212750  0.4796774  0.5332320  0.0000000  0.9695173  0.0000000  0.0000000  0.0069250  0.0800726
   631.000  0.5223500  0.4805709  0.5344733  0.0000000  0.9848982  0.0000000  0.0000000  0.0054500  0.0862527
   631.500  0.5209500  0.4810938  0.5343402  0.0000000  0.9979140  0.0000000  0.0000000  0.0046500  0.0912237
   632.000  0.5208000  0.4812603  0.5357003  0.0000000  0.9775435  0.0000000  0.0000000  0.0039000  0.0961946
   632.500  0.5220250  0.4823298  0.5365609  0.0000000  0.9584407  0.0000000  0.0000000  0.0033000  0.1027778
   633.000  0.5218000  0.4831680  0.5373265  0.0000000  0.9620176  0.0000000  0.0000000  0.0030000  0.1093609
   633.500  0.5206750  0.4839627  0.5375415  0.0000000  0.9550516  0.0000000  0.0000000  0.0031500  0.1194371
   634.000  0.5207000  0.4847392  0.5372711  0.0000000  0.9088109  0.0000000  0.0000000  0.0034000  0.1295134
