Date,Camera,Map,380NUV,450BLU,467HeII,501OIII,550GRN,550OPN,620CH4,632OI,647,650RED,656HIA,658NII,672SII,685NIR,730OII,742NIR,807NIR,889CH4,940NIR,1000NIR
20200706UT,CMOS,,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
20200710UT,CMOS,,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
20200720UT,CMOS,2020-07-20-Jupiter-NH3_CMII_060-Map.png,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
20200729UT,CMOS,2020-07-29-Jupiter-NH3_CMII_307-Map.png,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
20200730UT,CMOS,2020-07-30-Jupiter-NH3_CMII_135-Map.png,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
20200731UT,,2020-07-31-Jupiter-NH3_CMII_272-Map.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200809UT,CMOS,,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20200811UT,CMOS,,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20200902UT,CCD,2020-09-02-Jupiter-NH3_CMII_140-Map.png,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1
20200903UT,CCD,2020-09-03-Jupiter-NH3_CMII_298-Map.png,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1
20200904UT,CMOS,2020-09-04-Jupiter-NH3_CMII_055-Map.png,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1
20200906UT,CMOS,,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20200913UT,CCD,2020-09-13-Jupiter-NH3_CMII_353-Map.png,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1
20200914UT,CCD,2020-09-14-Jupiter-NH3_CMII_117-Map.png,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
20200915UT,CCD,2020-09-15-Jupiter-NH3_CMII_240-Map.png,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
20200916UT,CMOS,,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20200917UT,CMOS,,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20200924UT,CCD,2020-09-24-Jupiter-NH3_CMII_182-Map.png,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
