RowNames,20200902UT,20200903UT,20200904UT,20200913UT,20200914UT,20200915UT,20200924UT,20200925UT,20201007UT,20201008UT,20201009UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,0.4559449217734705,0.3454442799201219,0.4322926144153612,0.42832370902072087,0.37174391314689026,0.39770369082245166,0.40260088909103675,0.3993761961770109,0.2859579690614998,0.3420322096724745,0.30845249354818777,0.3790793533317478,0.051074301477792024,0.015399481311939132
1_Io,4.300823935035603,3.1928068247032915,4.051954327399846,4.5240486288136825,3.3796577724757997,0.0,4.069855622907471,3.8129213516144937,2.7272671258242926,0.0,0.0,3.75741694859681,0.5693374945933958,0.17166171351339
2_Europa,3.4646504251260883,0.0,4.162648962114594,5.52388442900299,3.1338885174946998,5.789520513921221,4.0571313760363035,3.8096934616299447,2.7817793054689757,3.1710261014976355,2.9061429934966045,3.880036608578906,0.9925301673271658,0.2992591052848065
3_Ganymede,0.0,3.270052274814696,4.117466745868045,3.6369496854346406,3.4829673144613644,4.273643869918104,4.148523006479517,3.7010241933351185,2.7997291753957296,3.1223440615111713,3.0573355667317266,3.5610035893950114,0.48004632880035586,0.14473941405621452
4_Callisto,0.0,0.0,3.738072653504464,6.097771038760153,6.714260453252952,4.458399132458844,3.978820076972882,3.641248258198543,2.766241086190914,3.14402090730177,0.0,4.317354200830065,1.3050331410678786,0.39348229708191834
Moons Avg.,3.882737180080846,2.442945423313498,4.0175356722217375,4.4823423539997345,4.177693514421204,4.84052117209939,4.063582520599043,3.7412218161945248,2.7687541732199783,3.145797023436859,2.981739280114166,3.685897284518271,0.7184205599991325,0.21661194901764833
Moons StdP,0.41808675495475733,1.2193598204149159,0.1660785273887571,0.7589130132578825,1.4699665170605074,0.6752695461037892,0.0601675308406256,0.07321159537599943,0.02672356421736812,0.019914001702402234,0.07559628661756101,0.0,0.0,0.0
95% Conf,0.2956319795527873,0.6096799102074579,0.08303926369437856,0.37945650662894126,0.7349832585302537,0.38986705421857915,0.0300837654203128,0.036605797687999715,0.01336178210868406,0.011497354243524596,0.053454646899799244,0.0,0.0,0.0
Observed Transmission,0.11742873664294139,0.14014196052967676,0.10760143771823663,0.09377135164761655,0.0889830505429964,0.08216133690619992,0.09907535704029122,0.10675020509295709,0.10328037491639759,0.10872672557201293,0.10344717112100346,0.0,0.0,0.0
NH3 Abs,0.8825712633570586,0.8598580394703232,0.8923985622817634,0.9062286483523835,0.9110169494570036,0.9178386630938,0.9009246429597088,0.8932497949070429,0.8967196250836024,0.8912732744279871,0.8965528288789966,0.0,0.0,0.0
Trans Conf,0.07614009546395095,0.24956755250819987,0.020669203827742743,0.08465585103965571,0.17593039221118678,0.08054237144251335,0.007403261842921287,0.00978444997020631,0.004825918544131604,0.0036548302887525336,0.017927337663725097,0.0,0.0,0.0
