3.000499999999863689e+02,8.516233065223781296e+01,1.881962080621147607e+03
3.000999999999863803e+02,8.459236830040885025e+01,1.835461539917356276e+03
3.001499999999863917e+02,8.483248198429710385e+01,1.783566530308882875e+03
3.001999999999864031e+02,8.493626579777101426e+01,1.764535211049973213e+03
3.002499999999864144e+02,8.439784113468040516e+01,1.767131697854729509e+03
3.002999999999864258e+02,8.258356239950518329e+01,1.760343137479416328e+03
3.003499999999864372e+02,8.084715700320178655e+01,1.738657711820885424e+03
3.003999999999864485e+02,8.027084903784579240e+01,1.713011395306860550e+03
3.004499999999864599e+02,8.177653325212079949e+01,1.712986007741580124e+03
3.004999999999864713e+02,8.362233762656005354e+01,1.721917485703327202e+03
3.005499999999864826e+02,8.406162445238537373e+01,1.726468493401878050e+03
3.005999999999864940e+02,8.282665729813304267e+01,1.726200503749083055e+03
3.006499999999865054e+02,8.223482074287842636e+01,1.725549213755604342e+03
3.006999999999865167e+02,8.248969685885923298e+01,1.731812248823629943e+03
3.007499999999865281e+02,8.255065719048727146e+01,1.744102497828976311e+03
3.007999999999865395e+02,8.044003853563138762e+01,1.748889476909898349e+03
3.008499999999865508e+02,7.691356725181948661e+01,1.725405337258307100e+03
3.008999999999865622e+02,7.385333725814709283e+01,1.677151049997680957e+03
3.009499999999865736e+02,7.142630618504151130e+01,1.641493009608559532e+03
3.009999999999865850e+02,6.988880756910160130e+01,1.628916393585130891e+03
3.010499999999865963e+02,6.940315593360062962e+01,1.625832286559387512e+03
3.010999999999866077e+02,6.996635361184161184e+01,1.622646318905938188e+03
3.011499999999866191e+02,7.090076895214384933e+01,1.632674429576506100e+03
3.011999999999866304e+02,7.131979940352518099e+01,1.659188962759513288e+03
3.012499999999866418e+02,7.154342041722971146e+01,1.684134048523360889e+03
3.012999999999866532e+02,7.260473487490720856e+01,1.694277966162464963e+03
3.013499999999866645e+02,7.545858161056314373e+01,1.690339842646508032e+03
3.013999999999866759e+02,7.829360026467170997e+01,1.682463415811833102e+03
3.014499999999866873e+02,8.036776975576738380e+01,1.667762075614752121e+03
3.014999999999866986e+02,8.135878399398851002e+01,1.648731141554931128e+03
3.015499999999867100e+02,8.060914064937939827e+01,1.627523433137615939e+03
3.015999999999867214e+02,7.960166058359453700e+01,1.608710309884336993e+03
3.016499999999867327e+02,7.812531031320703789e+01,1.608938747862630407e+03
3.016999999999867441e+02,7.641893236208332496e+01,1.635591651120355209e+03
