RowNames,20200924UT,20200925UT,20201007UT,20201008UT,20201009UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,1.0105337759294324,1.003942582079794,1.0006309121248347,0.9743095262126615,0.9949275412225314,0.9968688675138508,0.012358096674930284,0.005526708847531647
1_Io,0.9759122730599603,1.0109180076229012,1.0679710314889073,0.0,0.0,1.0182671040572562,0.03794039768435829,0.01696746166312015
2_Europa,0.9821817582294282,1.0368287345350393,0.9909350401686811,0.966097668632753,1.0174597314310287,0.9987005865993861,0.025305283408174537,0.011316866778115164
3_Ganymede,0.993658252603885,1.0372225976305611,0.9975958025163356,0.9793170500359648,1.020577122507438,1.005674165058837,0.020599715261476373,0.009212472728360205
4_Callisto,1.014252985345931,1.0282693932769864,1.0191599264654252,0.9981603792176789,0.0,1.0149606710765053,0.010925960576374507,0.004886238113651236
Moons Ratio,0.9915013173098011,1.028309683266372,1.0189154501598372,0.9811916992954656,1.0190184269692333,1.0077873154001418,0.018131196115701236,0.00810851740561762
Moons StdP,0.014595917668693998,0.010659341935040971,0.03018253032431697,0.013156496111497891,0.0015586955382046463,0.0,0.0,0.0
95% Conf,0.007297958834346999,0.0053296709675204855,0.015091265162158486,0.007595906571565572,0.0011021641848697208,0.0,0.0,0.0
Trans647,1.0191955958982195,0.976303732637062,0.9820549015797786,0.9929859036845239,0.9763587339452211,0.0,0.0,0.0
NH3 Abs,-0.01919559589821951,0.02369626736293795,0.017945098420221406,0.007014096315476115,0.023641266054778898,0.0,0.0,0.0
Trans Conf,0.007360513503046314,0.005182943479235811,0.014811106416917243,0.0077415112429301365,0.0010815939689606789,0.0,0.0,0.0
