RowNames,20200924UT,20200925UT,20201007UT,20201008UT,20201009UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,1.2766718148500191,1.3280326042239035,1.3134703523477462,1.3243053935026674,1.287100343756803,1.3059161017362277,0.020462812612558424,0.00915124800250414
1_Io,1.3078277102275706,1.305208364058128,1.3364650987254025,0.0,0.0,1.3165003910037003,0.01415762243218798,0.006331481231629646
2_Europa,1.3427040925622347,1.4147610714598127,1.2906163800179182,1.3486016354138464,1.3411984136894592,1.3475763186286542,0.03955677730121191,0.017690328603266102
3_Ganymede,1.27145037777396,1.3778915060044385,1.2960479852323956,1.334696162798702,1.325477856668423,1.3211127776955838,0.03611643404564594,0.016151760326190413
4_Callisto,1.3500027157070378,1.4091970852729265,1.3165425902519217,1.3571870824222507,0.0,1.3582323684135342,0.0331822986477565,0.014839575085216576
Moons Ratio,1.3179962240677008,1.3767645066988266,1.3099180135569095,1.346828293544933,1.3333381351789413,1.3369690346094623,0.023604208506475346,0.010556122955111531
Moons StdP,0.031244234482219205,0.04363817928045299,0.01812155822720311,0.009267107510482566,0.00786027851051807,0.0,0.0,0.0
95% Conf,0.015622117241109602,0.021819089640226497,0.009060779113601555,0.005350367015786312,0.005558056236802222,0.0,0.0,0.0
Trans647,0.9686460336812324,0.9646040392254364,1.0027118787237614,0.9832770813100578,0.9653217813229853,0.0,0.0,0.0
NH3 Abs,0.031353966318767634,0.03539596077456364,-0.0027118787237614406,0.016722918689942246,0.034678218677014705,0.0,0.0,0.0
Trans Conf,0.01185293019497084,0.01584809132866433,0.006917058182136304,0.003972568026250641,0.004168527165133772,0.0,0.0,0.0
