Wavelength (nm),Filter Name,k_eff (NH3),l_eff (NH3),k_eff (CH4),l_eff (CH4),Trans,Tau,NH3 (m-atm),CH4 (m-atm)
620,620CH4,0.034742909999999995,619.75,0.45419624999999975,619.75,0.8706361249608595,0.13853115639806604,3987.3216261408747,305.0028625248802
632,632OI,0.1141101725,631.75,0.01071000000000001,631.75,0.9969656032821851,0.003039009833915272,26.63224292220987,283.7544195999318
647,647NH3,3.1291458500000005,646.75,0.02816125000000001,646.75,0.9527393647450779,0.04841390198259575,15.471922468106031,1719.1673658873715
656,656HIA,0.44720636666666674,656.25,0.06830625000000003,656.25,0.9907525008475387,0.009290522718423413,20.774576148528475,136.0127765530008
