observation,analysis,n_clusters,variable,cluster,mean,stddev
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,CI,1,0.45531827,0.015442841
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,CI,2,0.6608531,0.020689841
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,CI,3,0.6643142,0.04832127
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,CI,4,0.51585436,0.04280258
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,CI,5,0.5736312,0.05975408
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,NH3,1,110.27287,24.871122
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,NH3,2,220.77524,20.651659
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,NH3,3,124.70391,40.94092
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,NH3,4,185.70898,19.102722
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,NH3,5,125.4105,28.612587
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,NH3,6,74.23764,17.98731
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,PCld,1,1785.258,161.39505
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,PCld,2,2139.9187,174.0627
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,PCld,3,2177.3716,261.0567
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,PCld,4,1813.5931,112.25629
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,PCld,5,1568.3818,190.37181
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,PCld,6,1860.6799,124.62376
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,AOI,1,0.21583186,0.022676202
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,AOI,2,0.26080006,0.015845224
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,AOI,3,0.2172002,0.018742952
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,AOI,4,0.24589679,0.017679285
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,AOI,5,0.29095164,0.020812137
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,AOI,6,0.17613994,0.009507025
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,CI,1,0.5061619,0.043890394
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,CI,2,0.68276083,0.039954606
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,CI,3,0.5688563,0.05786754
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,CI,4,0.6606114,0.02007602
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,CI,5,0.58403116,0.057555713
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,6,CI,6,0.4554943,0.015620997
20251016UTa-NEZ-A1,AOI_CI,4,AOI,1,0.17936294,0.012184797
20251016UTa-NEZ-A1,AOI_CI,4,AOI,2,0.23989865,0.012977478
20251016UTa-NEZ-A1,AOI_CI,4,AOI,3,0.2783473,0.014117289
20251016UTa-NEZ-A1,AOI_CI,4,AOI,4,0.2378125,0.039679922
20251016UTa-NEZ-A1,AOI_CI,4,CI,1,0.45693454,0.015952885
20251016UTa-NEZ-A1,AOI_CI,4,CI,2,0.6648888,0.03043257
20251016UTa-NEZ-A1,AOI_CI,4,CI,3,0.648061,0.027065579
20251016UTa-NEZ-A1,AOI_CI,4,CI,4,0.52879006,0.040007934
20251016UTa-NEZ-A1,AOI_CI,5,AOI,1,0.2084489,0.017907552
20251016UTa-NEZ-A1,AOI_CI,5,AOI,2,0.276013,0.01183172
20251016UTa-NEZ-A1,AOI_CI,5,AOI,3,0.28827858,0.02411509
20251016UTa-NEZ-A1,AOI_CI,5,AOI,4,0.17630391,0.009549877
20251016UTa-NEZ-A1,AOI_CI,5,AOI,5,0.23991862,0.01284936
