Wavelength (nm),Filter Name,Transmission,Tau
620,620CH4,0.8802312537385775,0.12757061769339995
632,632OI,0.9943405924504609,0.005675482675595277
647,647NH3,0.9548968151057731,0.04615199134856715
656,656HIA,0.9917210680882291,0.008313392598827771
