x,y,dx_px,dy_px,speed_m_s,dir_from_deg
0.0,0.0,-0.469364196062088,-1.2159806489944458,4.517703406757166,21.1064105371276
5.0,0.0,-1.1724227666854858,-1.8496283292770386,7.590289172446093,32.36935889588358
10.0,0.0,-1.392398476600647,-1.8865970373153687,8.127098926056544,36.429092391781865
15.0,0.0,-1.9174548387527466,-1.2175639867782593,7.872616228615637,57.58487506884802
20.0,0.0,-1.6083904504776,-0.534845769405365,5.874874622616734,71.60623924540721
25.0,0.0,-0.6801310181617737,0.6512537598609924,3.263796210214885,133.75746991400018
30.0,0.0,0.8489054441452026,0.6194225549697876,3.6423419625148488,233.88281659410194
35.0,0.0,1.900723934173584,0.8403561115264893,7.203132357949777,246.1486169134557
40.0,0.0,2.5770633220672607,-0.32015982270240784,9.000845182558967,277.08181946073546
45.0,0.0,4.28415060043335,-0.8773555755615234,15.157175011684869,281.5736350350172
50.0,0.0,4.706854820251465,-1.9399335384368896,17.64540315238972,292.3990424807728
55.0,0.0,4.688201427459717,-3.307753324508667,19.886817666195892,305.2048226832913
60.0,0.0,3.8637959957122803,-3.1010286808013916,17.171825693232684,308.7500409895687
65.0,0.0,1.6454331874847412,-2.8524301052093506,11.413615047316608,330.0213682873229
70.0,0.0,2.7397828102111816,-2.3666903972625732,12.548576273201796,310.8212441479939
75.0,0.0,3.2890665531158447,-1.2199488878250122,12.158917153361354,290.3503395052629
80.0,0.0,4.317129611968994,-0.5701775550842285,15.093241507904139,277.5236981519676
85.0,0.0,4.308231830596924,-1.7411640882492065,16.105859912777486,292.0060070525964
90.0,0.0,1.930514931678772,-3.1829588413238525,12.902812676711452,328.762525258436
95.0,0.0,1.6507831811904907,-3.4975922107696533,13.405175667635955,334.73376584537067
100.0,0.0,1.093250036239624,-2.991131544113159,11.03812930852131,339.9227863204217
105.0,0.0,2.003056287765503,-2.0053250789642334,9.82395625338172,315.03243008449266
110.0,0.0,2.626612901687622,-0.6722095608711243,9.397327743776827,284.3551736678461
115.0,0.0,3.869785785675049,0.026683932170271873,13.41311237394278,269.6049258154795
120.0,0.0,7.2130231857299805,0.40091702342033386,25.03914312182783,266.8186374641184
125.0,0.0,7.657614707946777,0.5066491961479187,26.599551594054052,266.2146680722615
130.0,0.0,8.003571510314941,0.9522606134414673,27.936278352312808,263.2148761300439
135.0,0.0,5.4474992752075195,1.9529629945755005,20.05789860395225,250.27692168590792
140.0,0.0,6.017566680908203,1.9172704219818115,21.890122333113943,252.32748419723558
145.0,0.0,7.919748783111572,0.8793575763702393,27.618776705209847,263.6641997805034
150.0,0.0,9.922470092773438,0.1681850701570511,34.39651869954774,269.0289341332379
155.0,0.0,10.3847017288208,0.06996458768844604,35.994504294215226,269.6139884376242
160.0,0.0,10.483489990234375,0.36344191431999207,36.35791959541302,268.0144635661318
165.0,0.0,11.06958293914795,0.9911203980445862,38.520987734797515,264.8836378433357
170.0,0.0,9.648478507995605,1.4212557077407837,33.80278584741077,261.62038606499084
175.0,0.0,7.536665439605713,1.740125060081482,26.809548270361137,256.9989264415645
180.0,0.0,6.220938205718994,2.2483770847320557,22.927014511876756,250.1290851567195
185.0,0.0,4.706131458282471,3.0723514556884766,19.47989533096946,236.861885606575
190.0,0.0,3.3395135402679443,3.6649744510650635,17.18549389664372,222.33968647038137
195.0,0.0,4.520959854125977,2.630315065383911,18.12890577606719,239.8089600689043
200.0,0.0,4.322501182556152,1.8469511270523071,16.29227468791709,246.86358248244443
205.0,0.0,2.6844394207000732,0.8397207260131836,9.748942303132322,252.62977139333339
210.0,0.0,2.9458866119384766,0.9511407017707825,10.729541576495947,252.1062480688409
215.0,0.0,4.467906951904297,0.6534756422042847,15.650659786251975,261.6789247509381
220.0,0.0,4.998208045959473,0.7166668176651001,17.501115906392155,261.840274693761
225.0,0.0,5.092913627624512,0.34985437989234924,17.693791824295733,266.0702773774253
230.0,0.0,4.721848964691162,0.5818250775337219,16.48984587168942,262.97543678509817
235.0,0.0,8.544416427612305,0.748425304889679,29.728596394292286,264.99410577612906
240.0,0.0,9.87386703491211,1.2214372158050537,34.48397775286121,262.94810611197465
245.0,0.0,11.105494499206543,1.0085482597351074,38.65038037051827,264.81090375206406
250.0,0.0,12.439217567443848,0.962035059928894,43.24344965089335,265.57761221186746
255.0,0.0,14.316259384155273,0.6879680156707764,49.67784504510573,267.24876712153724
260.0,0.0,15.333456039428711,-0.06385397911071777,53.146678986124236,270.2385986792671
265.0,0.0,15.143558502197266,-0.04064745828509331,52.488216683475116,270.15378962707774
270.0,0.0,14.320954322814941,0.16107770800590515,49.63999656271132,269.3555817949
275.0,0.0,11.830254554748535,1.1666114330291748,41.20290488109224,264.36812622764825
280.0,0.0,8.44525146484375,1.213475227355957,29.572121065619807,261.82329088236315
285.0,0.0,8.051321983337402,1.1589198112487793,28.193737018761734,261.80901728122797
290.0,0.0,10.52214241027832,0.08629779517650604,36.47128749605986,269.53009678141797
295.0,0.0,14.399852752685547,0.06453652679920197,49.910822438532016,269.74321641223685
300.0,0.0,14.744220733642578,-0.0026125109288841486,51.103911734409735,270.01015217089423
305.0,0.0,13.665237426757812,0.5616198182106018,47.40410649802394,267.64655781125475
310.0,0.0,14.386649131774902,0.7681836485862732,49.935590600724176,266.943560450799
315.0,0.0,16.459026336669922,1.0591281652450562,57.16546884793594,266.31812844210765
320.0,0.0,17.11699104309082,1.0996099710464478,59.45029785082634,266.32432151687306
325.0,0.0,17.08745574951172,0.5286794304847717,59.253974113108846,268.2278555341935
