Wavelength (nm),Filter Name,Transmission,Tau
620,620CH4,0.8801155328399481,0.12770209280918773
632,632OI,0.9937550807856523,0.00626450028638633
647,647NH3,0.961994216114043,0.03874684068996949
656,656HIA,0.9976502614553359,0.0023525035124283473
