RowNames,20200902UT,20200903UT,20200904UT,20200913UT,20200914UT,20200915UT,20200924UT,20200925UT,20201007UT,20201008UT,20201009UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,1.310535924715223,1.3180147898819534,1.3255149864261662,1.329423680444754,1.3193608403941521,1.3021362386437232,1.2633638234167959,1.3228172884874707,1.3126421904742063,1.3592245152836704,1.2936623929168352,1.3142451519168135,0.022703454246302508,0.006845349016362406
1_Io,1.3902660277631775,1.3245569835440665,1.3437713149717259,1.3793967392457325,1.3312479161485522,0.0,1.3401078624894158,1.2911119934713884,1.2514057585084264,0.0,0.0,1.3314830745178106,0.04193263860150269,0.012643166246432509
2_Europa,1.3552595715333202,0.0,1.3838685315935775,1.3591177192686694,1.324539027108414,1.3460474924090995,1.3670627471057064,1.364507969673752,1.3024227902953394,1.3959268086449512,1.3181832875126183,1.3516935945145447,0.02789239773606871,0.008409874344899846
3_Ganymede,0.0,1.386986888603033,1.386959887181414,1.3761891095216003,1.330937481970358,1.382270981453399,1.2795650561368759,1.328443392143696,1.2991714499632456,1.3628846375641943,1.2987532518972007,1.3432162136435017,0.03894365692279487,0.011741954361567013
4_Callisto,0.0,0.0,1.3550637838864417,1.3703404677211004,1.4169305237196146,1.3153442636025896,1.3310315426348893,1.3704551496782023,1.2917919514534448,1.3596883934483188,0.0,1.351330759518075,0.035996842993879424,0.010853456531639235
Moons Ratio,1.3727627996482488,1.3557719360735496,1.3674158794082896,1.3712610089392756,1.3509137372367348,1.347887579155029,1.329441802091722,1.3386296262417596,1.2861979875551142,1.3728332798858214,1.3084682697049095,1.3455985369036776,0.026913775150114564,0.008114808533174644
Moons StdP,0.01750322811492866,0.031214952529483253,0.018468200338295507,0.007726305118352504,0.03820875791431505,0.027353681409697867,0.031699043401147535,0.03179715942497112,0.020453279596115086,0.016381642103762216,0.009715017807708781,0.0,0.0,0.0
95% Conf,0.012376651292721086,0.022072304608013783,0.009234100169147753,0.003863152559176252,0.019104378957157525,0.015792655325216325,0.015849521700573767,0.01589857971248556,0.010226639798057543,0.009457945478375224,0.006869554971178945,0.0,0.0,0.0
Trans647,0.9546703371121578,0.9721508129892815,0.969357608308414,0.9694898868838365,0.976643292630125,0.9660570056295149,0.9502964488020761,0.9881876678624822,1.0205599784597386,0.9900870959339776,0.988684573305386,0.0,0.0,0.0
NH3 Abs,0.04532966288784224,0.02784918701071848,0.030642391691586,0.030510113116163473,0.02335670736987505,0.03394299437048509,0.04970355119792391,0.011812332137517756,-0.02055997845973856,0.00991290406602241,0.01131542669461405,0.0,0.0,0.0
Trans Conf,0.009015870255147086,0.016280248927365595,0.006752956659493781,0.0028172262858728496,0.014141820036736856,0.011716596821165538,0.011921937218790916,0.011876757693702977,0.007951061887055959,0.0068893620346687995,0.005250073792563722,0.0,0.0,0.0
