Wavelength (nm),Filter Name,Telescope, Model,Type,Transmission,Tau
620,620CH4,SCT,Spline1,0.8804500278965115,0.1273221068909715
632,632OI,SCT,Spline1,0.9926704222166607,0.0073565711192979605
647,647NH3,SCT,Spline1,0.9595108992341038,0.04133160431374615
656,656HIA,SCT,Spline1,0.9910552491924627,0.008984995255153692
620,620CH4,SCT,Spline2,0.8779124276524061,0.13020843103625573
632,632OI,SCT,Spline2,0.992448067002556,0.00758059322804586
647,647NH3,SCT,Spline2,0.9397541122807584,0.06213702061684841
656,656HIA,SCT,Spline2,0.9633924101310128,0.03729446302857903
620,620CH4,SCT,Piecewise1,0.8801155328399481,0.12770209280918773
632,632OI,SCT,Piecewise1,0.9933843128661997,0.0066376677903266295
647,647NH3,SCT,Piecewise1,0.9554907073156804,0.045530240816731064
656,656HIA,SCT,Piecewise1,0.9891786454720909,0.010880331242690035
620,620CH4,SCT,Piecewise2,0.8764051323627904,0.13192681509039839
632,632OI,SCT,Piecewise2,0.9918478251241349,0.008185585557174609
647,647NH3,SCT,Piecewise2,0.9397991042936548,0.062089145395749945
656,656HIA,SCT,Piecewise2,0.9647584751647599,0.0358774937729773
620,620CH4,SCT,Linear 2pt.,0.8688427014900125,0.140593181044802
632,632OI,SCT,Linear 2pt.,0.991477049779881,0.008559478259540112
647,647NH3,SCT,Linear 2pt.,0.9554907073156804,0.045530240816731064
656,656HIA,SCT,Linear 2pt.,0.9927685427004236,0.00725773102843989
620,620CH4,VLT,Spline1,0.8707724108531143,0.13837463265337296
632,632OI,VLT,Spline1,0.9963632494030162,0.003643379651461648
647,647NH3,VLT,Spline1,0.9568893461783903,0.044067519942262434
656,656HIA,VLT,Spline1,0.9933137095164206,0.0067087438663214006
620,620CH4,VLT,Spline2,0.8688213115196436,0.1406178002694736
632,632OI,VLT,Spline2,0.9957676595384226,0.0042413221658473815
647,647NH3,VLT,Spline2,0.9368329827610761,0.06525025941803295
656,656HIA,VLT,Spline2,0.9650961403128067,0.03552755533846055
620,620CH4,VLT,Piecewise1,0.8706361249608595,0.13853115639806604
632,632OI,VLT,Piecewise1,0.9969656032821851,0.003039009833915272
647,647NH3,VLT,Piecewise1,0.9527393647450779,0.04841390198259575
656,656HIA,VLT,Piecewise1,0.9907525008475387,0.009290522718423413
620,620CH4,VLT,Piecewise2,0.8673093188566632,0.14235959667440945
632,632OI,VLT,Piecewise2,0.9952650303547596,0.004746215126060322
647,647NH3,VLT,Piecewise2,0.9368886286377582,0.06519086331953038
656,656HIA,VLT,Piecewise2,0.9663707329690224,0.03420773685348699
620,620CH4,VLT,Linear 2pt.,0.8605205470581625,0.1502177855701076
632,632OI,VLT,Linear 2pt.,0.9956550077080057,0.004354459203393301
647,647NH3,VLT,Linear 2pt.,0.9527393647450779,0.04841390198259575
656,656HIA,VLT,Linear 2pt.,0.9934239074923085,0.006597810268389354
