Wavelength (nm),Filter Name,Transmission,Tau
620,620CH4,0.8706361249608595,0.13853115639806604
632,632OI,0.9974822468047253,0.002520928065997728
647,647NH3,0.959311215928437,0.04153973544253574
656,656HIA,0.9994625363622274,0.0005376081231263275
