RowNames,20200902UT,20200903UT,20200904UT,20200913UT,20200914UT,20200915UT,20200924UT,20200925UT,20201007UT,20201008UT,20201009UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,0.4566021552342177,0.34581259852538726,0.43261029487857383,0.42759980989041363,0.3718001664239889,0.3981948467700053,0.4029290605546073,0.3992081644888525,0.28620354663330194,0.3403789784040011,0.3084826487992406,0.37907475187296263,0.05120027820390109,0.015437464724013783
1_Io,4.300823935035603,3.1928068247032915,4.051954327399846,4.5240486288136825,3.3796577724757997,0.0,4.069855622907471,3.8129213516144937,2.7272671258242926,0.0,0.0,3.75741694859681,0.5693374945933958,0.17166171351339
2_Europa,3.4646504251260883,0.0,4.162648962114594,5.52388442900299,3.1338885174946998,5.789520513921221,4.0571313760363035,3.8096934616299447,2.7817793054689757,3.1710261014976355,2.9061429934966045,3.880036608578906,0.9925301673271658,0.2992591052848065
3_Ganymede,0.0,3.270052274814696,4.117466745868045,3.6369496854346406,3.4829673144613644,4.273643869918104,4.148523006479517,3.7010241933351185,2.7997291753957296,3.1223440615111713,3.0573355667317266,3.5610035893950114,0.48004632880035586,0.14473941405621452
4_Callisto,0.0,0.0,3.738072653504464,6.097771038760153,6.714260453252952,4.458399132458844,3.978820076972882,3.641248258198543,2.766241086190914,3.14402090730177,0.0,4.317354200830065,1.3050331410678786,0.39348229708191834
Moons Ratio,3.882737180080846,2.443037502964814,4.0175356722217375,4.4823423539997345,4.177693514421204,4.84052117209939,4.063582520599043,3.7412218161945248,2.7687541732199783,3.145797023436859,2.981739280114166,3.685905655395663,0.7184060777407951,0.21660758245246453
Moons StdP,0.41808675495475733,1.2192014282842865,0.1660785273887571,0.7589130132578825,1.4699665170605074,0.6752695461037892,0.0601675308406256,0.07321159537599943,0.02672356421736812,0.019914001702402234,0.07559628661756101,0.0,0.0,0.0
95% Conf,0.2956319795527873,0.6096007141421432,0.08303926369437856,0.37945650662894126,0.7349832585302537,0.38986705421857915,0.0300837654203128,0.036605797687999715,0.01336178210868406,0.011497354243524596,0.053454646899799244,0.0,0.0,0.0
Trans647,0.11759800729667476,0.14006024760986252,0.10768051118245231,0.09376880070654714,0.0889965156947373,0.08226280448171319,0.09915611618863064,0.10670529150685773,0.10336907097117104,0.10820118903670678,0.10345728443012271,0.0,0.0,0.0
NH3 Abs,0.8824019927033252,0.8599397523901375,0.8923194888175476,0.9062311992934529,0.9110034843052627,0.9177371955182868,0.9008438838113694,0.8932947084931423,0.896630929028829,0.8917988109632933,0.8965427155698773,0.0,0.0,0.0
Trans Conf,0.07614009546395095,0.24952572909844642,0.020669203827742743,0.08465585103965571,0.17593039221118678,0.08054237144251335,0.007403261842921287,0.00978444997020631,0.004825918544131604,0.0036548302887525336,0.017927337663725097,0.0,0.0,0.0
