Wavelength (nm),Filter Name,Transmission,Tau
620,620CH4,0.8792683139031405,0.1286651788394038
632,632OI,0.9927987026814866,0.007227351819540766
647,647NH3,0.9669117203553775,0.03364807998643652
656,656HIA,1.0002221029314253,-0.00022207827022073667
