Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20250106-20250106 NEDF C,1,N/A,0.0,6,145,1858.546875,161.99440002441406
xyfnh3max,20250106-20250106 NEDF C,2,N/A,0.0,5,173,1881.04052734375,157.7892303466797
xyPcldmax,20250106-20250106 NEDF C,1,N/A,0.0,9,147,2064.41162109375,130.45358276367188
xyPcldmax,20250106-20250106 NEDF C,2,N/A,0.0,0,160,1975.21630859375,130.58712768554688
xyPcldmax,20250106-20250106 NEDF C,3,N/A,0.0,6,174,1972.269287109375,154.72091674804688
xyPcldmin,20250106-20250106 NEDF C,1,N/A,0.0,6,136,1528.6287841796875,120.04670715332031
xyPcldmin,20250106-20250106 NEDF C,2,N/A,0.0,6,165,1562.789306640625,110.60440826416016
