obs_id,dateobs,roilabel,mean1,stdv1,mean2,stdv2,meanamf
20241128UTc,2024-11-28T03:58:48Z,SED C,2009.7139501135002,26.145742637354225,142.4383572506291,6.069676059457396,1.2744252021150881
20241128UTc,2024-11-28T03:58:48Z,HS1 C,2156.3319151304217,15.124555390612967,138.50200469214258,2.7509331682401217,1.1404675621988964
20241128UTc,2024-11-28T03:58:48Z,NEB Ref,1844.2684390599475,21.550718136601922,87.56621158228043,5.141976947355716,1.1762969411788613
20241128UTc,2024-11-28T03:58:48Z,Plume C,1731.9775445512482,25.700909208849968,133.33730604770506,8.637595620449373,1.334477633493801
20241128UTc,2024-11-28T03:58:48Z, +NH3 C,1843.308718527155,31.45763978241291,167.67708074334803,9.066767774351765,1.5655476790148715
20241128UTc,2024-11-28T03:58:48Z, +NH3 D,1952.2180018687056,40.58681652968332,156.25421853989525,3.7689534375474016,1.004299895145239
20241128UTc,2024-11-28T03:58:48Z,NEDF C,2027.6909304022254,18.287744605263352,125.9781870908161,5.457240241822925,1.0240994928672875
20241128UTd,2024-11-28T04:19:42Z,SED C,2011.6304937189173,36.00786319991193,148.57918477738383,3.519494221158115,1.1145618756979832
20241128UTd,2024-11-28T04:19:42Z,HS1 C,2199.362621096476,19.094075178671243,152.0575707244708,3.522258468144082,1.0427463451738501
20241128UTd,2024-11-28T04:19:42Z,NEB Ref,1858.872666541698,26.419343202223352,98.82314618833311,4.46481712471904,1.0698195993982245
20241128UTd,2024-11-28T04:19:42Z,Plume C,1689.407874668482,18.54310287494412,143.53165936367483,9.677787163476983,1.143106206578896
20241128UTd,2024-11-28T04:19:42Z, +NH3 C,1817.9513937766744,43.32301025578047,183.8827438505579,5.99479156638103,1.2636295364686443
20241128UTd,2024-11-28T04:19:42Z, +NH3 D,1912.79750639317,30.52846531343965,154.8815815148364,6.349316469039855,1.0123328885197103
20241128UTd,2024-11-28T04:19:42Z,NEDF C,2069.846159485986,21.791638678362784,145.48238134713125,4.420738953396959,1.0048016939869795
20241128UTe,2024-11-28T04:40:36Z,SED C,1957.4328229605783,20.01587876586429,130.21872060285136,4.942596931129278,1.035255582996177
20241128UTe,2024-11-28T04:40:36Z,HS1 C,2191.348224496168,19.303914629685792,141.4535312655005,1.4471742771764384,1.0054770798275292
20241128UTe,2024-11-28T04:40:36Z,NEB Ref,1842.7838040201466,19.794927956523797,79.12172778587015,2.4903863116724603,1.0272222040780412
20241128UTe,2024-11-28T04:40:36Z,Plume C,1661.0592648615236,25.52575409571635,114.80871360218467,11.120076448063282,1.0439650264248708
20241128UTe,2024-11-28T04:40:36Z, +NH3 C,1781.3447683602446,32.14511185252646,148.72970699621604,2.8981706352494703,1.1042842631878471
20241128UTe,2024-11-28T04:40:36Z, +NH3 D,1879.3395967668132,31.56541690034383,153.21984861743067,4.170153062845934,1.0727959648173109
20241128UTe,2024-11-28T04:40:36Z,NEDF C,2016.0492019752899,24.465030671386856,138.79453853973476,4.359229360343135,1.0351744872690032
20241128UTf,2024-11-28T05:01:36Z,SED C,1953.4971751891715,24.2057862536564,129.6750680662772,4.019389215670377,1.0126170525136813
20241128UTf,2024-11-28T05:01:36Z,HS1 C,2188.579532487674,19.48673424079561,139.65575921204976,2.1050973122482266,1.0187617531572262
20241128UTf,2024-11-28T05:01:36Z,NEB Ref,1831.8999411538753,32.38265903592032,72.4835243725374,3.024876339985344,1.0367920295611774
20241128UTf,2024-11-28T05:01:36Z,Plume C,1691.803252145794,18.804133598083588,109.63336471039524,6.7512930653708,1.0053344450517145
20241128UTf,2024-11-28T05:01:36Z, +NH3 C,1790.9495780814188,24.789469565629403,140.6303449886384,3.521972766776468,1.0244735719147755
20241128UTf,2024-11-28T05:01:36Z, +NH3 D,1879.178829342365,20.16406011742309,158.04741173547748,3.6518011211271015,1.2036754312271245
20241128UTf,2024-11-28T05:01:36Z,NEDF C,2007.8620212527317,10.123465683977743,127.30476535969213,6.035812354470212,1.1238399074754604
20241128UTg,2024-11-28T05:22:30Z,SED C,1940.6076723641215,24.323194663477224,134.84774632591837,3.5451974556307126,1.0408488949050017
20241128UTg,2024-11-28T05:22:30Z,HS1 C,2155.9498806367337,20.64720126773117,151.71488347939538,4.125527218631877,1.0859541090691005
20241128UTg,2024-11-28T05:22:30Z,NEB Ref,1853.1374379455187,20.02798882174707,88.0986997398538,7.235182708949735,1.1009909296512823
20241128UTg,2024-11-28T05:22:30Z,Plume C,1681.2348143017646,19.486589616018648,121.57051388142668,5.903944298465403,1.0171663665669914
20241128UTg,2024-11-28T05:22:30Z, +NH3 C,1799.1182025431524,40.6151460856973,141.60706816071698,2.7374068971570527,1.0010411583050958
20241128UTg,2024-11-28T05:22:30Z, +NH3 D,1922.049087505605,31.347020189186484,194.65761657769363,6.77599074185238,1.4501964047503402
20241128UTg,2024-11-28T05:22:30Z,NEDF C,2017.9590364984792,12.80068432796099,161.50336512360508,6.430913312630222,1.2970613516334386
