label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max
1,2460642.658576389,2024-11-28T03:48:21.000,257.0,0.8494742610759161,7.844357976653696,12.252918287937746,7.839238825422808,12.282320213635728,1658.1448640309525,1546.5700953039327,1749.8789377268927,95.3769952808783,65.95435169147163,125.54256964602682
2,2460642.658576389,2024-11-28T03:48:21.000,1.0,0,-6.0,14.0,-6.0,14.0,1741.6781602036208,1741.6781602036208,1741.6781602036208,97.77595340776293,97.77595340776293,97.77595340776293
3,2460642.658576389,2024-11-28T03:48:21.000,5.0,0.816496580927726,-6.600000000000001,16.80000000000001,-6.601182171003341,16.801343065402364,1744.9963807458237,1735.3184475633407,1749.5081982575944,96.69608677880319,93.86893766888696,100.92403628079363
4,2460642.6651736107,2024-11-28T03:57:51.000,14.0,0.97076101630644,-13.571428571428573,22.5,-13.568998585202174,22.50108631494635,1723.927174819257,1703.6760101032567,1747.4643325763413,82.10094878567172,80.10977210723472,84.73532694247558
5,2460642.6658333335,2024-11-28T03:58:48.000,4.0,0.9241763718304448,12.0,27.5,12.00037106651343,27.50005707350283,1747.286413568654,1744.673336555075,1749.500595557869,95.28338734286697,88.58336113736003,102.66052304782343
6,2460642.6658333335,2024-11-28T03:58:48.000,1.0,0,14.0,30.0,14.0,30.0,1746.88383631115,1746.88383631115,1746.88383631115,86.21983310040736,86.21983310040736,86.21983310040736
7,2460642.714542484,2024-11-28T05:08:56.471,119.0,0.9162566841129084,8.260504201680671,71.88235294117646,8.26873700575361,71.87707532043231,1695.2730429216144,1624.983441001989,1749.002061106677,111.84340141826512,79.66327400253981,143.09982457483997
8,2460642.754402778,2024-11-28T06:06:20.400,306.0,0.9636923920978092,7.601307189542483,110.98692810457516,7.612585611295881,110.91794178600017,1679.8940258720656,1562.9562281062902,1749.991637584242,100.54506284967704,65.83074329676772,148.81441077216348
9,2460642.9333333336,2024-11-28T10:24:00.000,11.0,0.8387440096015197,8.545454545454547,148.8181818181818,8.545810300628922,148.8187530475351,1744.8230831366816,1738.1964324975606,1749.4235204984702,102.07040239404283,91.66373880460291,115.56261078602456
10,2460643.026764881,2024-11-28T12:38:32.486,14.0,0.8736214329642359,8.214285714285715,155.85714285714286,8.21390270528952,155.85700416989437,1742.375845546933,1734.7286854557588,1749.6941066711101,96.3392266919377,83.73107831114419,110.63972034129202
11,2460643.143118055,2024-11-28T15:26:05.400,54.0,0.5793817452978332,7.87037037037037,167.5185185185185,7.8714915075260805,167.5141511386095,1715.06054627597,1677.5162748457728,1749.843445167982,102.52247112641815,79.53360183115305,125.44801557757509
12,2460643.5517939813,2024-11-29T01:14:35.000,296.0,0.9878752292641712,10.04391891891892,211.59121621621622,10.053648076503038,211.51679427309364,1706.5707328290782,1606.5189853809086,1749.6765620466817,96.02172086642639,69.11485095641804,141.15748418397152
13,2460643.7482833336,2024-11-29T05:57:31.680,265.0,0.9652938104551039,9.50943396226415,261.22641509433964,9.530167450128344,261.1611210773262,1680.5245868312036,1578.0476760867264,1749.7542930005095,82.86679156314854,58.4984212821072,141.57216072642393
14,2460643.804140461,2024-11-29T07:17:57.736,247.0,0.9422759928206998,8.408906882591094,308.96356275303646,8.414994156634663,308.9151496982764,1680.8897731648885,1584.5051055448387,1749.835493113645,90.89650625162434,67.78404388164508,131.98207933313068
15,2460643.82662037,2024-11-29T07:50:20.000,3.0,0.816496580927726,7.666666666666667,342.6666666666667,7.666555057113318,342.666632736094,1745.3875024048775,1744.6254306538624,1745.971908163567,86.71919196648452,80.26819508087395,94.31096785624267
16,2460643.833888889,2024-11-29T08:00:48.000,73.0,0.9012247405537929,10.547945205479452,354.6027397260274,10.54686663681529,354.5561876308308,1715.8355334104224,1630.776981719911,1749.4318442607016,81.20022060358228,64.77588849955058,106.57764845389647
