obs_id,dateobs,roilabel,mean1,stdv1,mean2,stdv2,meanamf
20241203UTa,2024-12-03T02:27:24Z,SED C,1959.467801151312,33.788624725582146,121.5807104609454,5.226487070412944,1.1337665538862565
20241203UTa,2024-12-03T02:27:24Z,HS1 C,2165.790959383544,19.978604371803712,144.705948619692,4.677541983427991,1.0598896767290633
20241203UTa,2024-12-03T02:27:24Z,NEB Ref,1859.9613612614316,27.431307289931322,81.96244928649459,4.318711024785387,1.0645111021564568
20241203UTa,2024-12-03T02:27:24Z,Plume C,1632.1765982749528,42.73669843069016,102.77884011769447,7.36578818743305,1.1545893084482266
20241203UTa,2024-12-03T02:27:24Z, +NH3 C,1759.048668347412,49.71795167621277,146.34203629163355,8.435638542555864,1.2815610676482245
20241203UTa,2024-12-03T02:27:24Z, +NH3 D,1847.035831756808,41.75171588702871,139.39977705941052,6.641345381630355,1.0148109341298213
20241203UTa,2024-12-03T02:27:24Z,NEDF C,1967.0409850558158,10.290453181001276,133.60726854931107,3.2171637248567313,1.0052181502483397
20241203UTb,2024-12-03T02:48:18Z,SED C,2001.282974799632,27.678069827659225,124.02417435153373,5.277291449234107,1.043728725390951
20241203UTb,2024-12-03T02:48:18Z,HS1 C,2192.666364970026,14.00672971169815,139.27297920708764,2.878530497918429,1.009571302762198
20241203UTb,2024-12-03T02:48:18Z,NEB Ref,1852.1847940756622,32.87475487143444,84.22142077319374,3.530992627019285,1.026059833918755
20241203UTb,2024-12-03T02:48:18Z,Plume C,1698.441136637182,27.912717114686266,107.8063936832973,5.393058359465553,1.0494862342612095
20241203UTb,2024-12-03T02:48:18Z, +NH3 C,1808.8411733319724,32.25702098875377,133.33603578398365,2.9693370050429646,1.113763020159169
20241203UTb,2024-12-03T02:48:18Z, +NH3 D,1867.847062806424,22.07235401924101,141.43595233639508,5.852670388998402,1.0796283765814596
20241203UTb,2024-12-03T02:48:18Z,NEDF C,1890.4382743622905,15.289894886416755,119.78631842676467,5.708329996784203,1.0394530651499587
20241203UTc,2024-12-03T03:09:12Z,SED C,1911.5937661830965,31.944545030700585,133.07687604829107,4.7127004376997235,1.0126837002627282
20241203UTc,2024-12-03T03:09:12Z,HS1 C,2146.135435117799,12.221644165576441,131.59253646890159,1.4741783784919944,1.0106851068318237
20241203UTc,2024-12-03T03:09:12Z,NEB Ref,1867.1588152254335,20.50092867426633,76.52566975945686,2.644419545534569,1.039295694283442
20241203UTc,2024-12-03T03:09:12Z,Plume C,1645.5327871822826,24.42650936464388,120.63338523166409,7.275781249365581,1.006516887231058
20241203UTc,2024-12-03T03:09:12Z, +NH3 C,1808.5426773844913,55.984468258342496,142.08349111913847,2.2291838023425674,1.028858373917661
20241203UTc,2024-12-03T03:09:12Z, +NH3 D,1781.7917734013706,25.905287966673022,147.99012902312393,6.056460954951199,1.2160978731952647
20241203UTc,2024-12-03T03:09:12Z,NEDF C,1881.8363348472426,10.430024439283164,108.1873234920256,4.3620881035093095,1.132559852294238
20241203UTd,2024-12-03T03:30:06Z,SED C,1907.6668192144552,42.24730821588375,123.11731174814051,4.789906327238495,1.0322967615161445
20241203UTd,2024-12-03T03:30:06Z,HS1 C,2137.8480285927617,17.992923168075492,141.14341725338835,1.9888288710533077,1.0635198978099714
20241203UTd,2024-12-03T03:30:06Z,NEB Ref,1853.8454312466843,24.761873374484395,76.01750097544888,4.0017964604201985,1.107756251533256
20241203UTd,2024-12-03T03:30:06Z,Plume C,1636.1933567782457,34.015105167940504,106.49676496756521,5.698619753437729,1.0139974513989125
20241203UTd,2024-12-03T03:30:06Z, +NH3 C,1810.2530074461308,57.33619787762597,138.18662289235854,3.441120952554003,1.000981363878029
20241203UTd,2024-12-03T03:30:06Z, +NH3 D,1734.2989537611575,20.951330162791848,155.67389686051595,6.699720938920968,1.4737047348548498
20241203UTd,2024-12-03T03:30:06Z,NEDF C,1813.5906315577374,22.852666163753163,123.0369837494043,6.214604180472675,1.3134373750120372
20241203UTe,2024-12-03T03:51:00Z,SED C,1956.2575675886283,20.279138710271077,142.64436415869648,3.3409371772534815,1.1077547585579488
20241203UTe,2024-12-03T03:51:00Z,HS1 C,2064.2100323865834,14.043949381927074,144.76127468026192,2.4710246139461947,1.1828256909917787
20241203UTe,2024-12-03T03:51:00Z,NEB Ref,1838.5839945160483,16.342891359814335,74.8267638377641,5.406250167872218,1.2517712144763586
20241203UTe,2024-12-03T03:51:00Z,Plume C,1653.7728531910689,17.377110455288353,117.7653975955235,4.98613117139662,1.0738700819947828
20241203UTe,2024-12-03T03:51:00Z, +NH3 C,1836.03618668566,36.11127990118583,140.83629618631488,2.3235505338684335,1.0227452789870546
20241203UTe,2024-12-03T03:51:00Z, +NH3 D,1781.4809086088587,25.673039608194333,211.84843720403157,28.33162636600245,1.9926571821751697
20241203UTe,2024-12-03T03:51:00Z,NEDF C,1722.3296728284997,22.039438148542477,131.50107615055933,7.551777869996529,1.6580582254416423
