"REC_NO","OBJECT","REGION","ID","DESCR","DATE","UT","JD","LONG_1","LONG_2","LONG_3","LONG_SYST","ERR_LONG","SYSTEM","PHASE","LAT","ERR_LAT","INFO","MEAS","CHANNEL"
222,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/10/24","04:31.3",2460241.68840,122.0,342.6,17.6,122.0,,1,+2.3,+7.5,,"Quality Check","","colo"
223,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/10/24","04:31.3",2460241.68840,103.0,323.6,358.6,103.0,,1,+2.3,+9.0,,"Quality Check","","colo"
224,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/10/26","04:21.3",2460243.68146,81.0,286.4,321.9,81.0,,1,+1.8,+5.5,,"","","colo"
225,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/10/26","04:21.3",2460243.68146,108.0,313.4,348.9,108.0,,1,+1.8,+5.5,,"","","colo"
226,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/10/26","04:21.3",2460243.68146,97.0,302.4,337.9,97.0,,1,+1.8,+6.5,,"","","colo"
227,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/10/26","04:21.3",2460243.68146,107.0,312.4,347.9,107.0,,1,+1.8,+8.0,,"","","colo"
228,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/03","03:53.3",2460251.66201,281.0,65.5,103.2,281.0,,1,+0.0,+4.5,,"","","colo"
229,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/03","03:53.3",2460251.66201,233.0,17.5,55.2,233.0,,1,+0.0,+6.0,,"","","colo"
230,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/03","03:53.3",2460251.66201,234.0,18.5,56.2,234.0,,1,+0.0,+8.5,,"","","colo"
231,"WC1_SPOT","L2","Test","NH3 Enhancement","2023/11/07","03:05.6",2460255.62889,155.0,269.3,307.9,155.0,,1,-0.9,+3.5,,"","","colo"
232,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/07","03:05.6",2460255.62889,123.0,237.3,275.9,123.0,,1,-0.9,+5.5,,"","","colo"
233,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/07","03:05.6",2460255.62889,125.0,239.3,277.9,125.0,,1,-0.9,+8.5,,"","","colo"
234,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/07","03:33.0",2460255.64792,121.0,235.1,273.8,121.0,,1,-0.9,+2.5,,"","","colo"
235,"WC1_SPOT","L2","Test","NH3 Enhancement","2023/11/07","03:33.0",2460255.64792,162.0,276.1,314.8,162.0,,1,-0.9,+3.5,,"","","colo"
236,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/07","03:33.0",2460255.64792,127.0,241.1,279.8,127.0,,1,-0.9,+6.5,,"","","colo"
237,"DC1_SPOT","K2","Test","CH4 Deep Cloud","2023/11/07","03:33.0",2460255.64792,163.0,277.1,315.8,163.0,,1,-0.9,+6.5,,"","","colo"
238,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/10","03:39.7",2460258.65257,280.0,11.2,50.7,280.0,,1,-1.6,+2.5,,"","","colo"
239,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/10","03:39.7",2460258.65257,239.0,330.2,9.7,239.0,,1,-1.6,+4.0,,"","","colo"
240,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/10","03:39.7",2460258.65257,297.0,28.2,67.7,297.0,,1,-1.6,+4.5,,"","","colo"
241,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/10","03:39.7",2460258.65257,254.0,345.2,24.7,254.0,,1,-1.6,+4.5,,"","","colo"
242,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/10","03:39.7",2460258.65257,272.0,3.2,42.7,272.0,,1,-1.6,+6.0,,"","","colo"
243,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/10","03:39.7",2460258.65257,241.0,332.2,11.7,241.0,,1,-1.6,+6.5,,"","","colo"
244,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/10","03:39.7",2460258.65257,256.0,347.2,26.7,256.0,,1,-1.6,+8.5,,"","","colo"
245,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/10","04:06.3",2460258.67104,272.0,3.1,42.5,272.0,,1,-1.6,+2.5,,"","","colo"
246,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/10","04:06.3",2460258.67104,298.0,29.1,68.5,298.0,,1,-1.6,+2.5,,"","","colo"
247,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/10","04:06.3",2460258.67104,300.0,31.1,70.5,300.0,,1,-1.6,+3.0,,"","","colo"
248,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/10","04:06.3",2460258.67104,239.0,330.1,9.5,239.0,,1,-1.6,+5.5,,"","","colo"
249,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/10","04:06.3",2460258.67104,241.0,332.1,11.5,241.0,,1,-1.6,+6.0,,"","","colo"
250,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/10","04:06.3",2460258.67104,254.0,345.1,24.5,254.0,,1,-1.6,+6.5,,"","","colo"
251,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/10","04:06.3",2460258.67104,269.0,0.1,39.5,269.0,,1,-1.6,+7.0,,"","","colo"
252,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/10","04:06.3",2460258.67104,291.0,22.1,61.5,291.0,,1,-1.6,+8.5,,"","","colo"
253,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/10","04:06.3",2460258.67104,256.0,347.1,26.5,256.0,,1,-1.6,+9.5,,"","","colo"
254,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/12","04:27.0",2460260.68542,273.0,348.7,28.7,273.0,,1,-2.0,+2.5,,"","","colo"
255,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/12","04:27.0",2460260.68542,236.0,311.7,351.7,236.0,,1,-2.0,+3.5,,"","","colo"
256,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/12","04:27.0",2460260.68542,239.0,314.7,354.7,239.0,,1,-2.0,+6.5,,"","","colo"
257,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/12","04:27.0",2460260.68542,258.0,333.7,13.7,258.0,,1,-2.0,+7.5,,"","","colo"
258,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/12","04:57.0",2460260.70625,274.0,349.5,29.6,274.0,,1,-2.0,+1.5,,"","","colo"
259,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/12","04:57.0",2460260.70625,243.0,318.5,358.6,243.0,,1,-2.0,+2.5,,"","","colo"
260,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/12","04:57.0",2460260.70625,256.0,331.5,11.6,256.0,,1,-2.0,+4.5,,"","","colo"
261,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/12","04:57.0",2460260.70625,272.0,347.5,27.6,272.0,,1,-2.0,+6.5,,"","","colo"
262,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/12","04:57.0",2460260.70625,258.0,333.5,13.6,258.0,,1,-2.0,+8.5,,"","","colo"
263,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/12","04:57.0",2460260.70625,285.0,0.5,40.6,285.0,,1,-2.0,+9.5,,"","","colo"
264,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/13","02:31.7",2460261.60535,307.0,15.7,55.9,307.0,,1,-2.2,+2.5,,"","","colo"
265,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/13","02:31.7",2460261.60535,322.0,30.7,70.9,322.0,,1,-2.2,+2.5,,"","","colo"
266,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/13","02:31.7",2460261.60535,349.0,57.7,97.9,349.0,,1,-2.2,+3.5,,"","","colo"
267,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/13","02:31.7",2460261.60535,322.0,30.7,70.9,322.0,,1,-2.2,+7.5,,"","","colo"
268,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/13","02:31.7",2460261.60535,341.0,49.7,89.9,341.0,,1,-2.2,+9.5,,"","","colo"
269,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/13","02:31.7",2460261.60535,346.0,54.7,94.9,346.0,,1,-2.2,+9.5,,"","","colo"
270,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/13","02:59.4",2460261.62458,344.0,52.5,92.8,344.0,,1,-2.2,+2.5,,"","","colo"
271,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/13","02:59.4",2460261.62458,323.0,31.5,71.8,323.0,,1,-2.2,+3.5,,"","","colo"
272,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/13","02:59.4",2460261.62458,9.0,77.5,117.8,9.0,,1,-2.2,+3.5,,"","","colo"
273,"WC1_SPOT","L2","Test","NH3 Enhancement","2023/11/13","02:59.4",2460261.62458,23.0,91.5,131.8,23.0,,1,-2.2,+3.5,,"","","colo"
274,"DC1_SPOT","K2","Test","CH4 Deep Cloud","2023/11/13","02:59.4",2460261.62458,325.0,33.5,73.8,325.0,,1,-2.2,+5.5,,"","","colo"
275,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/13","02:59.4",2460261.62458,12.0,80.5,120.8,12.0,,1,-2.2,+6.5,,"","","colo"
276,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/13","02:59.4",2460261.62458,338.0,46.5,86.8,338.0,,1,-2.2,+9.5,,"","","colo"
277,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/13","02:59.4",2460261.62458,345.0,53.5,93.8,345.0,,1,-2.2,+9.5,,"","","colo"
278,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/15","03:21.4",2460263.63986,308.0,1.1,42.0,308.0,,1,-2.7,+2.0,,"Quality Check","","colo"
279,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/15","03:21.4",2460263.63986,326.0,19.1,60.0,326.0,,1,-2.7,+4.5,,"Quality Check","","colo"
280,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/15","03:21.4",2460263.63986,323.0,16.1,57.0,323.0,,1,-2.7,+6.5,,"Quality Check","","colo"
281,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/15","03:21.4",2460263.63986,346.0,39.1,80.0,346.0,,1,-2.7,+7.5,,"Quality Check","","colo"
282,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/15","03:21.4",2460263.63986,344.0,37.1,78.0,344.0,,1,-2.7,+9.5,,"Quality Check","","colo"
283,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/15","03:47.9",2460263.65826,325.0,18.0,58.8,325.0,,1,-2.7,+4.5,,"Quality Check","","colo"
284,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/15","03:47.9",2460263.65826,323.0,16.0,56.8,323.0,,1,-2.7,+7.5,,"Quality Check","","colo"
285,"WC1_SPOT","L2","Test","NH3 Enhancement","2023/11/15","03:47.9",2460263.65826,346.0,39.0,79.8,346.0,,1,-2.7,+7.5,,"Quality Check","","colo"
286,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/15","03:47.9",2460263.65826,344.0,37.0,77.8,344.0,,1,-2.7,+9.5,,"Quality Check","","colo"
287,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/15","03:47.9",2460263.65826,8.0,61.0,101.8,8.0,,1,-2.7,+9.5,,"Quality Check","","colo"
288,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/28","03:59.6",2460276.66639,214.0,167.8,212.0,214.0,,1,-5.4,+4.5,,"Quality Check","","colo"
289,"WC1_SPOT","L2","Test","NH3 Enhancement","2023/11/28","03:59.6",2460276.66639,248.0,201.8,246.0,248.0,,1,-5.4,+4.5,,"Quality Check","","colo"
290,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/28","03:59.6",2460276.66639,217.0,170.8,215.0,217.0,,1,-5.4,+7.5,,"Quality Check","","colo"
291,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/28","03:59.6",2460276.66639,248.0,201.8,246.0,248.0,,1,-5.4,+9.5,,"Quality Check","","colo"
292,"DC1_SPOT","L2","Test","NH3 Enhancement","2023/11/29","03:15.8",2460277.63597,24.0,330.4,14.9,24.0,,1,-5.6,+1.5,,"Quality Check","","colo"
293,"WC1_SPOT","L2","Test","NH3 Enhancement","2023/11/29","03:15.8",2460277.63597,350.0,296.4,340.9,350.0,,1,-5.6,+5.5,,"","","colo"
294,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/29","03:15.8",2460277.63597,352.0,298.4,342.9,352.0,,1,-5.6,+7.0,,"","","colo"
295,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/29","03:15.8",2460277.63597,46.0,352.4,36.9,46.0,,1,-5.6,+9.5,,"","","colo"
296,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/29","03:44.9",2460277.65618,350.0,296.2,340.7,350.0,,1,-5.6,+3.5,,"","","colo"
297,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/29","03:44.9",2460277.65618,39.0,345.2,29.7,39.0,,1,-5.6,+4.5,,"","","colo"
298,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/29","03:44.9",2460277.65618,357.0,303.2,347.7,357.0,,1,-5.6,+7.5,,"","","colo"
299,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/11/29","03:44.9",2460277.65618,46.0,352.2,36.7,46.0,,1,-5.6,+9.5,,"","","colo"
300,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/11/29","04:12.6",2460277.67542,46.0,352.1,36.6,46.0,,1,-5.6,+3.5,,"","","colo"
301,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/11/29","04:12.6",2460277.67542,80.0,26.1,70.6,80.0,,1,-5.6,+5.5,,"","","colo"
302,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/29","04:12.6",2460277.67542,49.0,355.1,39.6,49.0,,1,-5.6,+7.0,,"","","colo"
303,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/29","04:12.6",2460277.67542,78.0,24.1,68.6,78.0,,1,-5.6,+7.5,,"","","colo"
304,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/11/29","04:12.6",2460277.67542,16.0,322.1,6.6,16.0,,1,-5.6,+9.0,,"","","colo"
305,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/12/06","03:04.8",2460284.62833,8.0,261.0,307.4,8.0,,1,-6.9,+2.5,,"","","colo"
306,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/12/06","03:04.8",2460284.62833,25.0,278.0,324.4,25.0,,1,-6.9,+4.5,,"","","colo"
307,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/12/06","03:04.8",2460284.62833,39.0,292.0,338.4,39.0,,1,-6.9,+4.5,,"","","colo"
308,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/12/06","03:04.8",2460284.62833,353.0,246.0,292.4,353.0,,1,-6.9,+5.5,,"","","colo"
309,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/12/06","03:04.8",2460284.62833,352.0,245.0,291.4,352.0,,1,-6.9,+6.0,,"","","colo"
310,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/12/06","03:04.8",2460284.62833,25.0,278.0,324.4,25.0,,1,-6.9,+7.5,,"","","colo"
311,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/12/06","03:04.8",2460284.62833,41.0,294.0,340.4,41.0,,1,-6.9,+7.5,,"","","colo"
312,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/12/06","03:04.8",2460284.62833,11.0,264.0,310.4,11.0,,1,-6.9,+9.5,,"","","colo"
313,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/12/06","03:04.8",2460284.62833,57.0,310.0,356.4,57.0,,1,-6.9,+9.5,,"","","colo"
314,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/12/06","03:30.2",2460284.64597,6.0,258.9,305.3,6.0,,1,-6.9,+3.5,,"","","colo"
315,"WC1_SPOT","K2","Test","NH3 Enhancement","2023/12/06","03:30.2",2460284.64597,29.0,281.9,328.3,29.0,,1,-6.9,+4.0,,"","","colo"
316,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/12/06","03:30.2",2460284.64597,49.0,301.9,348.3,49.0,,1,-6.9,+4.0,,"","","colo"
317,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/12/06","03:30.2",2460284.64597,26.0,278.9,325.3,26.0,,1,-6.9,+7.5,,"","","colo"
318,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2023/12/06","03:30.2",2460284.64597,43.0,295.9,342.3,43.0,,1,-6.9,+8.5,,"","","colo"
319,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2023/12/06","03:30.2",2460284.64597,80.0,332.9,19.3,80.0,,1,-6.9,+8.5,,"","","colo"
320,"WC1_SPOT","L1","Test","NH3 Enhancement","2023/12/06","03:30.2",2460284.64597,78.0,330.9,17.3,78.0,,1,-6.9,+5.5,,"","","colo"
