Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20241202-20241202 NEDF 322,1,2024-12-02T04:37:36.000,2460646.6927777776,-3,324,1990.103759765625,126.32982635498047
xyfnh3max,20241202-20241202 NEDF 322,2,2024-12-02T04:37:36.000,2460646.6927777776,5,325,1822.4976806640625,132.39739990234375
xyfnh3min,20241202-20241202 NEDF 322,1,2024-12-02T04:27:09.000,2460646.6855208334,11,308,1755.6427001953125,76.42730712890625
xyfnh3min,20241202-20241202 NEDF 322,2,2024-12-02T04:28:02.743,2460646.6861428567,10,315,1693.0972900390625,77.50711822509766
xyfnh3min,20241202-20241202 NEDF 322,3,2024-12-02T04:48:03.000,2460646.700034722,-7,332,1831.7548828125,90.61862182617188
xyfnh3min,20241202-20241202 NEDF 322,4,2024-12-02T04:48:03.000,2460646.700034722,-7,338,1842.3397216796875,88.41492462158203
xyPcldmax,20241202-20241202 NEDF 322,1,2024-12-02T04:27:09.000,2460646.6855208334,-1,312,1912.802490234375,118.7413101196289
xyPcldmax,20241202-20241202 NEDF 322,2,2024-12-02T04:37:36.000,2460646.6927777776,-5,323,2035.701904296875,119.99591064453125
xyPcldmax,20241202-20241202 NEDF 322,3,2024-12-02T04:37:36.000,2460646.6927777776,8,326,1890.0992431640625,124.03836822509766
xyPcldmax,20241202-20241202 NEDF 322,4,2024-12-02T04:48:03.000,2460646.700034722,-2,335,1917.1475830078125,116.99996948242188
xyPcldmin,20241202-20241202 NEDF 322,1,2024-12-02T04:31:04.125,2460646.6882421873,8,318,1600.803955078125,90.64608764648438
xyPcldmin,20241202-20241202 NEDF 322,2,2024-12-02T04:48:03.000,2460646.700034722,-7,331,1824.1826171875,91.74371337890625
