ROI Label,Mean1,Stdv1,Mean2,Stdv2,Mean AMF
SED C,1974.5764228692576,29.99921231912251,137.15181540461197,7.318614405505222,1.0955417216455863
HS1 C,2178.3144347694947,18.448211320871394,144.67674987471182,5.962194303452056,1.0586813698853204
NEB Ref,1846.1924577442373,9.258695844852216,85.21866193377498,8.924616895494099,1.0822243407735175
Plume C,1691.0965501057624,23.126171742289387,124.57631152107729,12.359552458499675,1.1088099356232548
 +NH3 C,1806.534532257729,21.97772713928908,156.50538894789545,16.785496548143033,1.191795241778247
 +NH3 D,1909.1166043753317,27.64586472333195,163.4121353970667,15.703179214695883,1.148660116891945
