obs_id,dateobs,roilabel,mean1,stdv1,mean2,stdv2,meanamf
20241205UTd,2024-12-05T03:03:06Z,SED C,1915.813961608678,24.448666927828768,186.20726988968966,10.594487410558092,1.6494207523417117
20241205UTd,2024-12-05T03:03:06Z,HS1 C,2023.3241723180881,28.2916445138609,148.45023467118557,4.393140483724238,1.333145490931169
20241205UTd,2024-12-05T03:03:06Z,NEB Ref,1923.6721282890007,39.26760050157756,77.3213726217856,4.335748836573812,1.3033108966138456
20241205UTd,2024-12-05T03:03:06Z,Plume C,1632.734131592798,33.161412427807406,186.5060208175267,26.74443822724821,1.7029751683050338
20241205UTd,2024-12-05T03:03:06Z, +NH3 C,1828.2093584677634,96.21278507619827,315.6371110478192,33.19097787355264,2.1994277568062253
20241205UTd,2024-12-05T03:03:06Z, +NH3 D,1882.2808614053881,20.456245601315437,162.4942323381048,3.316403364277635,1.0235429496891433
20241205UTd,2024-12-05T03:03:06Z,NEDF C,1894.378514729691,29.90622586938058,114.07666280934372,7.443873680325401,1.0634124695543499
20241205UTe,2024-12-05T03:24:00Z,SED C,1965.8367466755133,23.570858689171033,129.83854235431937,6.532896592965207,1.3110611112947024
20241205UTe,2024-12-05T03:24:00Z,HS1 C,2083.1536560871236,25.989580461043236,140.62158581540922,1.9669391362480901,1.1428738057219272
20241205UTe,2024-12-05T03:24:00Z,NEB Ref,1881.7989153001668,31.192065591990005,72.47864932002412,6.649106290532724,1.1346280488548146
20241205UTe,2024-12-05T03:24:00Z,Plume C,1623.3599557569628,30.800594916959028,108.65166909539545,7.012370090705144,1.3342382466613147
20241205UTe,2024-12-05T03:24:00Z, +NH3 C,1692.7207941701854,29.27694836022744,142.43439628527207,7.306831769492471,1.5668726159208894
20241205UTe,2024-12-05T03:24:00Z, +NH3 D,1898.4023349260935,24.94239292555675,163.4491663408708,5.337202493517279,1.0014526632244427
20241205UTe,2024-12-05T03:24:00Z,NEDF C,1904.378265436504,23.917853885984204,126.45405324829494,8.071714890168218,1.012231950187117
20241205UTf,2024-12-05T03:44:54Z,SED C,1978.380655780667,24.16237789125679,133.00996099642379,7.392591085591842,1.1338912825164071
20241205UTf,2024-12-05T03:44:54Z,HS1 C,2135.768482309751,29.63184061812484,132.66365388292002,2.6252372620348807,1.0446100769286844
20241205UTf,2024-12-05T03:44:54Z,NEB Ref,1866.2650408650466,34.71709773907366,79.87972254252921,4.857593278020343,1.050458817485976
20241205UTf,2024-12-05T03:44:54Z,Plume C,1645.796507403731,23.56817421015222,110.30732143881332,5.140710517146079,1.1424299316909399
20241205UTf,2024-12-05T03:44:54Z, +NH3 C,1753.0944989833295,23.155839764027007,138.51162589689557,7.601514352982984,1.2647238401690484
20241205UTf,2024-12-05T03:44:54Z, +NH3 D,1850.1964261577862,30.09963135142101,159.8381307207002,5.307062659263167,1.028972966307032
20241205UTf,2024-12-05T03:44:54Z,NEDF C,1841.6842034266497,26.62031299896474,111.43127601297984,7.6754239876799195,1.0122140114007867
20241205UTg,2024-12-05T04:05:48Z,SED C,1952.9642576107967,33.17184668041725,137.0581998321451,6.267603836928261,1.043769735773591
20241205UTg,2024-12-05T04:05:48Z,HS1 C,2198.9812110567946,31.393147176079747,129.29964985721682,1.6437303800047147,1.006992707426368
20241205UTg,2024-12-05T04:05:48Z,NEB Ref,1917.9043171151666,40.948447466038274,79.2201413478202,3.364376420774484,1.0245941078862617
20241205UTg,2024-12-05T04:05:48Z,Plume C,1648.766137534817,31.339089853277347,128.61537999842375,8.323479523937872,1.0430053594195838
20241205UTg,2024-12-05T04:05:48Z, +NH3 C,1781.5915000726407,43.05035376637639,143.86205836997365,5.76630098494035,1.1051235706189009
20241205UTg,2024-12-05T04:05:48Z, +NH3 D,1851.4563798431045,35.86881976842004,163.1781942714536,5.76927357083983,1.1133792306749237
20241205UTg,2024-12-05T04:05:48Z,NEDF C,1891.4686610975214,37.79853871907953,100.61402351378429,6.379478247487429,1.0633525680017195
20241205UTh,2024-12-05T04:50:30Z,SED C,1914.3480249006634,38.63040414140276,122.08102943047882,4.042774947930473,1.0390208076772418
20241205UTh,2024-12-05T04:50:30Z,HS1 C,2172.3663927374673,36.91148679667129,149.68900070686027,3.521889439331055,1.1008575616737604
20241205UTh,2024-12-05T04:50:30Z,NEB Ref,1923.9661417774598,39.08070584304299,84.86551355707749,3.514550783360186,1.1509681064035828
20241205UTh,2024-12-05T04:50:30Z,Plume C,1620.988216686937,41.13212477763989,117.31774667587442,6.551818953524529,1.021039602385088
20241205UTh,2024-12-05T04:50:30Z, +NH3 C,1782.5226941747908,53.029188398949735,145.05008050539138,3.9387355456479427,1.0019742653772046
20241205UTh,2024-12-05T04:50:30Z, +NH3 D,1815.0932445185372,32.66012839635364,118.23952372182792,14.077601956683164,1.6609701832690709
20241205UTh,2024-12-05T04:50:30Z,NEDF C,1830.5448031452856,13.002708697321259,112.16217540869167,3.2557772048982323,1.4434631475963442
