Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20241202-20241202 NEDF 280,1,2024-12-02T03:11:41.769,2460646.633122329,4,234,1806.3466796875,140.9333953857422
xyfnh3max,20241202-20241202 NEDF 280,2,2024-12-02T03:12:30.000,2460646.6336805555,3,242,1815.386474609375,138.7158966064453
xyfnh3max,20241202-20241202 NEDF 280,3,2024-12-02T03:29:50.049,2460646.645718157,1,257,1913.9903564453125,130.67327880859375
xyfnh3max,20241202-20241202 NEDF 280,4,2024-12-02T03:34:00.000,2460646.6486111106,0,265,1943.40478515625,129.5335235595703
xyfnh3max,20241202-20241202 NEDF 280,5,2024-12-02T03:55:12.000,2460646.663333333,6,280,1835.544189453125,142.76419067382812
xyfnh3max,20241202-20241202 NEDF 280,6,2024-12-02T04:05:52.500,2460646.6707465276,-10,290,1935.912353515625,106.1070785522461
xyfnh3max,20241202-20241202 NEDF 280,7,2024-12-02T04:27:09.000,2460646.6855208334,1,317,1840.2081298828125,122.40612030029297
xyfnh3max,20241202-20241202 NEDF 280,8,2024-12-02T04:27:09.000,2460646.6855208334,-3,324,1957.3173828125,122.7614974975586
xyfnh3max,20241202-20241202 NEDF 280,9,2024-12-02T04:29:14.400,2460646.6869722223,6,327,1827.5662841796875,126.62276458740234
xyfnh3max,20241202-20241202 NEDF 280,10,2024-12-02T04:37:36.000,2460646.6927777776,-2,335,1906.540283203125,115.27079010009766
xyfnh3min,20241202-20241202 NEDF 280,1,2024-12-02T04:16:42.000,2460646.678263888,-10,304,1762.2080078125,87.92710876464844
xyfnh3min,20241202-20241202 NEDF 280,2,2024-12-02T04:16:42.000,2460646.678263888,11,308,1735.2362060546875,72.45353698730469
xyfnh3min,20241202-20241202 NEDF 280,3,2024-12-02T04:20:20.087,2460646.6807880434,11,316,1727.0062255859375,73.35590362548828
xyfnh3min,20241202-20241202 NEDF 280,4,2024-12-02T04:37:36.000,2460646.6927777776,-7,332,1837.032470703125,88.57774353027344
xyPcldmax,20241202-20241202 NEDF 280,1,2024-12-02T03:34:00.000,2460646.6486111106,-3,266,2006.1744384765625,121.51870727539062
xyPcldmax,20241202-20241202 NEDF 280,2,2024-12-02T03:58:15.000,2460646.665451389,-2,288,1986.2236328125,115.19497680664062
xyPcldmax,20241202-20241202 NEDF 280,3,2024-12-02T03:59:21.951,2460646.6662262864,-10,289,1945.35986328125,105.4742431640625
xyPcldmax,20241202-20241202 NEDF 280,4,2024-12-02T04:16:42.000,2460646.678263888,-1,310,1882.00537109375,112.4531021118164
xyPcldmax,20241202-20241202 NEDF 280,5,2024-12-02T04:29:14.400,2460646.6869722223,9,327,1879.7115478515625,114.92927551269531
xyPcldmax,20241202-20241202 NEDF 280,6,2024-12-02T04:37:36.000,2460646.6927777776,-2,335,1906.540283203125,115.27079010009766
xyPcldmin,20241202-20241202 NEDF 280,1,2024-12-02T03:10:49.680,2460646.632519445,-4,233,1809.1353759765625,125.56742858886719
xyPcldmin,20241202-20241202 NEDF 280,2,2024-12-02T03:23:19.500,2460646.6411979166,11,254,1708.9327392578125,76.99148559570312
xyPcldmin,20241202-20241202 NEDF 280,3,2024-12-02T03:41:28.941,2460646.6538071893,8,271,1643.2554931640625,96.56352233886719
xyPcldmin,20241202-20241202 NEDF 280,4,2024-12-02T04:05:52.500,2460646.6707465276,8,298,1674.77490234375,84.15945434570312
xyPcldmin,20241202-20241202 NEDF 280,5,2024-12-02T04:16:42.000,2460646.678263888,-9,304,1752.68359375,90.44111633300781
xyPcldmin,20241202-20241202 NEDF 280,6,2024-12-02T04:27:09.000,2460646.6855208334,8,317,1593.79296875,85.13584899902344
xyPcldmin,20241202-20241202 NEDF 280,7,2024-12-02T04:37:36.000,2460646.6927777776,-7,333,1816.2073974609375,90.78353881835938
