Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,2024-12-02T03:23:19.500,2460646.6411979166,21,90,-6,250,112.63611600391165,1893.34613567084,0.542246011170474
1,2024-12-02T03:33:01.773,2460646.647937184,20,80,-5,260,116.26217360916974,1965.0661247519793,0.5660130977630615
2,2024-12-02T03:34:00.000,2460646.6486111106,8,77,7,263,98.95095502133746,1748.5071112133228,0.6000000208616256
3,2024-12-02T03:44:36.000,2460646.655972222,9,67,6,273,118.79954731682913,1672.5261893726006,0.6085850781685598
4,2024-12-02T03:48:50.400,2460646.658916667,21,64,-6,276,103.2964091882694,1915.4562019962186,0.5871568843722342
5,2024-12-02T03:57:11.163,2460646.6647125324,20,53,-5,287,105.92367156837622,1919.4380538152318,0.606174406853128
6,2024-12-02T04:06:48.171,2460646.6713908724,8,41,7,299,93.58501536502207,1704.956084926289,0.6530663535950032
7,2024-12-02T04:16:42.000,2460646.678263888,20,37,-5,303,99.53009815160176,1778.8894332452687,0.6556862950325012
8,2024-12-02T04:18:22.320,2460646.6794249997,21,26,-6,314,93.88926837003437,1841.8226508780394,0.6794117838144302
9,2024-12-02T04:27:09.000,2460646.6855208334,7,21,8,319,88.35417020141625,1605.1045365026607,0.7064425945281982
10,2024-12-02T04:37:36.000,2460646.6927777776,21,7,-6,333,92.59974066899981,1827.9459648934705,0.7176470756530762
