Tag,label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,Threshold,HW,Boxcar,Fit
,5,2460643.568,2024-11-29T01:37:13.729,44,0.921052786,3.818181818,214.8181818,3.82,214.82,138.03,135.07,142.56,1871.29,1813.53,1909.53,135,45,9,
7,6,2460643.723,2024-11-29T05:20:52.800,71,0.926827379,3.704225352,237.4084507,3.71,237.42,139.74,135.07,146.13,1887.71,1763.66,1969.21,135,45,9,
B,7,2460643.733,2024-11-29T05:34:56.471,2,1,4.5,247.5,4.5,247.5,135.48,135.17,135.79,1881.26,1875.37,1887.14,135,45,9,
,8,2460643.738,2024-11-29T05:42:24.000,1,0,4,251,4,251,135.26,135.26,135.26,1882.94,1882.94,1882.94,135,45,9,
8,9,2460643.768,2024-11-29T06:25:26.400,41,0.785483323,5.170731707,278.6585366,5.17,278.66,140.29,135.03,147.57,1794.54,1684.08,1861.61,135,45,9,
9?,10,2460643.814,2024-11-29T07:32:24.429,4,0.816496581,6,325,6,325,135.2,135.03,135.6,1834.23,1808.05,1844.97,135,45,9,
1,1,2460647.61,2024-12-03T02:37:51.000,58,0.900868181,5.913793103,31.75862069,5.92,31.74,142.08,135.1,151.81,1790.3,1725.48,1847.79,135,45,9,34.83559493
,2,2460647.631,2024-12-03T03:09:12.000,211,0.963929973,0.691943128,75.09952607,0.69,75.07,137.72,135.02,141.56,1970.55,1692.27,2131.97,,,,
3,3,2460647.702,2024-12-03T04:50:50.625,72,0.867192377,6.055555556,129.9444444,6.07,129.96,142.37,135.09,152.01,1804.83,1652.44,1956.4,,,,
4,4,2460647.758,2024-12-03T06:11:22.200,45,0.85940286,4.6,179.6222222,4.61,179.65,140.25,135.07,147.9,1899.21,1845.69,1951.35,,,,
5,5,2460647.783,2024-12-03T06:46:54.000,133,0.947686281,3.030075188,204.5488722,3.05,204.45,143.02,135.01,158.52,1851.6,1679.91,1977.01,,,,
