"REC_NO","OBJECT","REGION","DATE","UT","ERR_UT","JD","LONG_1","LONG_2","LONG_3","LONG_SYST","ERR_LONG","SYSTEM","PHASE","LAT","ERR_LAT","INFO","MEAS","CHANNEL","INSTR","MAGN","ORIE","OBSERVER"
1,"DC3_PROJ","L1","2022/06/01","06:01.0",,2459731.75069,313.2,104.7,4.0,313.2,,1,+10.8,+7.2,,"","ada","ired","",,"","&Cidad_1"
2,"DC2_PROJ","L1","2022/06/01","06:01.0",,2459731.75069,307.6,99.1,358.5,307.6,,1,+10.8,+7.5,,"","ada","ired","",,"","&Cidad_1"
3,"DC3_PROJ","L1","2022/06/01","06:01.0",,2459731.75069,336.5,128.0,27.3,336.5,,1,+10.8,+7.7,,"","ada","ired","",,"","&Cidad_1"
4,"DC2_PROJ","L2","2022/06/01","06:01.0",,2459731.75069,300.0,91.5,350.9,300.0,,1,+10.8,+8.6,,"","ada","ired","",,"","&Cidad_1"
5,"DC2_SPOT","L1","2022/06/01","07:04.2",,2459731.79458,3.5,154.6,54.0,3.5,,1,+10.8,+7.0,,"","ada","ired","",,"","&Cidad_1"
6,"DC3_PROJ","L1","2022/06/01","07:04.2",,2459731.79458,351.4,142.6,41.9,351.4,,1,+10.8,+7.2,,"","ada","ired","",,"","&Cidad_1"
7,"DC3_PROJ","L1","2022/06/01","07:04.2",,2459731.79458,358.0,149.2,48.5,358.0,,1,+10.8,+7.5,,"","ada","ired","",,"","&Cidad_1"
8,"DC2_PROJ","L1","2022/06/02","03:59.0",,2459732.66597,72.7,217.2,116.8,72.7,,1,+10.9,+7.6,,"","rbu","colo","",,"","&Foste_1"
9,"DC2_PROJ","L1","2022/06/03","03:13.2",,2459733.63417,200.8,337.9,237.7,200.8,,1,+10.9,+6.9,,"","ada","colo","",,"","&Pistrit"
10,"DC2_PROJ","L2","2022/06/03","03:13.2",,2459733.63417,183.7,320.8,220.6,183.7,,1,+10.9,+8.2,,"","ada","colo","",,"","&Pistrit"
11,"DC2_PROJ","L1","2022/06/03","03:13.2",,2459733.63417,219.7,356.8,256.7,219.7,,1,+10.9,+7.2,,"","ada","colo","",,"","&Pistrit"
12,"DC3_PROJ","L1","2022/06/03","03:13.2",,2459733.63417,171.9,309.1,208.9,171.9,,1,+10.9,+7.1,,"","ada","colo","",,"","&Pistrit"
13,"DC2_PROJ","L1","2022/06/03","03:13.2",,2459733.63417,145.9,283.1,182.9,145.9,,1,+10.9,+7.1,,"","ada","colo","",,"","&Pistrit"
14,"DC2_PROJ","L1","2022/06/03","19:46.9",,2459734.32424,83.0,214.9,114.9,83.0,,1,+11.0,+7.6,,"","ada","ired","",,"","&Miyaz_5"
15,"DC2_PROJ","L2","2022/06/03","19:46.9",,2459734.32424,45.4,177.3,77.3,45.4,,1,+11.0,+8.4,,"","ada","ired","",,"","&Miyaz_5"
16,"DC3_PROJ","L2","2022/06/03","19:46.9",,2459734.32424,88.8,220.7,120.7,88.8,,1,+11.0,+8.4,,"","ada","ired","",,"","&Miyaz_5"
17,"DC2_PROJ","L1","2022/06/03","19:46.9",,2459734.32424,27.6,159.5,59.5,27.6,,1,+11.0,+7.6,,"","ada","ired","",,"","&Miyaz_5"
18,"DC3_PROJ","L1","2022/06/03","19:46.9",,2459734.32424,64.0,195.8,95.8,64.0,,1,+11.0,+7.4,,"","ada","ired","",,"","&Miyaz_5"
19,"DC2_PROJ","L1","2022/06/03","19:46.9",,2459734.32424,71.1,202.9,102.9,71.1,,1,+11.0,+7.5,,"","ada","ired","",,"","&Miyaz_5"
20,"DC1_PROJ","L1","2022/06/04","19:28.9",,2459735.31174,217.5,341.9,242.1,217.5,,1,+11.1,+7.7,,"","ada","ired","",,"","&Miyaz_5"
21,"DC1_PROJ","L1","2022/06/04","19:28.9",,2459735.31174,238.2,2.5,262.8,238.2,,1,+11.1,+7.8,,"","ada","ired","",,"","&Miyaz_5"
22,"DC2_PROJ","L1","2022/06/04","19:28.9",,2459735.31174,169.2,293.6,193.8,169.2,,1,+11.1,+7.8,,"","ada","ired","",,"","&Miyaz_5"
23,"DC3_PROJ","L2","2022/06/04","19:28.9",,2459735.31174,205.0,329.4,229.6,205.0,,1,+11.1,+8.2,,"","ada","ired","",,"","&Miyaz_5"
24,"DC2_PROJ","L1","2022/06/04","19:28.9",,2459735.31174,181.1,305.4,205.7,181.1,,1,+11.1,+7.6,,"","ada","ired","",,"","&Miyaz_5"
25,"DC1_PROJ","L1","2022/06/04","19:28.9",,2459735.31174,202.8,327.1,227.4,202.8,,1,+11.1,+6.4,,"","ada","ired","",,"","&Miyaz_5"
26,"DC2_PROJ","L2","2022/06/04","20:27.1",,2459735.35215,264.4,28.4,288.7,264.4,,1,+11.1,+8.3,,"","ada","colo","",,"","&Miyaz_5"
27,"DC2_BAR","L1","2022/06/04","20:27.1",,2459735.35215,281.8,45.9,306.2,281.8,,1,+11.1,+7.2,,"","ada","colo","",,"","&Miyaz_5"
28,"DC2_PROJ","L1","2022/06/04","20:27.1",,2459735.35215,257.8,21.8,282.1,257.8,,1,+11.1,+7.6,,"","ada","colo","",,"","&Miyaz_5"
29,"DC3_PROJ","L2","2022/06/04","20:27.1",,2459735.35215,244.6,8.6,268.9,244.6,,1,+11.1,+8.2,,"","ada","colo","",,"","&Miyaz_5"
30,"DC2_BAR","L2","2022/06/05","06:28.0",,2459735.76944,255.6,16.4,276.8,255.6,,1,+11.1,+8.4,,"","ada","ired","",,"","&Cidad_1"
31,"DC3_PROJ","L2","2022/06/05","06:28.0",,2459735.76944,227.7,348.6,249.0,227.7,,1,+11.1,+8.6,,"","ada","ired","",,"","&Cidad_1"
32,"DC2_PROJ","L1","2022/06/05","06:28.0",,2459735.76944,275.2,36.1,296.5,275.2,,1,+11.1,+6.4,,"","ada","ired","",,"","&Cidad_1"
33,"DC3_PROJ","L1","2022/06/05","06:28.0",,2459735.76944,244.6,5.4,265.8,244.6,,1,+11.1,+7.6,,"","ada","ired","",,"","&Cidad_1"
34,"DC1_PROJ","L1","2022/06/05","06:28.0",,2459735.76944,237.0,357.8,258.2,237.0,,1,+11.1,+6.9,,"","ada","ired","",,"","&Cidad_1"
35,"DC1_PROJ","L1","2022/06/05","06:28.0",,2459735.76944,218.0,338.8,239.2,218.0,,1,+11.1,+6.7,,"","ada","ired","",,"","&Cidad_1"
36,"DC3_PROJ","L2","2022/06/05","07:06.0",,2459735.79583,309.2,69.8,330.2,309.2,,1,+11.1,+8.6,,"","ada","ired","",,"","&Cidad_1"
37,"DC1_PROJ","L1","2022/06/05","19:31.8",,2459736.31375,8.5,125.2,25.7,8.5,,1,+11.1,+7.6,,"","ada","ired","",,"","&Miyaz_5"
38,"DC3_PROJ","L2","2022/06/05","19:31.8",,2459736.31375,21.5,138.2,38.7,21.5,,1,+11.1,+8.3,,"","ada","ired","",,"","&Miyaz_5"
39,"DC3_SPOT","L1","2022/06/05","19:31.8",,2459736.31375,359.9,116.6,17.1,359.9,,1,+11.1,+7.4,,"","ada","ired","",,"","&Miyaz_5"
40,"DC3_PROJ","L1","2022/06/05","19:31.8",,2459736.31375,338.8,95.5,356.0,338.8,,1,+11.1,+7.7,,"","ada","ired","",,"","&Miyaz_5"
41,"DC3_PROJ","L1","2022/06/05","20:01.3",,2459736.33424,60.1,176.6,77.2,60.1,,1,+11.1,+7.9,,"","ada","ired","",,"","&Miyaz_5"
42,"DC1_PROJ","L1","2022/06/06","20:48.0",,2459737.36667,235.6,344.2,245.0,235.6,,1,+11.2,+7.3,,"","jac","colo","",,"","&Go_2"
43,"DC3_PROJ","L2","2022/06/07","06:24.0",,2459737.76667,184.8,290.4,191.3,184.8,,1,+11.2,+8.2,,"","ada","ired","",,"","&Cidad_1"
44,"DC1_PROJ","L2","2022/06/07","06:24.0",,2459737.76667,235.0,340.6,241.5,235.0,,1,+11.2,+8.2,,"","ada","ired","",,"","&Cidad_1"
45,"DC1_PROJ","L2","2022/06/07","06:24.0",,2459737.76667,177.4,283.0,183.9,177.4,,1,+11.2,+8.4,,"","ada","ired","",,"","&Cidad_1"
46,"DC3_PROJ","L2","2022/06/07","06:24.0",,2459737.76667,226.9,332.5,233.5,226.9,,1,+11.2,+8.6,,"","ada","ired","",,"","&Cidad_1"
47,"DC1_PROJ","L1","2022/06/07","06:24.0",,2459737.76667,214.0,319.6,220.5,214.0,,1,+11.2,+7.7,,"","ada","ired","",,"","&Cidad_1"
48,"DC2_PROJ","L1","2022/06/07","06:24.0",,2459737.76667,157.2,262.8,163.7,157.2,,1,+11.2,+7.3,,"","ada","ired","",,"","&Cidad_1"
49,"DC2_SPOT","L1","2022/06/07","06:51.0",,2459737.78542,271.2,16.6,277.5,271.2,,1,+11.2,+7.7,,"","ada","ired","",,"","&Cidad_1"
50,"DC2_BAR","L1","2022/06/08","05:26.0",,2459738.72639,358.9,97.1,358.3,358.9,,1,+11.2,+7.2,,"","ada","ired","",,"","&Cidad_1"
51,"DC3_SPOT","L1","2022/06/08","05:26.0",,2459738.72639,16.2,114.5,15.7,16.2,,1,+11.2,+7.6,,"","ada","ired","",,"","&Cidad_1"
52,"DC3_PROJ","L2","2022/06/08","05:26.0",,2459738.72639,301.1,39.4,300.6,301.1,,1,+11.2,+8.2,,"","ada","ired","",,"","&Cidad_1"
53,"DC1_PROJ","L2","2022/06/08","05:26.0",,2459738.72639,315.2,53.5,314.7,315.2,,1,+11.2,+8.4,,"","ada","ired","",,"","&Cidad_1"
54,"DC2_SPOT","L2","2022/06/08","05:26.0",,2459738.72639,326.3,64.6,325.8,326.3,,1,+11.2,+8.7,,"","ada","ired","",,"","&Cidad_1"
55,"DC2_PROJ","L1","2022/06/08","05:26.0",,2459738.72639,3.9,102.2,3.3,3.9,,1,+11.2,+6.8,,"","ada","ired","",,"","&Cidad_1"
56,"DC3_PROJ","L1","2022/06/08","05:26.0",,2459738.72639,334.5,72.8,334.0,334.5,,1,+11.2,+7.1,,"","ada","ired","",,"","&Cidad_1"
57,"DC1_PROJ","L1","2022/06/08","20:40.0",,2459739.36111,155.6,249.1,150.4,155.6,,1,+11.3,+7.5,,"","jac","colo","",,"","&Go_2"
58,"DC2_PROJ","L1","2022/06/08","20:40.0",,2459739.36111,176.0,269.4,170.8,176.0,,1,+11.3,+7.7,,"","jac","colo","",,"","&Go_2"
59,"DC1_PROJ","L2","2022/06/08","20:40.0",,2459739.36111,164.4,257.8,159.2,164.4,,1,+11.3,+8.2,,"","jac","colo","",,"","&Go_2"
60,"DC1_PROJ","L1","2022/06/10","04:38.8",,2459740.69361,233.4,316.7,218.4,233.4,,1,+11.3,+7.9,,"","ada","ired","",,"","&Casqu_1"
61,"DC1_PROJ","L1","2022/06/10","04:38.8",,2459740.69361,212.0,295.3,197.0,212.0,,1,+11.3,+8.0,,"","ada","ired","",,"","&Casqu_1"
62,"DC2_SPOT","L2","2022/06/10","04:38.8",,2459740.69361,277.4,0.6,262.3,277.4,,1,+11.3,+8.3,,"","ada","ired","",,"","&Casqu_1"
63,"DC1_PROJ","L1","2022/06/10","19:18.1",,2459741.30424,91.0,169.7,71.5,91.0,,1,+11.4,+6.8,,"","jac","colo","",,"","&Casely"
64,"DC2_PROJ","L1","2022/06/10","19:18.1",,2459741.30424,66.2,144.8,46.7,66.2,,1,+11.4,+7.1,,"","jac","colo","",,"","&Casely"
65,"DC1_PROJ","L1","2022/06/10","20:25.1",,2459741.35076,92.0,170.2,72.1,92.0,,1,+11.4,+6.5,,"","jac","ired","",,"","&Casely"
66,"DC2_PROJ","L1","2022/06/10","20:25.1",,2459741.35076,152.9,231.2,133.0,152.9,,1,+11.4,+6.7,,"","jac","ired","",,"","&Casely"
67,"DC2_PROJ","L1","2022/06/10","20:25.1",,2459741.35076,129.5,207.8,109.7,129.5,,1,+11.4,+7.7,,"","jac","ired","",,"","&Casely"
68,"DC1_PROJ","L1","2022/06/10","20:25.1",,2459741.35076,147.0,225.2,127.1,147.0,,1,+11.4,+7.4,,"","jac","ired","",,"","&Casely"
69,"DC2_PROJ","L1","2022/06/12","04:59.0",,2459742.70764,215.0,282.9,185.1,215.0,,1,+11.4,+6.6,,"","ada","ired","",,"","&Cidad_1"
70,"DC2_PROJ","L1","2022/06/12","04:59.0",,2459742.70764,232.1,300.0,202.3,232.1,,1,+11.4,+7.5,,"","ada","ired","",,"","&Cidad_1"
71,"DC1_BAR","L1","2022/06/12","04:59.0",,2459742.70764,211.8,279.7,182.0,211.8,,1,+11.4,+7.3,,"","ada","ired","",,"","&Cidad_1"
72,"DC3_PROJ","L1","2022/06/12","04:59.0",,2459742.70764,251.7,319.6,221.8,251.7,,1,+11.4,+7.0,,"","ada","ired","",,"","&Cidad_1"
73,"DC1_PROJ","L1","2022/06/12","19:19.6",,2459743.30528,27.2,90.6,353.0,27.2,,1,+11.5,+7.7,,"","jac","ired","",,"","&Casely"
74,"DC2_PROJ","L1","2022/06/12","19:19.6",,2459743.30528,358.1,61.5,323.9,358.1,,1,+11.5,+7.2,,"","jac","ired","",,"","&Casely"
75,"DC1_PROJ","L1","2022/06/12","19:19.6",,2459743.30528,6.9,70.3,332.7,6.9,,1,+11.5,+7.3,,"","jac","ired","",,"","&Casely"
76,"DC3_PROJ","L1","2022/06/12","20:23.7",,2459743.34979,68.3,131.3,33.7,68.3,,1,+11.5,+7.0,,"","jac","colo","",,"","&Casely"
77,"DC1_PROJ","L1","2022/06/12","20:23.7",,2459743.34979,89.3,152.4,54.8,89.3,,1,+11.5,+6.4,,"","jac","colo","",,"","&Casely"
78,"DC3_PROJ","L1","2022/06/12","20:23.7",,2459743.34979,78.5,141.5,43.9,78.5,,1,+11.5,+6.8,,"","jac","colo","",,"","&Casely"
79,"DC2_PROJ","L1","2022/06/12","20:48.0",,2459743.36667,79.2,142.1,44.5,79.2,,1,+11.5,+7.7,,"","jac","colo","",,"","&Go_2"
80,"DC2_PROJ","L1","2022/06/12","20:48.0",,2459743.36667,68.8,131.6,34.0,68.8,,1,+11.5,+7.6,,"","jac","colo","",,"","&Go_2"
81,"DC1_PROJ","L1","2022/06/12","20:48.0",,2459743.36667,89.0,151.9,54.3,89.0,,1,+11.5,+6.2,,"","jac","colo","",,"","&Go_2"
82,"DC2_PROJ","L1","2022/06/13","03:54.0",,2459743.66250,336.3,37.0,299.4,336.3,,1,+11.5,+7.4,,"","jac","colo","",,"","&Jacqu_2"
83,"DC1_PROJ","L1","2022/06/13","03:54.0",,2459743.66250,5.8,66.5,329.0,5.8,,1,+11.5,+7.9,,"","jac","colo","",,"","&Jacqu_2"
84,"DC2_PROJ","L1","2022/06/13","03:54.0",,2459743.66250,331.4,32.1,294.6,331.4,,1,+11.5,+7.0,,"","jac","colo","",,"","&Jacqu_2"
85,"DC2_PROJ","L1","2022/06/13","05:12.5",,2459743.71701,6.4,66.6,329.1,6.4,,1,+11.5,+7.3,,"","ada","ired","",,"","&Cidad_1"
86,"DC2_PROJ","L1","2022/06/13","05:12.5",,2459743.71701,67.2,127.4,29.9,67.2,,1,+11.5,+7.5,,"","ada","ired","",,"","&Cidad_1"
87,"DC2_BAR","L1","2022/06/13","05:12.5",,2459743.71701,26.1,86.3,348.8,26.1,,1,+11.5,+7.8,,"","ada","ired","",,"","&Cidad_1"
88,"DC2_PROJ","L1","2022/06/13","05:55.5",,2459743.74688,88.8,148.8,51.3,88.8,,1,+11.5,+6.2,,"","ada","ired","",,"","&Cidad_1"
89,"DC1_PROJ","L1","2022/06/13","19:00.9",,2459744.29229,150.6,206.4,109.0,150.6,,1,+11.5,+7.3,,"","jac","ired","",,"","&Wesley"
90,"DC1_PROJ","L1","2022/06/13","19:00.9",,2459744.29229,209.3,265.1,167.7,209.3,,1,+11.5,+6.9,,"","jac","ired","",,"","&Wesley"
91,"DC2_PROJ","L1","2022/06/13","19:00.9",,2459744.29229,194.3,250.1,152.8,194.3,,1,+11.5,+7.2,,"","jac","ired","",,"","&Wesley"
92,"DC2_PROJ","L1","2022/06/13","19:30.6",,2459744.31292,193.9,249.6,152.3,193.9,,1,+11.5,+7.8,,"","ada","colo","",,"","&Miyaz_5"
93,"DC2_PROJ","L1","2022/06/13","19:30.6",,2459744.31292,158.5,214.1,116.8,158.5,,1,+11.5,+7.6,,"","ada","colo","",,"","&Miyaz_5"
94,"DC3_PROJ","L1","2022/06/13","19:30.6",,2459744.31292,176.2,231.9,134.5,176.2,,1,+11.5,+7.5,,"","ada","colo","",,"","&Miyaz_5"
95,"DC1_BAR","L1","2022/06/13","19:30.6",,2459744.31292,150.8,206.4,109.1,150.8,,1,+11.5,+7.5,,"","ada","colo","",,"","&Miyaz_5"
96,"DC2_PROJ","L1","2022/06/13","19:30.6",,2459744.31292,233.9,289.5,192.2,233.9,,1,+11.5,+7.3,,"","ada","colo","",,"","&Miyaz_5"
97,"DC2_PROJ","L1","2022/06/13","19:31.0",,2459744.31319,151.1,206.7,109.4,151.1,,1,+11.5,+7.4,,"","rbu","colo","",,"","&MacNeil"
98,"DC3_PROJ","L1","2022/06/13","20:04.0",,2459744.33611,194.3,249.8,152.5,194.3,,1,+11.5,+7.2,,"","jac","colo","",,"","&Barry"
99,"DC2_PROJ","L1","2022/06/13","20:04.0",,2459744.33611,230.7,286.1,188.8,230.7,,1,+11.5,+7.8,,"","jac","colo","",,"","&Barry"
100,"DC2_PROJ","L1","2022/06/13","20:04.0",,2459744.33611,210.9,266.4,169.1,210.9,,1,+11.5,+7.0,,"","jac","colo","",,"","&Barry"
101,"DC1_PROJ","L2","2022/06/14","03:00.0",,2459744.62500,124.7,178.0,80.7,124.7,,1,+11.5,+8.3,,"","jac","colo","",,"","&Jacqu_2"
102,"DC1_PROJ","L1","2022/06/14","03:00.0",,2459744.62500,150.4,203.7,106.4,150.4,,1,+11.5,+7.6,,"","jac","colo","",,"","&Jacqu_2"
103,"DC1_PROJ","L1","2022/06/14","03:43.0",,2459744.65486,124.3,177.4,80.1,124.3,,1,+11.5,+8.0,,"","ada","colo","",,"","&Peach_3"
104,"DC3_PROJ","L2","2022/06/14","03:43.0",,2459744.65486,115.5,168.6,71.3,115.5,,1,+11.5,+8.2,,"","ada","colo","",,"","&Peach_3"
105,"DC2_PROJ","L1","2022/06/14","03:43.0",,2459744.65486,159.0,212.0,114.8,159.0,,1,+11.5,+6.4,,"","ada","colo","",,"","&Peach_3"
106,"DC1_PROJ","L1","2022/06/14","19:51.4",,2459745.32736,342.5,30.4,293.3,342.5,,1,+11.5,+7.9,,"","jac","colo","",,"","&Wesley"
107,"DC2_PROJ","L1","2022/06/14","19:51.4",,2459745.32736,49.2,97.1,0.0,49.2,,1,+11.5,+7.1,,"","jac","colo","",,"","&Wesley"
108,"DC2_PROJ","L1","2022/06/14","19:51.4",,2459745.32736,24.5,72.4,335.3,24.5,,1,+11.5,+7.7,,"","jac","colo","",,"","&Wesley"
109,"DC1_PROJ","L1","2022/06/14","19:51.4",,2459745.32736,0.6,48.5,311.4,0.6,,1,+11.5,+7.6,,"","jac","colo","",,"","&Wesley"
110,"DC1_PROJ","L1","2022/06/14","19:51.4",,2459745.32736,333.4,21.3,284.2,333.4,,1,+11.5,+7.6,,"","jac","colo","",,"","&Wesley"
111,"DC1_PROJ","L1","2022/06/14","19:51.4",,2459745.32736,353.1,41.0,303.9,353.1,,1,+11.5,+8.0,,"","jac","colo","",,"","&Wesley"
112,"DC3_PROJ","L1","2022/06/15","02:48.8",,2459745.61722,289.7,335.4,238.4,289.7,,1,+11.6,+6.7,,"","ada","ired","",,"","&Pistrit"
113,"DC1_PROJ","L1","2022/06/15","02:48.8",,2459745.61722,233.6,279.3,182.3,233.6,,1,+11.6,+7.2,,"","ada","ired","",,"","&Pistrit"
114,"DC3_PROJ","L1","2022/06/15","02:48.8",,2459745.61722,253.1,298.8,201.8,253.1,,1,+11.6,+7.5,,"","ada","ired","",,"","&Pistrit"
115,"DC1_SPOT","L2","2022/06/15","02:48.8",,2459745.61722,303.4,349.1,252.1,303.4,,1,+11.6,+9.0,,"","ada","ired","",,"","&Pistrit"
116,"DC2_PROJ","L2","2022/06/15","03:40.3",,2459745.65299,315.4,0.8,263.9,315.4,,1,+11.6,+8.6,,"","ada","ired","",,"","&Peach_3"
117,"DC1_PROJ","L1","2022/06/15","03:40.3",,2459745.65299,334.7,20.2,283.2,334.7,,1,+11.6,+7.4,,"","ada","ired","",,"","&Peach_3"
118,"DC2_PROJ","L1","2022/06/15","03:40.3",,2459745.65299,308.4,353.8,256.8,308.4,,1,+11.6,+7.0,,"","ada","ired","",,"","&Peach_3"
119,"DC3_PROJ","L1","2022/06/15","03:40.3",,2459745.65299,290.2,335.6,238.6,290.2,,1,+11.6,+6.4,,"","ada","ired","",,"","&Peach_3"
120,"DC1_PROJ","L2","2022/06/15","19:13.0",,2459746.30069,120.6,161.1,64.3,120.6,,1,+11.6,+8.1,,"","jac","colo","",,"","&Wesley"
121,"DC1_PROJ","L1","2022/06/15","19:13.0",,2459746.30069,153.7,194.2,97.4,153.7,,1,+11.6,+7.8,,"","jac","colo","",,"","&Wesley"
122,"DC3_PROJ","L1","2022/06/15","19:13.0",,2459746.30069,135.9,176.4,79.6,135.9,,1,+11.6,+7.0,,"","jac","colo","",,"","&Wesley"
123,"DC1_PROJ","L1","2022/06/15","20:17.0",,2459746.34514,153.5,193.7,96.9,153.5,,1,+11.6,+7.6,,"","jac","colo","",,"","&Go_2"
124,"DC1_PROJ","L1","2022/06/15","20:17.0",,2459746.34514,145.7,185.9,89.1,145.7,,1,+11.6,+7.2,,"","jac","colo","",,"","&Go_2"
125,"DC2_PROJ","L1","2022/06/15","20:17.0",,2459746.34514,136.1,176.3,79.5,136.1,,1,+11.6,+6.8,,"","jac","colo","",,"","&Go_2"
126,"DC1_SPOT","L1","2022/06/16","05:41.0",,2459746.73681,136.5,173.7,77.0,136.5,,1,+11.6,+6.2,,"","ada","ired","",,"","&Cidad_1"
127,"DC3_PROJ","L1","2022/06/16","05:41.0",,2459746.73681,158.4,195.5,98.8,158.4,,1,+11.6,+6.2,,"","ada","ired","",,"","&Cidad_1"
128,"DC1_SPOT","L1","2022/06/16","05:41.0",,2459746.73681,156.1,193.2,96.6,156.1,,1,+11.6,+7.5,,"","ada","ired","",,"","&Cidad_1"
129,"DC1_PROJ","L1","2022/06/16","05:41.0",,2459746.73681,122.1,159.3,62.6,122.1,,1,+11.6,+7.6,,"","ada","ired","",,"","&Cidad_1"
130,"DC2_PROJ","L1","2022/06/16","05:41.0",,2459746.73681,181.3,218.4,121.7,181.3,,1,+11.6,+7.6,,"","ada","ired","",,"","&Cidad_1"
131,"DC1_PROJ","L1","2022/06/16","05:41.0",,2459746.73681,192.6,229.8,133.1,192.6,,1,+11.6,+7.8,,"","ada","ired","",,"","&Cidad_1"
132,"DC1_PROJ","L1","2022/06/16","20:03.0",,2459747.33542,331.4,4.0,267.5,331.4,,1,+11.6,+7.7,,"","jac","colo","",,"","&Go_2"
133,"DC1_PROJ","L2","2022/06/16","20:03.0",,2459747.33542,304.6,337.2,240.7,304.6,,1,+11.6,+8.7,,"","jac","colo","",,"","&Go_2"
134,"DC1_PROJ","L2","2022/06/16","20:03.0",,2459747.33542,317.2,349.8,253.3,317.2,,1,+11.6,+8.3,,"","jac","colo","",,"","&Go_2"
135,"DC1_PROJ","L1","2022/06/16","20:31.0",,2459747.35486,15.2,47.7,311.1,15.2,,1,+11.6,+8.0,,"","jac","colo","",,"","&Go_2"
136,"DC2_PROJ","L1","2022/06/17","03:31.2",,2459747.64667,236.5,266.7,170.3,236.5,,1,+11.6,+6.8,,"","ada","colo","",,"","&Peach_3"
137,"DC3_PROJ","L1","2022/06/17","03:31.2",,2459747.64667,194.6,224.9,128.4,194.6,,1,+11.6,+6.6,,"","ada","colo","",,"","&Peach_3"
138,"DC1_PROJ","L1","2022/06/17","03:31.2",,2459747.64667,287.4,317.6,221.2,287.4,,1,+11.6,+7.1,,"","ada","colo","",,"","&Peach_3"
139,"DC1_PROJ","L1","2022/06/17","20:52.0",,2459748.36944,142.7,167.4,71.2,142.7,,1,+11.6,+7.5,,"","jac","colo","",,"","&Go_2"
140,"DC1_PROJ","L1","2022/06/17","20:52.0",,2459748.36944,149.7,174.4,78.2,149.7,,1,+11.6,+7.8,,"","jac","colo","",,"","&Go_2"
141,"DC1_PROJ","L2","2022/06/17","20:52.0",,2459748.36944,118.0,142.7,46.4,118.0,,1,+11.6,+8.3,,"","jac","colo","",,"","&Go_2"
142,"DC3_PROJ","L1","2022/06/18","02:45.1",,2459748.61465,4.2,27.0,290.8,4.2,,1,+11.6,+6.4,,"","ada","ired","",,"","&Verza"
143,"DC1_PROJ","L2","2022/06/18","03:07.0",,2459748.62986,0.3,23.0,286.8,0.3,,1,+11.6,+8.5,,"","rbu","colo","",,"","&Foste_1"
144,"DC1_PROJ","L2","2022/06/18","03:07.0",,2459748.62986,332.4,355.1,258.9,332.4,,1,+11.6,+8.3,,"","rbu","colo","",,"","&Foste_1"
145,"DC1_PROJ","L1","2022/06/18","03:07.0",,2459748.62986,73.1,95.8,359.7,73.1,,1,+11.6,+7.5,,"","rbu","colo","",,"","&Foste_1"
146,"DC3_PROJ","L1","2022/06/18","03:08.5",,2459748.63090,53.2,75.9,339.7,53.2,,1,+11.6,+8.0,,"","ada","colo","",,"","&Peach_3"
147,"DC1_PROJ","L1","2022/06/18","03:08.5",,2459748.63090,0.8,23.5,287.3,0.8,,1,+11.6,+7.5,,"","ada","colo","",,"","&Peach_3"
148,"DC1_SPOT","L1","2022/06/18","05:39.5",,2459748.73576,72.7,94.6,358.5,72.7,,1,+11.7,+7.1,,"","ada","ired","",,"","&Cidad_1"
149,"DC1_PROJ","L1","2022/06/18","05:39.5",,2459748.73576,85.8,107.7,11.5,85.8,,1,+11.7,+7.1,,"","ada","ired","",,"","&Cidad_1"
150,"DC1_SPOT","L1","2022/06/18","06:14.0",,2459748.75972,142.3,164.0,67.8,142.3,,1,+11.7,+7.1,,"","ada","ired","",,"","&Cidad_1"
151,"DC2_PROJ","L1","2022/06/18","06:14.0",,2459748.75972,159.0,180.8,84.6,159.0,,1,+11.7,+7.0,,"","ada","ired","",,"","&Cidad_1"
152,"DC3_PROJ","L1","2022/06/18","06:14.0",,2459748.75972,170.6,192.4,96.2,170.6,,1,+11.7,+7.9,,"","ada","ired","",,"","&Cidad_1"
153,"DC2_PROJ","L1","2022/06/18","06:14.0",,2459748.75972,133.5,155.2,59.0,133.5,,1,+11.7,+7.8,,"","ada","ired","",,"","&Cidad_1"
154,"DC1_PROJ","L1","2022/06/18","06:14.0",,2459748.75972,118.4,140.2,44.0,118.4,,1,+11.7,+7.5,,"","ada","ired","",,"","&Cidad_1"
155,"DC3_PROJ","L1","2022/06/19","07:08.4",,2459749.79750,343.3,357.1,261.2,343.3,,1,+11.7,+8.0,,"","ada","ired","",,"","&Cidad_1"
156,"DC1_PROJ","L1","2022/06/19","07:08.4",,2459749.79750,335.3,349.1,253.2,335.3,,1,+11.7,+6.6,,"","ada","ired","",,"","&Cidad_1"
157,"DC2_PROJ","L1","2022/06/19","07:08.4",,2459749.79750,287.6,301.5,205.6,287.6,,1,+11.7,+6.4,,"","ada","ired","",,"","&Cidad_1"
158,"DC2_PROJ","L2","2022/06/19","07:08.4",,2459749.79750,316.7,330.5,234.7,316.7,,1,+11.7,+8.9,,"","ada","ired","",,"","&Cidad_1"
159,"DC3_PROJ","L2","2022/06/19","07:08.4",,2459749.79750,325.8,339.6,243.7,325.8,,1,+11.7,+8.5,,"","ada","ired","",,"","&Cidad_1"
160,"DC1_SPOT","L2","2022/06/19","07:08.4",,2459749.79750,333.4,347.3,251.4,333.4,,1,+11.7,+8.3,,"","ada","ired","",,"","&Cidad_1"
