label,avglat,avglon,sys3speed,drift,coef0,coef1,avgfNH3,avgPCld,stdfNH3,stdPCld
1,4.784999999999999,46.94199999999999,100.15241481753695,0.4105944590881218,0.4105941907806235,-1010292.8031474731,142.00019921481484,1837.2508237169313,2.9168601982185556,41.59514400656202
2,4.556666666666667,101.72500000000001,100.86607285629748,0.3627922125364471,0.3627930098315309,-892619.2577986118,142.00019921481484,1837.2508237169313,2.9168601982185556,41.59514400656202
3,4.5175,139.42249999999999,102.09081528353764,0.27807544480907304,0.27807547234396746,-684113.4791870619,142.00019921481484,1837.2508237169313,2.9168601982185556,41.59514400656202
4,4.1085714285714285,174.85857142857142,106.08424985248632,0.00393115217162346,0.003931106932670056,-9498.303533301336,142.00019921481484,1837.2508237169313,2.9168601982185556,41.59514400656202
5,3.4409407374999996,209.2160358,103.92665384874189,0.15786717538899672,0.15786647223388167,-388246.7034154142,142.00019921481484,1837.2508237169313,2.9168601982185556,41.59514400656202
8,4.25,280.6425,102.4326525464115,0.25629729419446123,0.2562983221511433,-630380.8012948621,142.00019921481484,1837.2508237169313,2.9168601982185556,41.59514400656202
9,5.385,323.72,102.66086557932597,0.23134562523771093,0.2313392373006292,-568918.463199271,142.00019921481484,1837.2508237169313,2.9168601982185556,41.59514400656202
