label,avglat,avglon,sys3speed,sys1drift,sys1coef0,sys1coef1,avgfNH3,avgPCld,stdfNH3,stdPCld
1,4.784999999999999,4.784999999999999,100.15241481753695,0.4105944590881218,0.4105941907806235,-1010292.8031474731,142.55209911666668,1837.3596766815476,2.491410961276515,43.756147737561506
2,4.556666666666667,4.556666666666667,100.86607285629748,0.3627922125364471,0.3627930098315309,-892619.2577986118,142.55209911666668,1837.3596766815476,2.491410961276515,43.756147737561506
3,4.5175,4.5175,102.09081528353764,0.27807544480907304,0.27807547234396746,-684113.4791870619,142.55209911666668,1837.3596766815476,2.491410961276515,43.756147737561506
4,4.1085714285714285,4.1085714285714285,106.08424985248632,0.00393115217162346,0.003931106932670056,-9498.303533301336,142.55209911666668,1837.3596766815476,2.491410961276515,43.756147737561506
5,3.4409407374999996,3.4409407374999996,103.92665384874189,0.15786717538899672,0.15786647223388167,-388246.7034154142,142.55209911666668,1837.3596766815476,2.491410961276515,43.756147737561506
7,3.7466666666666666,3.7466666666666666,100.65631310226794,0.38283926873527235,0.3828410112409,-941797.9079088146,142.55209911666668,1837.3596766815476,2.491410961276515,43.756147737561506
8,4.25,4.25,102.4326525464115,0.25629729419446123,0.2562983221511433,-630380.8012948621,142.55209911666668,1837.3596766815476,2.491410961276515,43.756147737561506
