Type,No.,Lat,Lon,PCld,fNH3
xyfnh3max,1,5,5,1669.0284423828125,140.27464294433594
xyfnh3max,2,-7,7,1801.258056640625,134.05345153808594
xyfnh3max,3,8,14,1784.6627197265625,140.9018096923828
xyfnh3max,4,-7,15,1874.74169921875,135.63072204589844
xyfnh3max,5,4,27,1717.7862548828125,138.8613739013672
xyfnh3max,6,2,34,1698.1759033203125,141.91595458984375
xyfnh3max,7,7,49,1948.77392578125,151.14895629882812
xyfnh3max,8,-7,65,1842.4659423828125,118.54898834228516
xyfnh3max,9,-9,73,1878.1201171875,119.493408203125
xyfnh3max,10,2,75,1805.208984375,151.42800903320312
xyfnh3max,11,3,81,1800.918212890625,154.51739501953125
xyfnh3max,12,-9,86,1911.4041748046875,120.36766052246094
xyfnh3max,13,5,89,1874.36181640625,152.8239288330078
xyfnh3max,14,-9,305,1890.52392578125,127.73786163330078
xyfnh3max,15,-9,314,1923.48779296875,138.61279296875
xyfnh3max,16,3,315,1740.006591796875,138.4769287109375
xyfnh3max,17,-8,327,1886.0257568359375,127.28597259521484
xyfnh3max,18,7,333,2058.34228515625,163.3848419189453
xyfnh3max,19,-5,350,1773.1134033203125,134.2040252685547
xyfnh3min,1,-5,44,1735.1304931640625,98.86383056640625
xyfnh3min,2,10,65,1806.9718017578125,96.72274017333984
xyfnh3min,3,10,72,1744.6270751953125,95.62733459472656
xyfnh3min,4,-5,84,1859.489013671875,103.56415557861328
xyfnh3min,5,-2,110,1664.29150390625,64.0307388305664
xyfnh3min,6,9,297,1670.3316650390625,76.82830047607422
xyfnh3min,7,-2,297,1666.1524658203125,97.77140808105469
xyfnh3min,8,-1,304,1638.0723876953125,94.09765625
xyfnh3min,9,-2,315,1706.07421875,102.32658386230469
xyfnh3min,10,-3,321,1703.3603515625,98.70379638671875
xyfnh3min,11,-3,332,1795.5216064453125,106.86463928222656
xyfnh3min,12,-10,340,1851.7899169921875,105.9598159790039
xyfnh3min,13,0,348,1714.139892578125,100.61116790771484
xyfnh3min,14,-10,349,1850.2083740234375,109.74906921386719
xyfnh3min,15,1,355,1698.8216552734375,103.91205596923828
xyPcldmax,1,-8,8,1856.0113525390625,132.2129364013672
xyPcldmax,2,-8,16,1888.146484375,126.30718994140625
xyPcldmax,3,8,50,1985.0543212890625,146.0669708251953
xyPcldmax,4,-9,51,1832.9608154296875,103.94384002685547
xyPcldmax,5,-9,56,1842.03857421875,99.49968719482422
xyPcldmax,6,1,63,1823.198486328125,130.051513671875
xyPcldmax,7,-10,66,1931.407470703125,106.4087905883789
xyPcldmax,8,2,78,1878.3433837890625,148.970947265625
xyPcldmax,9,9,89,1993.0205078125,128.7855224609375
xyPcldmax,10,7,99,1932.57275390625,124.4064712524414
xyPcldmax,11,7,328,2237.714599609375,147.10784912109375
xyPcldmax,12,-10,328,1989.8131103515625,123.62684631347656
xyPcldmax,13,-8,349,1939.62890625,115.9486083984375
xyPcldmax,14,9,352,2114.086181640625,118.38802337646484
xyPcldmin,1,7,8,1614.7222900390625,124.23194122314453
xyPcldmin,2,2,8,1626.8516845703125,132.3582305908203
xyPcldmin,3,2,14,1631.6239013671875,131.08245849609375
xyPcldmin,4,5,31,1622.2088623046875,127.29825592041016
xyPcldmin,5,-4,61,1741.66015625,111.96388244628906
xyPcldmin,6,-2,67,1725.6788330078125,112.51734161376953
xyPcldmin,7,7,69,1655.619140625,118.72471618652344
xyPcldmin,8,3,87,1803.435302734375,148.1851348876953
xyPcldmin,9,-4,95,1808.4793701171875,95.96823120117188
xyPcldmin,10,0,297,1569.401611328125,101.40875244140625
xyPcldmin,11,-4,319,1625.6658935546875,105.8842544555664
xyPcldmin,12,-2,346,1702.4788818359375,115.58229064941406
xyPcldmin,13,0,355,1671.525146484375,106.70337677001953
