Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,N/A,0.0,86,328,-26,32,105.88143090551486,1542.1691292773785,0.5529412031173706
1,N/A,0.0,55,328,5,32,159.58819417414603,1726.1632869359955,0.6000000238418579
2,N/A,0.0,32,328,28,32,129.3351028998364,1487.9147806463045,0.6000000238418579
3,N/A,0.0,83,323,-23,37,105.39253660561415,1585.6711650863433,0.658823549747467
4,2025-01-06T01:05:24.000,2460681.5454166667,10,319,50,41,167.40590569186256,1640.4940467027425,0.46666666865348816
5,2025-01-06T01:13:45.600,2460681.5512222224,14,311,46,49,155.7282035808064,1635.6362241604163,0.5286274671554565
6,N/A,0.0,83,306,-23,54,103.62227125173632,1658.815126113664,0.6843137443065643
7,2025-01-06T01:15:51.000,2460681.552673611,13,303,47,57,158.87656809275197,1626.828801560786,0.5502580090572959
8,2025-01-06T01:26:18.000,2460681.5599305555,12,291,48,69,150.48087886776048,1631.9605511409216,0.4992997390883309
9,2025-01-06T01:26:18.000,2460681.5599305555,56,289,4,71,133.4712039239691,1745.1114126418202,0.7168627589941026
10,2025-01-06T01:44:23.143,2460681.5724900793,59,273,1,87,127.12044755776874,1855.4440791856136,0.6243697660309928
11,2025-01-06T01:47:26.400,2460681.5746111115,58,264,2,96,127.53551912856214,1837.9055375210814,0.6147485245829044
12,2025-01-06T02:08:50.400,2460681.589472222,59,252,1,108,126.92856181296688,1826.6674650779603,0.5846338728252722
13,2025-01-06T02:51:34.800,2460681.619152778,19,225,41,135,125.24149254331662,1657.2307969005403,0.4427371037249662
14,2025-01-06T03:13:03.600,2460681.6340694446,22,212,38,148,120.94639377544158,1591.3298505839707,0.47067349436490435
15,2025-01-06T03:17:14.488,2460681.636973239,53,203,7,157,161.08968378939025,2014.351817865317,0.4542324339471212
16,2025-01-06T03:23:46.500,2460681.6415104168,22,198,38,162,120.94530787300026,1571.1343772041178,0.4833333417773247
17,2025-01-06T03:23:46.500,2460681.6415104168,8,197,52,163,142.29834894352837,1765.450414000737,0.3225490301847458
18,2025-01-06T03:34:14.000,2460681.648773148,62,187,-2,173,126.01806386298308,2003.5942648413757,0.5584313958883286
19,2025-01-06T03:34:14.000,2460681.648773148,21,183,39,177,127.20847838852002,1549.539280939354,0.4470588266849518
20,2025-01-06T03:35:03.000,2460681.649340278,26,180,34,180,127.31861749282707,1524.7634450174855,0.5346908271312714
21,2025-01-06T03:44:51.000,2460681.6561458334,64,174,-4,186,121.38873417646107,1999.9739682050586,0.5484313994646072
22,2025-01-06T03:55:30.000,2460681.6635416667,54,158,6,202,144.17501261306998,1983.0659124003805,0.42352941632270813
23,2025-01-06T03:55:30.000,2460681.6635416667,21,158,39,202,118.19356108357985,1561.0639131109067,0.42352941632270813
24,2025-01-06T03:55:30.000,2460681.6635416667,26,156,34,204,117.76677010580732,1481.1526904279608,0.48627451062202454
