Type,No.,Lat,Lon,PCld,fNH3
xyfnh3max,1,6,89,1636.702880859375,135.4309844970703
xyfnh3max,2,7,97,1687.4056396484375,131.670166015625
xyfnh3max,3,5,119,1838.9049072265625,151.4413299560547
xyfnh3max,4,-10,150,1852.0902099609375,122.3477783203125
xyfnh3max,5,-10,160,1817.9451904296875,124.65655517578125
xyfnh3max,6,4,167,1793.544189453125,151.7063751220703
xyfnh3max,7,-10,171,1860.8046875,127.36702728271484
xyfnh3max,8,7,234,1765.5784912109375,142.2586212158203
xyfnh3min,1,-7,90,1651.359619140625,93.72676086425781
xyfnh3min,2,-4,99,1698.2806396484375,106.56370544433594
xyfnh3min,3,-8,104,1820.385498046875,105.96856689453125
xyfnh3min,4,-7,133,1880.2149658203125,110.19742584228516
xyfnh3min,5,-6,141,1816.3697509765625,112.01902770996094
xyfnh3min,6,-1,206,1609.435546875,86.67847442626953
xyfnh3min,7,-6,207,1762.086181640625,86.30850219726562
xyfnh3min,8,-2,219,1654.5718994140625,101.44722747802734
xyfnh3min,9,-4,226,1657.6385498046875,99.6400146484375
xyfnh3min,10,-5,246,1753.0823974609375,104.62439727783203
xyfnh3min,11,-2,264,1725.4769287109375,96.5760269165039
xyfnh3min,12,-4,272,1690.5169677734375,92.8902587890625
xyPcldmax,1,8,127,1982.539794921875,131.56236267089844
xyPcldmax,2,7,168,1822.47119140625,132.57760620117188
xyPcldmax,3,-9,170,1862.3704833984375,124.64922332763672
xyPcldmax,4,8,175,1833.25732421875,124.92938232421875
xyPcldmin,1,-3,91,1593.8670654296875,109.09832763671875
xyPcldmin,2,4,105,1621.77783203125,127.00638580322266
xyPcldmin,3,5,154,1704.8280029296875,136.45179748535156
xyPcldmin,4,1,208,1603.62646484375,94.67790222167969
xyPcldmin,5,2,220,1600.5601806640625,117.91675567626953
xyPcldmin,6,1,252,1674.5540771484375,112.98736572265625
xyPcldmin,7,0,275,1624.2392578125,104.86858367919922
xyPcldmin,8,9,280,1642.7010498046875,100.18932342529297
