Index,MeanTime_FITS,MeanTime_JD,Lat,Lon,Row,Col,NH3_value,PCloud_value,RGB_value
0,0.0,0.0,-4,11,19,349,107.5055739307874,1781.5277790959412,0.6685341000556946
1,0.0,0.0,-7,22,22,338,101.12836505470757,1812.1256842248738,0.6295051574707031
2,0.0,0.0,7,39,8,321,106.3154874067025,1584.5608390416126,0.6264239251613617
3,0.0,0.0,-5,56,20,304,102.50042019265976,1817.4412233466571,0.7402749760397548
4,0.0,0.0,6,90,9,270,118.43448592471078,1570.8275180979822,0.5960784554481506
5,0.0,0.0,-4,287,19,73,122.57434778067088,1798.289992144218,0.6627451181411743
6,0.0,0.0,8,288,7,72,132.400230874913,1672.6446485163035,0.6235294342041016
7,0.0,0.0,8,305,7,55,102.67458017467114,1746.171620014945,0.6838235482573509
8,0.0,0.0,7,312,8,48,107.7487860811226,1728.4308556875742,0.7561059641210658
9,0.0,0.0,5,321,10,39,124.71089426354906,1717.6737422674262,0.7250544826189677
10,0.0,0.0,8,348,7,12,107.65998833208319,1808.3056690205929,0.6705882549285889
