Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,2022-09-05T05:59:06.000,2459827.749375,25,351,-10,9,93.22878628463883,1947.1019010409257,0.8901960849761963
1,2022-09-05T05:59:06.000,2459827.749375,18,342,-3,18,80.53578503991228,1740.5436895745659,0.95686274766922
2,2022-09-05T05:59:06.000,2459827.749375,8,327,7,33,74.24797449702028,1694.0691144489474,0.9490196108818054
3,2022-09-05T05:59:06.000,2459827.749375,21,319,-6,41,84.47156135780695,1859.2441651729353,0.8745098114013672
4,2022-09-04T06:38:12.000,2459826.776527778,5,98,10,262,87.1763059143584,1764.1211255095898,0.529411792755127
