Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20241118-20241118,1,N/A,0.0,2,82,1725.3905029296875,126.01078796386719
xyfnh3max,20241118-20241118,2,2024-11-18T03:17:18.000,2460632.637013889,3,93,1774.403564453125,131.80943298339844
xyfnh3max,20241118-20241118,3,2024-11-18T03:38:14.000,2460632.651550926,4,116,1841.19677734375,149.54415893554688
xyfnh3max,20241118-20241118,4,2024-11-18T03:48:42.000,2460632.6588194445,5,128,1932.1092529296875,145.6981658935547
xyfnh3max,20241118-20241118,5,2024-11-18T04:42:26.400,2460632.696138889,4,171,1807.761962890625,142.1329803466797
xyfnh3max,20241118-20241118,6,2024-11-18T05:15:51.647,2460632.719347767,2,192,1810.4439697265625,127.14080810546875
xyfnh3max,20241118-20241118,7,2024-11-18T05:59:48.692,2460632.749869124,5,220,1850.4229736328125,143.00433349609375
xyfnh3max,20241118-20241118,8,2024-11-18T06:41:38.769,2460632.77892094,5,245,1826.7911376953125,135.4363555908203
xyfnh3max,20241118-20241118,9,2024-11-18T07:45:27.529,2460632.823235294,5,284,1954.12548828125,178.09320068359375
xyfnh3max,20241118-20241118,10,2024-11-18T08:13:46.000,2460632.842893518,0,316,1971.616943359375,137.044189453125
xyfnh3max,20241118-20241118,11,2024-11-18T08:34:42.000,2460632.8574305554,4,340,1658.361083984375,133.64483642578125
xyfnh3min,20241118-20241118,1,2024-11-18T07:02:33.577,2460632.7934441776,-10,258,1818.028076171875,94.4960708618164
xyfnh3min,20241118-20241118,2,2024-11-18T08:03:18.000,2460632.835625,-8,303,1960.464599609375,100.41324615478516
xyPcldmax,20241118-20241118,1,N/A,0.0,-9,83,1850.1995849609375,97.64430236816406
xyPcldmax,20241118-20241118,2,2024-11-18T03:24:45.857,2460632.642197421,-3,98,1898.21826171875,115.71076965332031
xyPcldmax,20241118-20241118,3,2024-11-18T03:35:36.750,2460632.649730903,-2,112,1958.665283203125,130.37579345703125
xyPcldmax,20241118-20241118,4,2024-11-18T03:48:42.000,2460632.6588194445,5,129,1946.35595703125,144.9788360595703
xyPcldmax,20241118-20241118,5,2024-11-18T03:48:42.000,2460632.6588194445,-4,131,1953.4315185546875,114.13973236083984
xyPcldmax,20241118-20241118,6,2024-11-18T04:11:12.471,2460632.6744498913,-9,154,1990.6922607421875,107.49313354492188
xyPcldmax,20241118-20241118,7,2024-11-18T04:53:15.000,2460632.7036458333,-3,179,1900.84423828125,114.11309051513672
xyPcldmax,20241118-20241118,8,2024-11-18T05:55:47.308,2460632.74707532,-5,216,1888.68603515625,118.41443634033203
xyPcldmax,20241118-20241118,9,2024-11-18T06:00:52.588,2460632.7506086603,6,221,1862.6552734375,141.1446533203125
xyPcldmax,20241118-20241118,10,2024-11-18T07:11:00.000,2460632.7993055554,0,261,1911.9527587890625,126.1200180053711
xyPcldmax,20241118-20241118,11,2024-11-18T07:41:23.774,2460632.820414046,-4,280,2028.17041015625,137.43345642089844
xyPcldmax,20241118-20241118,12,2024-11-18T07:52:50.400,2460632.828361111,9,290,2100.4248046875,151.0745086669922
xyPcldmax,20241118-20241118,13,2024-11-18T08:03:18.000,2460632.835625,-2,303,1960.9808349609375,113.17459869384766
xyPcldmax,20241118-20241118,14,2024-11-18T08:13:46.000,2460632.842893518,-10,315,2096.294921875,115.83026123046875
xyPcldmin,20241118-20241118,1,N/A,0.0,9,84,1660.652099609375,88.81684112548828
xyPcldmin,20241118-20241118,2,2024-11-18T03:17:18.000,2460632.637013889,11,90,1671.827880859375,81.0675277709961
xyPcldmin,20241118-20241118,3,2024-11-18T03:38:14.000,2460632.651550926,10,117,1716.5765380859375,102.73992156982422
xyPcldmin,20241118-20241118,4,2024-11-18T04:20:48.000,2460632.6811111113,8,159,1624.133544921875,98.79700469970703
xyPcldmin,20241118-20241118,5,2024-11-18T04:55:19.731,2460632.7050894764,10,180,1719.90087890625,93.89944458007812
xyPcldmin,20241118-20241118,6,2024-11-18T05:34:14.885,2460632.7321167197,-8,203,1751.9541015625,105.26512145996094
xyPcldmin,20241118-20241118,7,2024-11-18T05:47:20.400,2460632.741208333,9,208,1640.2420654296875,99.08924865722656
xyPcldmin,20241118-20241118,8,2024-11-18T06:20:43.731,2460632.7643950316,11,232,1666.072998046875,72.58453369140625
xyPcldmin,20241118-20241118,9,2024-11-18T07:22:27.170,2460632.80725891,10,269,1692.2515869140625,90.07102966308594
xyPcldmin,20241118-20241118,10,2024-11-18T07:31:55.200,2460632.8138333336,8,274,1689.447265625,120.15750885009766
xyPcldmin,20241118-20241118,11,2024-11-18T08:24:15.000,2460632.850173611,7,327,1643.112060546875,115.23265075683594
