Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,N/A,0.0,14,302,1,58,133.88357787025978,1598.6340500427252,0.45490196347236633
1,2022-09-01T06:04:54.000,2459823.753402778,16,275,-1,85,129.94797981259853,1734.4704281769893,0.7450980544090271
2,2022-09-01T06:04:54.000,2459823.753402778,13,267,2,93,127.69925724534019,1726.8670121744685,0.8039215803146362
3,2022-08-31T06:02:00.000,2459822.751388889,15,251,0,109,114.47060463781509,1643.8088048987006,0.794117659330368
4,2022-08-30T23:09:44.571,2459822.4650992067,14,227,1,133,117.42353169151647,1691.221639756084,0.8039215803146362
5,2022-08-30T05:59:06.000,2459821.749375,7,220,8,140,98.63512901839361,1682.8392696423691,0.8352941274642944
6,2022-08-30T05:59:06.000,2459821.749375,15,217,0,143,114.53710156926027,1698.234414434049,0.9098039269447327
7,2022-08-30T05:59:06.000,2459821.749375,14,209,1,151,120.81597209553681,1680.7032236527443,0.6717948913574219
8,2022-08-29T03:04:13.125,2459820.627929688,14,188,1,172,128.33459500903604,1658.238796917225,0.8117647171020508
9,2022-08-28T06:08:12.000,2459819.7556944443,19,171,-4,189,111.51263477660474,1720.691149506087,0.8784313797950745
10,2022-08-28T06:08:12.000,2459819.7556944443,9,167,6,193,109.4163130041428,1652.5103467293882,0.9176470637321472
