Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20241205-20241205,1,2024-12-05T03:03:06.000,2460649.6271527777,-3,7,2026.1072998046875,132.26275634765625
xyfnh3max,20241205-20241205,2,2024-12-05T03:24:00.000,2460649.6416666666,5,32,1814.3297119140625,165.58030700683594
xyfnh3max,20241205-20241205,3,2024-12-05T04:09:34.098,2460649.673311314,-3,63,2118.553466796875,137.97674560546875
xyfnh3max,20241205-20241205,4,2024-12-05T04:41:18.818,2460649.6953566917,0,80,1974.5570068359375,144.3197479248047
xyfnh3max,20241205-20241205,5,2024-12-05T05:02:03.429,2460649.709761905,6,90,1794.98583984375,143.0084991455078
xyfnh3max,20241205-20241205,6,2024-12-05T06:03:20.694,2460649.7523228456,6,132,1835.3909912109375,164.30296325683594
xyfnh3max,20241205-20241205,7,2024-12-05T06:44:02.640,2460649.7805861114,3,156,1857.295166015625,131.4801788330078
xyfnh3max,20241205-20241205,8,2024-12-05T07:10:09.000,2460649.798715278,6,181,1967.52099609375,145.81089782714844
xyfnh3max,20241205-20241205,9,2024-12-05T07:31:03.000,2460649.813229167,5,205,1901.3153076171875,155.41798400878906
xyfnh3max,20241205-20241205,10,N/A,0.0,-3,305,1802.5687255859375,131.13320922851562
xyfnh3max,20241205-20241205,11,2024-12-05T02:00:18.000,2460649.5835416666,2,313,1754.8802490234375,126.6297378540039
xyfnh3max,20241205-20241205,12,2024-12-05T02:00:18.000,2460649.5835416666,3,318,1674.488525390625,127.37124633789062
xyfnh3max,20241205-20241205,13,2024-12-05T02:10:45.000,2460649.590798611,5,325,1680.990234375,134.2175750732422
xyfnh3max,20241205-20241205,14,2024-12-05T02:10:45.000,2460649.590798611,5,351,1812.84814453125,131.13827514648438
xyfnh3max,20241205-20241205,15,2024-12-05T02:10:45.000,2460649.590798611,-3,356,2036.6490478515625,130.11802673339844
xyfnh3min,20241205-20241205,1,2024-12-05T05:31:45.600,2460649.7303888886,-10,114,1919.8958740234375,82.3283462524414
xyfnh3min,20241205-20241205,2,2024-12-05T05:53:25.200,2460649.7454305557,-10,130,1886.4498291015625,82.18079376220703
xyfnh3min,20241205-20241205,3,2024-12-05T06:37:39.600,2460649.7761527775,-10,150,1903.9757080078125,85.30792236328125
xyfnh3min,20241205-20241205,4,2024-12-05T07:10:09.000,2460649.798715278,-10,180,1900.458984375,78.2887191772461
xyfnh3min,20241205-20241205,5,2024-12-05T07:20:36.000,2460649.8059722222,-10,192,1887.5870361328125,78.38800048828125
xyPcldmax,20241205-20241205,1,2024-12-05T03:03:06.000,2460649.6271527777,-4,8,2026.9747314453125,124.51652526855469
xyPcldmax,20241205-20241205,2,2024-12-05T03:22:03.349,2460649.6403165376,-4,27,1978.3363037109375,122.94493865966797
xyPcldmax,20241205-20241205,3,2024-12-05T03:24:00.000,2460649.6416666666,-7,38,2032.49462890625,112.38180541992188
xyPcldmax,20241205-20241205,4,2024-12-05T03:24:00.000,2460649.6416666666,8,39,1919.5792236328125,138.57838439941406
xyPcldmax,20241205-20241205,5,2024-12-05T03:34:27.000,2460649.6489236113,-5,46,1994.550048828125,119.08149719238281
xyPcldmax,20241205-20241205,6,2024-12-05T04:10:59.143,2460649.674295635,-4,64,2127.806884765625,136.1286163330078
xyPcldmax,20241205-20241205,7,2024-12-05T04:19:49.317,2460649.680431911,-1,70,2096.2275390625,137.0965576171875
xyPcldmax,20241205-20241205,8,2024-12-05T04:45:26.488,2460649.6982232383,-6,83,2223.007080078125,140.173583984375
xyPcldmax,20241205-20241205,9,2024-12-05T04:53:51.000,2460649.7040625,9,86,1896.913330078125,126.06298828125
xyPcldmax,20241205-20241205,10,2024-12-05T05:11:08.927,2460649.716075542,-1,96,1979.3656005859375,125.24967193603516
xyPcldmax,20241205-20241205,11,2024-12-05T05:20:13.500,2460649.722378472,-2,103,1982.4796142578125,120.6313247680664
xyPcldmax,20241205-20241205,12,2024-12-05T05:31:45.600,2460649.7303888886,-10,110,1949.421875,89.42643737792969
xyPcldmax,20241205-20241205,13,2024-12-05T05:31:45.600,2460649.7303888886,-2,114,1971.4837646484375,123.26728057861328
xyPcldmax,20241205-20241205,14,2024-12-05T05:53:25.200,2460649.7454305557,-10,124,1934.555419921875,88.59866333007812
