Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,2025-03-02T01:59:06.000,2460736.582708333,25,353,-10,7,110.03380554624543,1905.6053501737915,0.3764705955982208
1,2025-03-02T02:08:56.118,2460736.5895383987,7,340,8,20,108.9872622762622,1857.1743149131198,0.43044983113513274
2,2025-03-02T02:09:33.000,2460736.5899652774,6,332,9,28,106.41939498558537,1942.1678178995487,0.42941176891326904
3,2025-03-02T02:09:33.000,2460736.5899652774,25,332,-10,28,103.9544854704172,1931.0262131731029,0.4274509847164154
4,2025-03-02T02:09:33.000,2460736.5899652774,8,325,7,35,117.79343151661107,1978.5200336481762,0.4333333373069763
5,2025-03-02T02:09:33.000,2460736.5899652774,24,316,-9,44,108.54565828178923,1947.642840699064,0.41925135390325025
6,2025-03-02T02:41:40.765,2460736.6122773695,25,297,-10,63,115.53047163391635,1896.0062967241677,0.41014994768535395
7,2025-03-02T02:44:28.500,2460736.61421875,24,291,-9,69,115.23586782913698,1971.618251909644,0.41017488611711045
8,2025-03-02T02:45:46.286,2460736.6151190475,6,288,9,72,135.24541980030727,1820.460864222154,0.3901458084583282
9,2025-03-02T03:41:22.500,2460736.653732639,11,270,4,90,111.23776008804865,1775.010913114062,0.44736048579216003
10,2025-03-02T03:41:22.500,2460736.653732639,4,270,11,90,75.702249757879,1683.0810073728092,0.41447964310646057
11,2025-03-02T03:41:22.500,2460736.653732639,5,263,10,97,79.09453276653558,1741.9661119938464,0.39194489250311987
12,2025-03-02T03:41:22.500,2460736.653732639,16,260,-1,100,106.26416774729044,1832.2606559120209,0.45578431636095046
13,2025-03-02T03:49:28.714,2460736.659360119,5,258,10,102,72.95782483389078,1780.802118985383,0.3882353007793427
14,2025-03-02T04:14:09.818,2460736.676502525,15,243,0,117,139.74904648535838,1944.9760029504641,0.40310458093881607
15,2025-03-02T04:15:09.600,2460736.6771944445,7,235,8,125,132.15176754424644,1879.722269504005,0.364705890417099
16,2025-03-02T04:27:53.647,2460736.686037582,15,218,0,142,134.42868284266652,1922.429704187451,0.400230686454212
17,2025-03-02T04:36:58.000,2460736.6923379633,15,209,0,151,161.98752166698037,1904.4415176302828,0.393464058637619
18,2025-03-02T04:38:49.200,2460736.693625,6,205,9,155,164.7073038800919,1944.4178486511114,0.3320784413814545
19,2025-03-02T04:49:51.375,2460736.701289063,23,190,-8,170,113.26663028136828,1735.9327342149825,0.41666667163372045
20,2025-03-02T04:51:32.143,2460736.702455357,4,188,11,172,105.75502631654969,1562.5547321411714,0.34341737627983093
21,2025-03-02T04:59:00.000,2460736.707638889,13,185,2,175,86.78455073054299,1624.4444404941523,0.39643494378436694
