Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20220810-20220812,1,N/A,0.0,6,177,1652.54931640625,109.04820251464844
xyfnh3max,20220810-20220812,2,2022-08-12T10:25:30.000,2459803.9343750007,8,183,1731.3834228515625,113.88362884521484
xyfnh3max,20220810-20220812,3,2022-08-12T10:25:30.000,2459803.934375,2,191,1615.2406005859375,125.45008850097656
xyfnh3max,20220810-20220812,4,2022-08-12T10:25:30.000,2459803.934375,5,211,1891.480224609375,144.53515625
xyfnh3max,20220810-20220812,5,2022-08-10T10:13:00.000,2459801.925694444,4,276,1830.34814453125,121.09449005126953
xyfnh3max,20220810-20220812,6,2022-08-10T10:13:00.000,2459801.925694444,-9,284,1823.8267822265625,114.12554931640625
xyfnh3max,20220810-20220812,7,2022-08-10T10:13:00.000,2459801.925694444,4,287,1805.1512451171875,141.4740753173828
xyfnh3max,20220810-20220812,8,2022-08-10T10:13:00.000,2459801.925694444,-10,289,1788.064208984375,114.925537109375
xyfnh3max,20220810-20220812,9,2022-08-10T10:13:00.000,2459801.925694444,-3,299,1632.3463134765625,134.469482421875
xyfnh3min,20220810-20220812,1,N/A,0.0,1,177,1513.4761962890625,72.82817840576172
xyfnh3min,20220810-20220812,2,2022-08-12T10:25:30.000,2459803.934375,-1,196,1648.0570068359375,102.38191986083984
xyfnh3min,20220810-20220812,3,2022-08-12T10:25:30.000,2459803.934375,-2,226,1753.7899169921875,87.08258819580078
xyfnh3min,20220810-20220812,4,2022-08-10T10:13:00.000,2459801.925694444,-1,259,1614.731201171875,81.50379180908203
xyfnh3min,20220810-20220812,5,2022-08-10T10:13:00.000,2459801.925694444,-6,286,1746.1610107421875,104.93646240234375
xyPcldmax,20220810-20220812,1,2022-08-12T10:25:30.000,2459803.934375,8,201,1824.084716796875,116.5827407836914
xyPcldmax,20220810-20220812,2,2022-08-12T10:25:30.000,2459803.934375,8,216,1995.6492919921875,114.10444641113281
xyPcldmax,20220810-20220812,3,2022-08-12T10:25:30.000,2459803.934375,7,223,1970.7125244140625,108.36200714111328
xyPcldmax,20220810-20220812,4,2022-08-10T10:13:00.000,2459801.925694444,10,258,1796.551513671875,42.278018951416016
xyPcldmax,20220810-20220812,5,2022-08-10T10:13:00.000,2459801.925694444,6,276,1890.655029296875,115.77143096923828
xyPcldmax,20220810-20220812,6,2022-08-10T10:13:00.000,2459801.925694444,-9,277,1913.4158935546875,108.10137939453125
xyPcldmax,20220810-20220812,7,2022-08-10T10:13:00.000,2459801.925694444,7,281,1904.560302734375,112.64400482177734
xyPcldmax,20220810-20220812,8,2022-08-10T10:13:00.000,2459801.925694444,8,297,2068.177734375,118.56941986083984
xyPcldmin,20220810-20220812,1,N/A,0.0,-1,178,1462.1341552734375,82.96356201171875
xyPcldmin,20220810-20220812,2,2022-08-12T10:25:30.000,2459803.934375,-2,220,1758.499755859375,104.83068084716797
xyPcldmin,20220810-20220812,3,2022-08-11T10:19:15.000,2459802.930034722,-2,236,1660.61865234375,101.31902313232422
xyPcldmin,20220810-20220812,4,2022-08-10T10:13:00.000,2459801.925694444,-2,258,1605.4893798828125,91.58163452148438
xyPcldmin,20220810-20220812,5,2022-08-10T10:13:00.000,2459801.925694444,6,260,1580.7130126953125,74.69732666015625
xyPcldmin,20220810-20220812,6,2022-08-10T10:13:00.000,2459801.925694444,-1,264,1617.322998046875,87.61737823486328
xyPcldmin,20220810-20220812,7,2022-08-10T10:13:00.000,2459801.925694444,8,287,1753.085693359375,117.04755401611328
xyPcldmin,20220810-20220812,8,2022-08-10T10:13:00.000,2459801.925694444,-2,299,1594.72900390625,130.50962829589844
