Type,No.,Lat,Lon,PCld,fNH3
xyfnh3max,1,-3,44,1711.1927490234375,123.26203918457031
xyfnh3max,2,4,45,1675.1717529296875,125.08031463623047
xyfnh3max,3,-8,54,1907.527099609375,121.35335540771484
xyfnh3max,4,3,55,1722.971435546875,140.38998413085938
xyfnh3max,5,5,64,1893.742431640625,144.50689697265625
xyfnh3max,6,7,116,1770.3388671875,143.36886596679688
xyfnh3max,7,2,196,1680.1434326171875,131.6810760498047
xyfnh3max,8,4,232,1795.896728515625,125.2281494140625
xyfnh3max,9,6,279,1799.364013671875,133.74720764160156
xyfnh3max,10,6,284,1702.34375,136.23829650878906
xyfnh3min,1,-6,44,1769.446533203125,102.37235260009766
xyfnh3min,2,-7,49,1896.02734375,102.6036376953125
xyfnh3min,3,-1,51,1811.8045654296875,107.80615234375
xyfnh3min,4,-6,57,1890.3280029296875,107.9866943359375
xyfnh3min,5,-4,98,1748.0399169921875,96.3851318359375
xyfnh3min,6,-6,106,1775.5247802734375,94.76344299316406
xyfnh3min,7,9,218,1707.94091796875,90.89275360107422
xyfnh3min,8,-2,247,1780.84765625,104.99301147460938
xyfnh3min,9,-3,261,1773.537109375,97.20497131347656
xyPcldmax,1,10,48,1811.0155029296875,89.61849212646484
xyPcldmax,2,11,69,1934.4664306640625,103.5791015625
xyPcldmax,3,6,77,1929.207763671875,130.58786010742188
xyPcldmax,4,-9,110,1822.2510986328125,98.37730407714844
xyPcldmax,5,-4,118,1810.4454345703125,113.60342407226562
xyPcldmax,6,4,123,1846.510498046875,136.0483856201172
xyPcldmax,7,-5,123,1812.946533203125,113.90887451171875
xyPcldmax,8,10,127,1860.159423828125,103.28459167480469
xyPcldmax,9,10,199,1800.8094482421875,119.3812484741211
xyPcldmax,10,3,206,1799.7169189453125,118.33692932128906
xyPcldmax,11,-9,224,1919.0184326171875,118.33199310302734
xyPcldmax,12,5,276,1851.365478515625,131.18382263183594
xyPcldmax,13,-9,285,1897.024658203125,88.92693328857422
xyPcldmin,1,6,43,1637.7017822265625,124.4760971069336
xyPcldmin,2,-1,43,1661.41650390625,117.5848388671875
xyPcldmin,3,7,52,1676.0828857421875,115.25430297851562
xyPcldmin,4,1,64,1793.154541015625,134.0220947265625
xyPcldmin,5,1,93,1703.3128662109375,99.95268249511719
xyPcldmin,6,4,107,1678.5982666015625,126.77371215820312
xyPcldmin,7,4,195,1675.5455322265625,129.24020385742188
xyPcldmin,8,7,220,1667.47998046875,99.02017974853516
xyPcldmin,9,9,240,1689.165771484375,102.86465454101562
xyPcldmin,10,6,258,1668.2525634765625,106.6224365234375
xyPcldmin,11,-2,269,1733.1220703125,105.44322967529297
