Type,No.,Lat,Lon,PCld,fNH3
xyfnh3max,1,2,51,1893.6375732421875,136.940673828125
xyfnh3max,2,5,68,1714.827392578125,107.29824829101562
xyfnh3max,3,5,213,1756.178466796875,130.8676300048828
xyfnh3max,4,1,230,1642.080322265625,119.03982543945312
xyfnh3max,5,10,237,1731.429931640625,128.30287170410156
xyfnh3max,6,-1,244,1722.317138671875,113.66728973388672
xyfnh3max,7,8,249,1818.4031982421875,185.1219024658203
xyfnh3max,8,8,267,1749.654296875,131.34278869628906
xyfnh3max,9,11,276,1770.2545166015625,114.3256607055664
xyfnh3max,10,10,285,1849.1090087890625,161.94094848632812
xyfnh3min,1,-8,10,1949.03662109375,97.73628234863281
xyfnh3min,2,-4,73,1809.7203369140625,83.50440979003906
xyfnh3min,3,-4,79,1772.8699951171875,85.18669891357422
xyfnh3min,4,-10,204,1749.0904541015625,85.00321960449219
xyfnh3min,5,-5,223,1724.760009765625,69.6559066772461
xyfnh3min,6,6,224,1715.4429931640625,45.825439453125
xyfnh3min,7,-3,254,1705.75830078125,66.33486938476562
xyfnh3min,8,-3,289,1667.6038818359375,-28.86471939086914
xyPcldmax,1,8,48,1976.922607421875,120.79720306396484
xyPcldmax,2,-9,70,1869.0528564453125,101.28900146484375
xyPcldmax,3,7,251,1846.73974609375,175.21636962890625
xyPcldmax,4,9,283,1878.822998046875,143.86463928222656
xyPcldmin,1,6,12,1693.8782958984375,103.23274230957031
xyPcldmin,2,6,29,1649.2794189453125,105.18099212646484
xyPcldmin,3,-3,36,1719.9595947265625,111.72101593017578
xyPcldmin,4,6,67,1692.3477783203125,102.75143432617188
xyPcldmin,5,6,201,1651.088134765625,98.97908020019531
xyPcldmin,6,-8,206,1684.2490234375,86.55810546875
xyPcldmin,7,-8,211,1675.8714599609375,94.74653625488281
xyPcldmin,8,4,231,1584.0628662109375,69.76412200927734
xyPcldmin,9,0,273,1599.552978515625,46.905216217041016
