Type,No.,Lat,Lon,PCld,fNH3
xyfnh3max,1,3,7,1851.9658203125,137.992431640625
xyfnh3max,2,4,13,1876.14990234375,136.28977966308594
xyfnh3max,3,-1,47,1654.118896484375,116.0101089477539
xyfnh3max,4,2,168,1633.4783935546875,135.69224548339844
xyfnh3max,5,0,176,1635.501708984375,131.0027618408203
xyfnh3max,6,1,181,1659.7706298828125,132.29800415039062
xyfnh3max,7,-4,182,1695.7891845703125,132.03953552246094
xyfnh3max,8,2,190,1633.267333984375,118.9927978515625
xyfnh3max,9,3,208,1815.564453125,138.84336853027344
xyfnh3max,10,2,225,1872.4554443359375,126.52790832519531
xyfnh3min,1,-7,7,1930.3116455078125,99.71688842773438
xyfnh3min,2,-8,23,2009.30029296875,98.61144256591797
xyfnh3min,3,-6,45,1867.2120361328125,89.89761352539062
xyfnh3min,4,-4,246,1695.1588134765625,85.69812774658203
xyPcldmax,1,5,14,1906.1087646484375,130.44647216796875
xyPcldmax,2,-10,20,2057.718505859375,108.6240234375
xyPcldmax,3,3,21,1903.3189697265625,125.99017333984375
xyPcldmax,4,8,207,1922.2935791015625,115.19479370117188
xyPcldmax,5,-9,214,1881.2972412109375,107.1429443359375
xyPcldmax,6,9,226,2005.8602294921875,99.24181365966797
xyPcldmax,7,10,251,1934.7218017578125,73.98242950439453
xyPcldmin,1,-1,45,1648.396240234375,111.7275619506836
xyPcldmin,2,7,52,1514.755615234375,90.45659637451172
xyPcldmin,3,9,166,1603.8365478515625,96.4728775024414
xyPcldmin,4,0,174,1596.3349609375,124.70696258544922
xyPcldmin,5,4,193,1588.2340087890625,111.77169036865234
xyPcldmin,6,-3,219,1760.873046875,114.36638641357422
xyPcldmin,7,-3,242,1668.3975830078125,98.38460540771484
xyPcldmin,8,4,243,1630.6199951171875,91.13494873046875
