label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max
1,2460590.9899305557,2024-10-07T11:45:30.000,40.0,0.9308167359246027,-6.449999999999999,2.6000000000000227,-6.478662735525859,2.5805330763184315,140.00843281643822,135.16485809952724,147.93489519918663,1919.4562066819503,1858.1270623893402,1981.2977457867441
2,2460593.99375,2024-10-10T11:51:00.000,1.0,0,4.0,119.0,4.0,119.0,136.35728622226964,136.35728622226964,136.35728622226964,1684.6809576884239,1684.6809576884239,1684.6809576884239
3,2460593.99375,2024-10-10T11:51:00.000,5.0,0.9851714310094161,2.8000000000000007,122.4,2.802894439956976,122.39824206861587,135.71393711580225,135.08570462472088,136.4851373807346,1784.5214781056493,1753.0672546852436,1809.2953357237047
4,2460591.995277778,2024-10-08T11:53:12.000,61.0,0.835142741647011,5.229508196721312,196.2622950819672,5.2424921213615345,196.242368198121,142.45210294957738,135.17720973853994,151.39125227717335,1865.8221458789326,1748.823706544727,1943.5788690800812
5,2460592.00375,2024-10-08T12:05:24.000,2.0,1.0,5.0,213.5,5.0,213.49783534518068,136.23877780822596,135.6489579543003,136.82859766215162,1697.3871525477093,1695.3805340181939,1699.393771077225
6,2460592.00375,2024-10-08T12:05:24.000,1.0,0,3.0,214.0,3.0,214.0,135.4917433384626,135.4917433384626,135.4917433384626,1692.1004269214313,1692.1004269214313,1692.1004269214313
7,0.0,-04713-11-24T12:00:00.000,1.0,0,5.0,216.0,5.0,216.0,135.5851728160885,135.5851728160885,135.5851728160885,1720.0951366568706,1720.0951366568706,1720.0951366568706
8,0.0,-04713-11-24T12:00:00.000,4.0,0.9606594016383402,-13.25,217.0,-13.250225310971118,216.99891432977526,137.79366864698738,137.31946041534934,138.44613703472774,1786.0398741003285,1778.8053513239615,1797.043853356037
9,0.0,-04713-11-24T12:00:00.000,7.0,0.8888070818632532,3.571428571428571,217.57142857142858,3.581011970008138,217.57265789117506,136.86138219465246,135.34864015258484,139.60968382785356,1697.8557160519447,1674.303333525242,1721.95986315872
10,0.0,-04713-11-24T12:00:00.000,19.0,0.6119143649591853,3.3684210526315788,307.3157894736842,3.361700208810868,307.3039338843515,141.1356957070034,135.13417443600554,148.37752369961052,1572.8572378728177,1542.2985393161605,1602.2733997378896
11,2460592.993263889,2024-10-09T11:50:18.000,74.0,0.9424935653286928,-2.608108108108109,313.31081081081084,-2.6116253504654523,313.3540836690447,143.1794193746572,135.03869017130125,155.26536126618979,1700.9908967594608,1638.53923422309,1800.9938307556567
12,2460593.0014930554,2024-10-09T12:02:09.000,1.0,0,-3.0,331.0,-3.0,331.0,135.73845401763677,135.73845401763677,135.73845401763677,1844.6294758871832,1844.6294758871832,1844.6294758871832
13,2460593.0014930554,2024-10-09T12:02:09.000,1.0,0,0.0,333.0,0.0,333.0,137.01347370583994,137.01347370583994,137.01347370583994,1826.6321545450494,1826.6321545450494,1826.6321545450494
14,2460593.0014930554,2024-10-09T12:02:09.000,173.0,0.9479418557373663,-2.092485549132949,347.485549132948,-2.1138015294094785,347.6069724707128,141.5368139399988,135.02523536679547,152.55247599454444,2049.740041023231,1904.1489912944312,2130.2855338360114
