Type,No.,Lat,Lon,PCld,fNH3
xyfnh3max,1,3,94,1651.798828125,132.6517791748047
xyfnh3max,2,-2,99,1658.234619140625,128.3762664794922
xyfnh3max,3,-3,110,1723.6380615234375,132.48793029785156
xyfnh3max,4,2,131,1794.697998046875,122.08364868164062
xyfnh3max,5,3,157,1736.2249755859375,134.65213012695312
xyfnh3max,6,4,165,1768.3505859375,136.49710083007812
xyfnh3max,7,2,172,1733.2470703125,136.00465393066406
xyfnh3max,8,4,182,1649.3349609375,136.82437133789062
xyfnh3max,9,-4,189,1633.264404296875,127.26390075683594
xyfnh3max,10,-5,199,1771.854736328125,136.2392578125
xyfnh3max,11,7,200,1831.4615478515625,155.97071838378906
xyfnh3max,12,-6,207,1672.4635009765625,143.71656799316406
xyfnh3max,13,5,212,1787.4739990234375,153.98672485351562
xyfnh3max,14,5,218,1762.7108154296875,143.6824951171875
xyfnh3max,15,7,228,1893.5782470703125,126.62569427490234
xyfnh3max,16,-9,230,1961.43310546875,123.67667388916016
xyfnh3max,17,5,235,1633.1689453125,126.5342788696289
xyfnh3max,18,-5,236,1688.4447021484375,128.26260375976562
xyfnh3max,19,-10,246,1781.130126953125,133.074462890625
xyfnh3max,20,5,253,1715.468017578125,169.28884887695312
xyfnh3max,21,-5,259,1535.65478515625,141.56361389160156
xyfnh3max,22,4,304,1611.906005859375,140.93118286132812
xyfnh3max,23,-5,310,1658.7860107421875,122.07423400878906
xyfnh3max,24,4,315,1629.443115234375,130.54483032226562
xyfnh3max,25,2,322,1621.3409423828125,132.877685546875
xyfnh3max,26,-3,333,1746.453369140625,132.2924346923828
xyfnh3max,27,2,342,1746.2454833984375,133.1634521484375
xyfnh3max,28,-3,344,1760.3096923828125,129.72508239746094
xyfnh3min,1,-8,92,1693.263427734375,101.05592346191406
xyfnh3min,2,-2,93,1601.267822265625,110.58294677734375
xyfnh3min,3,-8,126,1894.1875,104.13595581054688
xyfnh3min,4,-10,134,1861.2139892578125,103.20568084716797
xyfnh3min,5,-7,148,1848.2725830078125,103.80299377441406
xyfnh3min,6,-7,158,1781.4893798828125,100.4677734375
xyfnh3min,7,-3,193,1645.5986328125,104.25887298583984
xyfnh3min,8,0,210,1667.1256103515625,108.50990295410156
xyfnh3min,9,-1,225,2077.2451171875,93.59883117675781
xyfnh3min,10,2,232,1909.7972412109375,103.91915893554688
xyfnh3min,11,-1,241,1634.241943359375,77.1238021850586
xyfnh3min,12,11,242,1833.75244140625,74.64801025390625
xyfnh3min,13,-2,266,1779.495849609375,80.11605072021484
xyfnh3min,14,-8,305,1715.1959228515625,108.5945053100586
xyfnh3min,15,-8,314,1822.9493408203125,108.89472961425781
xyPcldmax,1,-8,128,1936.826416015625,108.48097229003906
xyPcldmax,2,8,133,1872.8280029296875,103.11373138427734
xyPcldmax,3,-8,141,1917.3739013671875,107.45978546142578
xyPcldmax,4,-6,159,1813.7767333984375,103.97154235839844
xyPcldmax,5,8,166,1783.1864013671875,116.84709167480469
xyPcldmax,6,-7,169,1787.764892578125,110.58379364013672
xyPcldmax,7,8,174,1803.4307861328125,115.12619018554688
xyPcldmax,8,-6,177,1803.2154541015625,115.00596618652344
xyPcldmax,9,5,179,1803.87890625,133.2415008544922
xyPcldmax,10,-8,198,1901.3809814453125,115.08674621582031
xyPcldmax,11,9,209,2074.100341796875,119.64189147949219
xyPcldmax,12,3,216,1865.2083740234375,127.34059143066406
xyPcldmax,13,2,225,2166.85498046875,103.72334289550781
xyPcldmax,14,-8,228,2056.637939453125,107.77037811279297
xyPcldmax,15,8,254,1939.514404296875,129.4730682373047
xyPcldmax,16,-7,267,1813.5338134765625,116.56944274902344
xyPcldmax,17,3,350,1817.950439453125,129.80877685546875
xyPcldmin,1,9,93,1607.2938232421875,90.27397918701172
xyPcldmin,2,-2,95,1550.567626953125,121.62884521484375
xyPcldmin,3,0,105,1647.0531005859375,118.40227508544922
xyPcldmin,4,6,112,1661.3262939453125,123.75495910644531
xyPcldmin,5,6,141,1712.712646484375,113.56915283203125
xyPcldmin,6,8,159,1695.3621826171875,118.44847106933594
xyPcldmin,7,-5,164,1703.700439453125,113.02279663085938
xyPcldmin,8,2,171,1700.4754638671875,133.0348663330078
xyPcldmin,9,-3,173,1693.9061279296875,128.5773468017578
xyPcldmin,10,-2,187,1544.2808837890625,112.34183502197266
xyPcldmin,11,5,194,1604.5782470703125,144.29409790039062
xyPcldmin,12,-5,206,1648.7139892578125,136.8964080810547
xyPcldmin,13,2,208,1535.4644775390625,140.25369262695312
xyPcldmin,14,-3,213,1604.9149169921875,120.64337921142578
xyPcldmin,15,4,237,1486.9288330078125,118.5037841796875
xyPcldmin,16,-3,239,1583.0367431640625,102.3972396850586
xyPcldmin,17,6,245,1486.0194091796875,119.21162414550781
xyPcldmin,18,-5,259,1535.65478515625,141.56361389160156
xyPcldmin,19,-5,264,1584.6524658203125,112.73393249511719
xyPcldmin,20,6,302,1577.393798828125,126.931396484375
xyPcldmin,21,-3,302,1530.38330078125,124.50465393066406
xyPcldmin,22,6,309,1598.890380859375,124.36555480957031
xyPcldmin,23,0,313,1587.28662109375,111.89897918701172
xyPcldmin,24,-2,345,1729.712890625,123.70463562011719
xyPcldmin,25,2,353,1757.17333984375,136.12551879882812
