label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max
1,2460632.649730903,2024-11-18T03:35:36.750,6.0,0.9157938562442206,-1.3333333333333321,215.5,-1.3334997335887202,215.4998429016116,1955.2737925755685,1950.608362270328,1958.6652849330965,133.0217706528271,127.99845158630501,136.69104899382256
2,2460632.651550926,2024-11-18T03:38:14.000,1.0,0,-1.0,221.0,-1.0,221.0,1951.4991134910745,1951.4991134910745,1951.4991134910745,132.84306945832782,132.84306945832782,132.84306945832782
3,2460632.6811111113,2024-11-18T04:20:48.000,4.0,1.0,-3.0,264.5,-3.0,264.5013104224672,1954.0583046869556,1951.1455270355386,1958.9460455440596,123.67959747531265,122.0695712217377,125.14480006000174
