Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20221009-20221013,1,N/A,0.0,4,131,1864.004150390625,121.9233627319336
xyfnh3max,20221009-20221013,2,2022-10-13T03:45:30.000,2459865.656597222,1,147,1901.6112060546875,117.68209075927734
xyfnh3max,20221009-20221013,3,2022-10-13T03:45:30.000,2459865.656597222,-5,160,1920.3843994140625,111.80293273925781
xyfnh3max,20221009-20221013,4,2022-10-13T03:45:30.000,2459865.656597222,4,181,1836.7850341796875,131.5016632080078
xyfnh3max,20221009-20221013,5,2022-10-13T03:45:30.000,2459865.656597222,-6,203,1706.6573486328125,119.04674530029297
xyfnh3max,20221009-20221013,6,N/A,0.0,-10,228,1852.92041015625,113.03022003173828
xyfnh3max,20221009-20221013,7,2022-10-09T04:01:30.000,2459861.667708333,3,232,1685.831298828125,137.28152465820312
xyfnh3max,20221009-20221013,8,2022-10-09T04:01:30.000,2459861.667708333,5,240,1716.706298828125,138.02426147460938
xyfnh3max,20221009-20221013,9,2022-10-09T04:01:30.000,2459861.667708333,-7,243,1891.160400390625,117.31533813476562
xyfnh3max,20221009-20221013,10,2022-10-09T04:01:30.000,2459861.667708333,3,253,1718.1080322265625,147.274169921875
xyfnh3max,20221009-20221013,11,2022-10-09T04:01:30.000,2459861.667708333,1,262,1764.5106201171875,134.5975799560547
xyfnh3max,20221009-20221013,12,2022-10-09T04:01:30.000,2459861.667708333,4,278,1753.098388671875,142.72450256347656
xyfnh3max,20221009-20221013,13,2022-10-09T04:34:42.000,2459861.690763889,-6,284,1789.279296875,121.19882202148438
xyfnh3max,20221009-20221013,14,2022-10-09T04:43:00.000,2459861.6965277777,-10,290,1881.783447265625,120.42704772949219
xyfnh3max,20221009-20221013,15,2022-10-09T04:51:18.000,2459861.7022916665,5,302,1691.6829833984375,124.4705810546875
xyfnh3max,20221009-20221013,16,2022-10-09T05:24:30.000,2459861.7253472223,-6,311,1758.406005859375,108.26294708251953
xyfnh3max,20221009-20221013,17,2022-10-09T05:24:30.000,2459861.7253472223,5,319,1828.06396484375,128.84893798828125
xyfnh3max,20221009-20221013,18,2022-10-09T05:24:30.000,2459861.7253472223,5,325,1788.9310302734375,127.28279876708984
xyfnh3max,20221009-20221013,19,2022-10-09T05:24:30.000,2459861.7253472223,-7,332,1885.77783203125,112.41040802001953
xyfnh3max,20221009-20221013,20,2022-10-09T05:24:30.000,2459861.7253472223,4,332,1722.3206787109375,124.33094787597656
xyfnh3max,20221009-20221013,21,2022-10-09T05:24:30.000,2459861.7253472223,4,339,1699.598876953125,123.77995300292969
xyfnh3max,20221009-20221013,22,2022-10-09T05:24:30.000,2459861.7253472223,5,347,1633.0118408203125,126.91242980957031
xyfnh3min,20221009-20221013,1,N/A,0.0,-5,131,1824.400390625,96.45901489257812
xyfnh3min,20221009-20221013,2,2022-10-13T03:45:30.000,2459865.656597222,-7,140,1996.361083984375,101.84713745117188
xyfnh3min,20221009-20221013,3,2022-10-13T03:45:30.000,2459865.656597222,-6,145,2043.10693359375,103.74091339111328
xyfnh3min,20221009-20221013,4,2022-10-13T03:45:30.000,2459865.656597222,-4,154,1890.8289794921875,103.58363342285156
xyfnh3min,20221009-20221013,5,2022-10-13T03:45:30.000,2459865.656597222,-4,165,1924.51123046875,103.4928970336914
xyfnh3min,20221009-20221013,6,2022-10-13T03:45:30.000,2459865.656597222,-4,170,1882.032958984375,102.09334564208984
xyfnh3min,20221009-20221013,7,2022-10-13T03:45:30.000,2459865.656597222,-4,178,1862.1456298828125,103.27535247802734
xyfnh3min,20221009-20221013,8,2022-10-13T03:45:30.000,2459865.656597222,-4,184,1764.7252197265625,103.45661926269531
xyfnh3min,20221009-20221013,9,N/A,0.0,-7,229,1839.8677978515625,91.30252075195312
xyfnh3min,20221009-20221013,10,2022-10-09T04:01:30.000,2459861.667708333,-5,240,1781.6300048828125,91.19866943359375
xyfnh3min,20221009-20221013,11,2022-10-09T04:01:30.000,2459861.667708333,-7,258,1797.0111083984375,96.71893310546875
xyfnh3min,20221009-20221013,12,2022-10-09T04:01:30.000,2459861.667708333,-7,268,1815.322509765625,94.57357788085938
