Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20250129-20250129,1,2025-01-29T01:44:52.000,2460704.5728240744,3,8,1856.7618408203125,127.6850357055664
xyfnh3max,20250129-20250129,2,2025-01-29T01:53:39.882,2460704.578933824,5,14,1864.0914306640625,127.81253814697266
xyfnh3max,20250129-20250129,3,2025-01-29T02:04:10.186,2460704.5862290054,4,27,1858.092529296875,128.52252197265625
xyfnh3max,20250129-20250129,4,2025-01-29T02:06:08.400,2460704.587597222,3,34,1865.0419921875,129.04507446289062
xyfnh3max,20250129-20250129,5,2025-01-29T02:48:19.200,2460704.616888889,5,59,1810.981689453125,179.10906982421875
xyfnh3max,20250129-20250129,6,2025-01-29T03:10:58.800,2460704.632625,-4,77,1947.900634765625,126.16638946533203
xyfnh3max,20250129-20250129,7,2025-01-29T03:58:06.279,2460704.665350452,5,107,1907.9527587890625,171.19398498535156
xyfnh3max,20250129-20250129,8,2025-01-29T05:13:23.412,2460704.717632081,4,149,1762.048095703125,147.21237182617188
xyfnh3max,20250129-20250129,9,2025-01-29T05:53:10.884,2460704.745264858,5,177,1922.263427734375,159.476806640625
xyfnh3max,20250129-20250129,10,2025-01-29T06:31:18.750,2460704.7717447914,2,216,1742.50048828125,149.35781860351562
xyfnh3max,20250129-20250129,11,N/A,0.0,1,303,1764.054931640625,137.94149780273438
xyfnh3max,20250129-20250129,12,N/A,0.0,-10,303,1858.8304443359375,126.35907745361328
xyfnh3max,20250129-20250129,13,2025-01-29T00:41:06.000,2460704.5285416665,-7,315,1791.5579833984375,124.52397918701172
xyfnh3max,20250129-20250129,14,2025-01-29T00:52:03.000,2460704.5361458333,5,334,1805.462890625,150.44662475585938
xyfnh3max,20250129-20250129,15,2025-01-29T00:52:03.000,2460704.5361458333,-3,352,1937.5921630859375,123.26490020751953
xyfnh3min,20250129-20250129,1,2025-01-29T00:41:06.000,2460704.5285416665,0,312,1768.1597900390625,97.29469299316406
xyPcldmax,20250129-20250129,1,2025-01-29T01:44:52.000,2460704.5728240744,-2,6,1972.623046875,117.14010620117188
xyPcldmax,20250129-20250129,2,2025-01-29T01:55:33.000,2460704.5802430557,2,22,1907.1202392578125,121.23165130615234
xyPcldmax,20250129-20250129,3,2025-01-29T02:06:08.400,2460704.587597222,-1,37,1955.2579345703125,127.58735656738281
xyPcldmax,20250129-20250129,4,2025-01-29T02:27:14.400,2460704.60225,0,46,1973.0926513671875,132.39512634277344
xyPcldmax,20250129-20250129,5,2025-01-29T02:48:19.200,2460704.616888889,8,65,2050.809326171875,154.21974182128906
xyPcldmax,20250129-20250129,6,2025-01-29T03:22:19.125,2460704.640499132,-4,82,2000.5042724609375,119.04180145263672
xyPcldmax,20250129-20250129,7,2025-01-29T03:55:56.400,2460704.663847222,-5,99,2105.041748046875,128.59739685058594
xyPcldmax,20250129-20250129,8,2025-01-29T04:08:43.021,2460704.672720154,8,109,2007.28076171875,143.19764709472656
xyPcldmax,20250129-20250129,9,2025-01-29T04:42:10.800,2460704.6959583336,-10,131,1906.9515380859375,104.1248550415039
xyPcldmax,20250129-20250129,10,2025-01-29T05:18:46.200,2460704.7213680553,9,152,1936.8709716796875,106.89735412597656
xyPcldmax,20250129-20250129,11,2025-01-29T05:25:18.000,2460704.725902778,-1,158,2021.8048095703125,131.47340393066406
xyPcldmax,20250129-20250129,12,2025-01-29T05:36:24.000,2460704.7336111115,-6,166,1983.466796875,115.18242645263672
xyPcldmax,20250129-20250129,13,2025-01-29T06:02:33.000,2460704.7517708335,7,180,2027.4029541015625,130.86221313476562
xyPcldmax,20250129-20250129,14,2025-01-29T06:14:46.000,2460704.7602546294,-9,193,1999.515380859375,110.56514739990234
xyPcldmax,20250129-20250129,15,2025-01-29T06:28:42.000,2460704.7699305555,-9,214,1991.499267578125,126.56747436523438
xyPcldmax,20250129-20250129,16,2025-01-29T06:49:36.000,2460704.7844444443,-9,221,1988.7001953125,129.1256103515625
xyPcldmax,20250129-20250129,17,2025-01-29T06:49:36.000,2460704.7844444443,-9,231,1983.7349853515625,128.87789916992188
xyPcldmax,20250129-20250129,18,N/A,0.0,-6,306,1885.2197265625,109.78856658935547
xyPcldmax,20250129-20250129,19,2025-01-29T00:52:03.000,2460704.5361458333,-2,347,1989.0238037109375,116.63958740234375
xyPcldmax,20250129-20250129,20,2025-01-29T00:52:03.000,2460704.5361458333,0,352,1997.5758056640625,119.29132843017578
xyPcldmin,20250129-20250129,1,2025-01-29T01:54:38.057,2460704.579607143,-4,15,1796.15869140625,107.33851623535156
xyPcldmin,20250129-20250129,2,2025-01-29T02:03:06.857,2460704.585496032,9,26,1749.496337890625,104.69932556152344
xyPcldmin,20250129-20250129,3,2025-01-29T02:20:54.360,2460704.597851389,10,44,1707.689208984375,82.92410278320312
xyPcldmin,20250129-20250129,4,2025-01-29T02:35:43.731,2460704.608145032,6,53,1736.2581787109375,160.5736083984375
xyPcldmin,20250129-20250129,5,2025-01-29T03:10:58.800,2460704.632625,7,77,1799.8966064453125,101.8985366821289
xyPcldmin,20250129-20250129,6,2025-01-29T03:33:27.600,2460704.6482361113,8,90,1755.37060546875,110.79230499267578
xyPcldmin,20250129-20250129,7,2025-01-29T04:56:08.118,2460704.70564951,6,138,1583.540771484375,112.36598205566406
xyPcldmin,20250129-20250129,8,2025-01-29T04:57:16.560,2460704.706441667,-6,139,1758.7864990234375,117.89366149902344
xyPcldmin,20250129-20250129,9,2025-01-29T05:36:24.000,2460704.7336111115,6,167,1614.447265625,118.11758422851562
xyPcldmin,20250129-20250129,10,2025-01-29T06:14:46.000,2460704.7602546294,5,201,1640.6121826171875,119.11151885986328
xyPcldmin,20250129-20250129,11,2025-01-29T06:28:42.000,2460704.7699305555,8,207,1640.422119140625,108.9028549194336
xyPcldmin,20250129-20250129,12,2025-01-29T06:49:36.000,2460704.7844444443,10,230,1620.9530029296875,100.49994659423828
xyPcldmin,20250129-20250129,13,2025-01-29T00:41:06.000,2460704.5285416665,-4,310,1723.85595703125,115.9859848022461
xyPcldmin,20250129-20250129,14,2025-01-29T00:48:55.286,2460704.533973214,11,321,1638.4256591796875,91.18421173095703
xyPcldmin,20250129-20250129,15,2025-01-29T00:51:24.353,2460704.5356985293,5,324,1657.7392578125,131.0095672607422
