Type,No.,Lat,Lon,PCld,fNH3
xyfnh3max,1,7,12,1636.5108642578125,155.79727172851562
xyfnh3max,2,4,54,1848.2950439453125,147.46527099609375
xyfnh3max,3,3,76,1665.3636474609375,117.97014617919922
xyfnh3max,4,3,89,1747.8218994140625,120.12810516357422
xyfnh3max,5,-9,99,1686.1895751953125,116.28466796875
xyfnh3max,6,4,105,1637.8140869140625,151.81283569335938
xyfnh3max,7,5,113,1608.4976806640625,145.3427276611328
xyfnh3max,8,2,120,1753.998046875,146.37208557128906
xyfnh3max,9,3,135,1742.9044189453125,147.30601501464844
xyfnh3max,10,4,141,1878.83544921875,146.4184112548828
xyfnh3max,11,4,150,1895.3006591796875,146.2891082763672
xyfnh3max,12,-3,170,1746.6719970703125,121.95581817626953
xyfnh3max,13,3,188,1773.1890869140625,136.3213653564453
xyfnh3max,14,-4,195,1857.0181884765625,130.08154296875
xyfnh3max,15,-1,209,1774.572998046875,124.71534729003906
xyfnh3max,16,3,221,1744.5185546875,134.9841766357422
xyfnh3max,17,2,254,1689.30078125,132.2388916015625
xyfnh3max,18,4,277,1814.8685302734375,149.85556030273438
xyfnh3max,19,3,285,1743.174072265625,148.4849090576172
xyfnh3min,1,-7,16,1812.3114013671875,92.93505859375
xyfnh3min,2,-3,24,1628.9822998046875,92.03018951416016
xyfnh3min,3,-10,30,1753.7962646484375,89.31524658203125
xyfnh3min,4,-3,31,1628.197509765625,92.08676147460938
xyfnh3min,5,-10,46,1795.7430419921875,104.7338638305664
xyfnh3min,6,-10,55,1834.9237060546875,101.84840393066406
xyfnh3min,7,-10,76,1790.8267822265625,100.04837799072266
xyfnh3min,8,-5,86,1685.2537841796875,95.1155014038086
xyfnh3min,9,-5,97,1686.99658203125,100.85808563232422
xyfnh3min,10,-10,104,1703.9554443359375,96.82063293457031
xyfnh3min,11,-7,113,1713.666259765625,90.47260284423828
xyfnh3min,12,-5,160,1863.720947265625,108.95429229736328
xyfnh3min,13,-5,184,1785.3875732421875,110.77641296386719
xyPcldmax,1,8,55,1970.87646484375,132.52650451660156
xyPcldmax,2,9,83,1798.9140625,108.4302978515625
xyPcldmax,3,7,147,2021.780517578125,137.66986083984375
xyPcldmax,4,8,193,1967.96875,113.10404968261719
xyPcldmax,5,9,221,1846.0849609375,100.6829833984375
xyPcldmax,6,10,227,1839.93017578125,99.04670715332031
xyPcldmax,7,-10,230,1789.21142578125,116.37088775634766
xyPcldmax,8,-6,244,1796.5654296875,116.43113708496094
xyPcldmax,9,-7,251,1800.984375,118.55755615234375
xyPcldmax,10,-6,257,1808.7861328125,111.01547241210938
xyPcldmax,11,7,281,1853.4307861328125,137.3433074951172
xyPcldmin,1,7,7,1549.42333984375,131.63433837890625
xyPcldmin,2,0,19,1577.364990234375,113.64476013183594
xyPcldmin,3,-2,30,1592.2637939453125,100.03244018554688
xyPcldmin,4,2,42,1546.476806640625,116.01596069335938
xyPcldmin,5,-3,62,1695.1334228515625,111.62870788574219
xyPcldmin,6,0,76,1642.6341552734375,114.36514282226562
xyPcldmin,7,7,98,1603.3533935546875,119.12156677246094
xyPcldmin,8,-6,99,1634.534423828125,108.60697174072266
xyPcldmin,9,-3,112,1602.7890625,109.94554901123047
xyPcldmin,10,6,128,1552.0518798828125,114.78581237792969
xyPcldmin,11,5,173,1570.0174560546875,116.94869232177734
xyPcldmin,12,-1,222,1684.0596923828125,128.1038055419922
xyPcldmin,13,1,237,1708.113037109375,120.19284057617188
xyPcldmin,14,5,247,1627.491455078125,112.18841552734375
xyPcldmin,15,4,267,1673.62548828125,115.31564331054688
