Type,No.,Lat,Lon,PCld,fNH3
xyfnh3max,1,3,211,1727.7291259765625,122.7545394897461
xyfnh3max,2,-8,226,1848.377197265625,128.78683471679688
xyfnh3max,3,5,230,1725.1502685546875,139.47837829589844
xyfnh3max,4,4,238,1775.57470703125,144.0160369873047
xyfnh3max,5,4,274,1702.474609375,127.74820709228516
xyfnh3max,6,3,310,1796.327392578125,143.6040496826172
xyfnh3max,7,4,321,1821.3663330078125,140.33941650390625
xyfnh3max,8,-7,325,1844.7908935546875,123.40735626220703
xyfnh3max,9,4,348,1719.9306640625,138.1037139892578
xyfnh3max,10,4,355,1729.3131103515625,136.79107666015625
xyfnh3min,1,-5,208,1786.125244140625,97.78959655761719
xyfnh3min,2,-8,215,1879.9847412109375,103.4105224609375
xyfnh3min,3,-6,234,1741.98681640625,108.2345199584961
xyfnh3min,4,-5,275,1709.4283447265625,112.37532043457031
xyfnh3min,5,-5,294,1707.109375,103.93490600585938
xyfnh3min,6,-5,300,1714.997802734375,104.97235870361328
xyfnh3min,7,-7,339,1833.2100830078125,111.20079040527344
xyfnh3min,8,-9,347,1776.4656982421875,111.39066314697266
xyPcldmax,1,11,247,1863.8106689453125,106.0752182006836
xyPcldmax,2,8,259,1853.254638671875,120.37873077392578
xyPcldmax,3,10,289,1842.806396484375,105.4023208618164
xyPcldmax,4,3,309,1815.806884765625,142.54397583007812
xyPcldmax,5,7,319,1900.4044189453125,126.2214126586914
xyPcldmax,6,7,327,1910.160888671875,121.66667175292969
xyPcldmax,7,11,346,2041.56591796875,103.65860748291016
xyPcldmin,1,-1,208,1694.1435546875,103.78431701660156
xyPcldmin,2,11,209,1731.9595947265625,89.26908874511719
xyPcldmin,3,-1,219,1661.17431640625,118.75309753417969
xyPcldmin,4,-1,230,1658.119873046875,117.24879455566406
xyPcldmin,5,6,250,1709.2037353515625,128.22434997558594
xyPcldmin,6,0,253,1705.576171875,124.99662780761719
xyPcldmin,7,1,262,1686.7935791015625,121.31700134277344
xyPcldmin,8,-1,283,1632.1290283203125,117.00834655761719
xyPcldmin,9,3,299,1655.084716796875,130.04388427734375
xyPcldmin,10,5,304,1672.893310546875,135.05384826660156
xyPcldmin,11,-5,309,1675.8072509765625,122.10875701904297
xyPcldmin,12,0,338,1669.4156494140625,122.57575988769531
xyPcldmin,13,1,349,1673.19384765625,128.11907958984375
xyPcldmin,14,-3,354,1664.440673828125,117.95207977294922
