label,area,eccentricity,seg_intensity_max,seg_intensity_mean,seg_intensity_min,intensity_max,intensity_mean,intensity_min,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,jd_time,fits_time
1,279.0,0.943185342196482,1749.4037214245939,1674.8283455582934,1581.1259787900128,151.17008544072394,95.64661448335542,66.20643172718448,7.469534050179211,32.97491039426524,7.478288003287827,32.9102060114441,2460681.619152778,2025-01-06T02:51:34.800
2,106.0,0.810933105101896,1749.9619622932144,1699.4612631340992,1635.037829619314,137.1003934774573,106.59819522187043,77.10182139434951,6.575471698113208,85.00943396226415,6.582515014312406,84.99503038383426,2460681.680125,2025-01-06T04:19:22.800
3,208.0,0.9185989994661435,1749.644521264251,1654.1615131532026,1523.3713166652888,161.9800156262908,108.96414958811168,71.38024345014252,6.3125,132.03846153846155,6.312493483991505,131.96905122011844,2460681.737197628,2025-01-06T05:41:33.875
4,106.0,0.8775591146508526,1749.0870702153172,1667.3730232333755,1542.0743321937339,147.6599441441407,108.81485359892386,85.64114078895891,7.037735849056604,162.53773584905662,7.0472672915366,162.51100370416688,2460681.767975,2025-01-06T06:25:53.040
5,59.0,0.614377929755579,1745.6729753103718,1721.0904679814396,1686.4147821264794,114.4223517632471,96.09070330768829,82.77803553184195,8.033898305084746,191.25423728813558,8.031340584010703,191.24960203342604,2460681.786875,2025-01-06T06:53:06.000
