label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max
1,2459841.70375,2022-09-19T04:53:24.000,1.0,0,2.0,8.0,2.0,8.0,135.4565135711249,135.4565135711249,135.4565135711249,1817.3515605555694,1817.3515605555694,1817.3515605555694
2,2459841.70375,2022-09-19T04:53:24.000,2.0,1.0,2.0,12.5,2.0,12.500387676891705,136.23310546350996,136.12747660976777,136.33873431725218,1849.5059317691484,1847.7558566355049,1851.2560069027918
3,2459841.70375,2022-09-19T04:53:24.000,17.0,0.871285366863212,5.705882352941176,17.29411764705884,5.704978940519261,17.290403879828148,137.01179980035954,135.3821579599149,139.9663467014355,1944.0035319078404,1857.3759413272373,1986.8031810753012
4,2459841.70375,2022-09-19T04:53:24.000,1.0,0,4.0,47.0,4.0,47.0,136.00503901925214,136.00503901925214,136.00503901925214,1741.6734276176162,1741.6734276176162,1741.6734276176162
5,2459841.70375,2022-09-19T04:53:24.000,1.0,0,6.0,48.0,6.0,48.0,138.30391482206417,138.30391482206417,138.30391482206417,1735.7810576957534,1735.7810576957534,1735.7810576957534
6,2459841.70375,2022-09-19T04:53:24.000,1.0,0,4.0,50.0,4.0,50.0,135.60125560479975,135.60125560479975,135.60125560479975,1721.388012035917,1721.388012035917,1721.388012035917
7,0.0,-04713-11-24T12:00:00.000,6.0,0.9540412227916737,-12.0,303.5,-11.995144041201382,303.4883584076591,136.77893751165536,135.1591418570776,140.026410935172,1865.4266170072924,1814.996431375626,1890.0521014736937
8,2459841.661319445,2022-09-19T03:52:18.000,96.0,0.9430236093476165,4.59375,309.3333333333333,4.59897531588185,309.3496665063435,149.47696145057085,135.1113781477079,168.3735564733721,1739.066246243273,1563.8760437412532,1893.0118693830802
9,2459841.6613194444,2022-09-19T03:52:18.000,1.0,0,-8.0,313.0,-8.0,313.0,160.52133150654086,160.52133150654086,160.52133150654086,1950.0462955890694,1950.0462955890694,1950.0462955890694
10,2459841.6613194444,2022-09-19T03:52:18.000,95.0,0.9916754335667268,-11.284210526315789,321.38947368421054,-11.280475275914082,321.3751790107156,140.02092601988497,135.1719347724477,147.35856756729297,2011.6958964693051,1894.6517551441173,2107.2081120056823
11,2459841.6613194444,2022-09-19T03:52:18.000,156.0,0.986393885116968,4.564102564102564,345.2948717948718,4.580134468596368,345.28807080661556,150.08926667342445,135.16018241736668,168.55036019459922,1767.9857934991269,1557.2195974766705,1975.1377681251756
12,2459841.6613194444,2022-09-19T03:52:18.000,22.0,0.6915738990919925,-12.227272727272727,351.45454545454544,-12.239323848501378,351.45031604271435,138.68637594917416,135.13417000473834,143.58759466391365,2023.0216636636223,1924.8810362624147,2098.7022517393398
