Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20241027-20241027,1,N/A,0.0,5,77,1673.8463134765625,95.1544418334961
xyfnh3max,20241027-20241027,2,2024-10-27T05:13:06.000,2460610.7174305557,-3,81,1854.8759765625,94.90398406982422
xyfnh3max,20241027-20241027,3,2024-10-27T05:13:06.000,2460610.7174305557,3,86,1759.7998046875,95.24384307861328
xyfnh3max,20241027-20241027,4,2024-10-27T05:20:36.000,2460610.7226388888,-1,93,1830.7587890625,101.44495391845703
xyfnh3max,20241027-20241027,5,2024-10-27T05:34:12.923,2460610.732094017,1,111,1832.786865234375,99.9977798461914
xyfnh3max,20241027-20241027,6,2024-10-27T05:46:06.000,2460610.7403472224,6,138,1875.502685546875,123.07221984863281
xyfnh3max,20241027-20241027,7,2024-10-27T06:22:44.400,2460610.7657916667,3,156,1752.466552734375,110.05907440185547
xyfnh3max,20241027-20241027,8,2024-10-27T07:02:04.500,2460610.793107639,6,183,1872.17578125,134.2267303466797
xyfnh3max,20241027-20241027,9,2024-10-27T07:20:41.707,2460610.8060382796,4,192,1829.93359375,126.7829360961914
xyfnh3max,20241027-20241027,10,2024-10-27T07:29:15.000,2460610.8119791667,5,197,1854.8238525390625,128.3942108154297
xyfnh3max,20241027-20241027,11,2024-10-27T07:29:15.000,2460610.8119791667,2,207,1907.806884765625,123.74143981933594
xyfnh3max,20241027-20241027,12,2024-10-27T08:28:33.000,2460610.853159722,4,230,1955.9031982421875,104.79692840576172
xyfnh3max,20241027-20241027,13,2024-10-27T08:28:33.000,2460610.853159722,4,237,1894.4705810546875,103.2396240234375
xyfnh3max,20241027-20241027,14,2024-10-27T08:45:14.400,2460610.8647499997,6,255,1988.3736572265625,111.5909423828125
xyfnh3max,20241027-20241027,15,2024-10-27T08:59:48.000,2460610.874861111,-4,260,2001.3951416015625,99.27566528320312
xyfnh3max,20241027-20241027,16,2024-10-27T08:59:48.000,2460610.874861111,2,268,1918.0914306640625,96.58036041259766
xyfnh3max,20241027-20241027,17,2024-10-27T08:59:48.000,2460610.874861111,3,274,1850.26025390625,96.26568603515625
xyfnh3min,20241027-20241027,1,2024-10-27T05:13:06.000,2460610.7174305557,-3,83,1789.5673828125,74.90850067138672
xyfnh3min,20241027-20241027,2,2024-10-27T05:46:06.000,2460610.7403472224,-10,132,1862.6480712890625,75.52592468261719
xyfnh3min,20241027-20241027,3,2024-10-27T05:59:01.200,2460610.7493194444,-7,145,1808.629150390625,69.18695831298828
xyfnh3min,20241027-20241027,4,2024-10-27T06:23:50.727,2460610.7665593433,-7,161,1834.1590576171875,77.48420715332031
xyfnh3min,20241027-20241027,5,2024-10-27T08:42:28.000,2460610.862824074,-5,252,1887.7388916015625,81.95671844482422
xyfnh3min,20241027-20241027,6,2024-10-27T08:59:48.000,2460610.874861111,-7,265,2005.8846435546875,87.89700317382812
xyfnh3min,20241027-20241027,7,2024-10-27T08:59:48.000,2460610.874861111,10,268,1818.70703125,79.73970031738281
xyfnh3min,20241027-20241027,8,2024-10-27T08:59:48.000,2460610.874861111,-6,270,1987.3970947265625,86.98456573486328
xyfnh3min,20241027-20241027,9,2024-10-27T09:01:06.750,2460610.8757725693,-4,280,1877.923583984375,84.81442260742188
xyfnh3min,20241027-20241027,10,2024-10-27T09:10:18.000,2460610.8821527776,-9,287,1944.0758056640625,87.35087585449219
xyPcldmax,20241027-20241027,1,2024-10-27T05:13:06.000,2460610.7174305557,-3,81,1854.8759765625,94.90398406982422
xyPcldmax,20241027-20241027,2,2024-10-27T05:13:06.000,2460610.7174305557,-9,92,1914.5888671875,75.40165710449219
xyPcldmax,20241027-20241027,3,2024-10-27T05:23:36.000,2460610.7247222224,-3,102,1876.8934326171875,85.9239730834961
xyPcldmax,20241027-20241027,4,2024-10-27T05:33:15.600,2460610.7314305557,-2,110,1879.078857421875,94.5260238647461
