Label,Extrema_Type,Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
NH3,maxima,0,N/A,0.0,56,318,4,42,141.05996243859883,1706.7692356889586,0.45098039507865906
NH3,maxima,1,2025-01-17T01:04:36.000,2460692.5448611113,55,309,5,51,139.5286087217272,1764.7618095958014,0.47019608020782466
NH3,maxima,2,2025-01-17T01:12:57.600,2460692.550666667,73,304,-13,56,105.45490878370224,1810.839180095716,0.4941176652908325
NH3,maxima,3,N/A,0.0,86,303,-26,57,103.22649544437851,1684.33190796496,0.42892157286405563
NH3,maxima,4,2025-01-17T01:13:44.625,2460692.551210938,54,303,6,57,137.92864056452734,1836.0143670182379,0.47205882519483566
NH3,maxima,5,2025-01-17T01:15:03.000,2460692.5521180555,55,298,5,62,137.18188852061817,1831.244998353553,0.5000000149011612
NH3,maxima,6,N/A,0.0,87,289,-27,71,103.73735662733881,1688.7032656069493,0.4345399737358093
NH3,maxima,7,2025-01-17T01:25:30.000,2460692.559375,55,285,5,75,145.58702383457705,1850.439742979993,0.5372549196084341
NH3,maxima,8,2025-01-17T01:46:24.000,2460692.573888889,56,254,4,106,135.3371092709425,1864.3724668148138,0.5195678533339987
NH3,maxima,9,2025-01-17T02:16:15.808,2460692.594627404,22,238,38,122,121.98114244236872,1630.9842571486822,0.42797888815402985
NH3,maxima,10,2025-01-17T02:50:07.200,2460692.618138889,19,216,41,144,133.90490087929982,1659.0436659842287,0.39871949383190697
NH3,maxima,11,2025-01-17T03:01:41.434,2460692.6261740043,55,211,5,149,139.8693488805577,1802.1834982746873,0.5660377572167594
NH3,maxima,12,2025-01-17T03:18:46.588,2460692.638039216,70,201,-10,159,115.92187587423469,1937.517664399759,0.5040369244182811
NH3,maxima,13,2025-01-17T03:32:36.000,2460692.6476388886,72,190,-12,170,112.42994668640998,1976.087479329649,0.4800000011920929
NH3,maxima,14,2025-01-17T03:32:36.000,2460692.6476388886,62,188,-2,172,123.44345730246516,1906.5064775656185,0.5333333551883698
NH3,maxima,15,2025-01-17T03:43:03.000,2460692.654895833,72,181,-12,179,111.0484526863787,1978.7570410502567,0.4916666805744171
NH3,maxima,16,2025-01-17T03:43:03.000,2460692.654895833,54,175,6,185,132.91830118262567,1899.0995668657538,0.511764720082283
NH3,maxima,17,2025-01-17T04:13:16.500,2460692.675885417,20,161,40,199,112.40137558254278,1617.7946006607403,0.40294118225574493
NH3,maxima,18,2025-01-17T05:33:30.000,2460692.7315972224,55,130,5,230,156.8176000217808,1861.2253359891024,0.541288535935538
NH3,maxima,19,N/A,0.0,98,126,-38,234,128.9995789873251,1608.0684839356443,0.41579832434654235
NH3,maxima,20,2025-01-17T06:05:39.000,2460692.7539236112,57,88,3,272,139.30498231093682,1839.5019745971542,0.5284314006567001
NH3,maxima,21,N/A,0.0,94,80,-34,280,110.25469394528132,1501.0517539978403,0.42640523314476014
NH3,maxima,22,N/A,0.0,85,79,-25,281,106.100961984439,1567.9483756310476,0.5094117820262909
NH3,maxima,23,N/A,0.0,98,75,-38,285,109.64120023392148,1516.628213869108,0.3890426825074589
NH3,maxima,24,N/A,0.0,82,70,-22,290,107.87377566351236,1616.403077656962,0.4808349330579081
NH3,maxima,25,2025-01-17T06:52:14.000,2460692.7862731484,57,65,3,295,129.35227239911637,1867.7614435916755,0.46666666865348816
NH3,maxima,26,N/A,0.0,104,65,-44,295,113.10586803706401,1546.5881233052987,0.3464052379131317
NH3,maxima,27,N/A,0.0,97,63,-37,297,111.87048685375146,1534.714870633269,0.3843137323856354
NH3,maxima,28,N/A,0.0,88,61,-28,299,110.29798607962476,1569.866896999575,0.4586727023124695
NH3,maxima,29,2025-01-17T07:10:39.000,2460692.7990625,71,49,-11,311,119.84998216127804,1841.9604914228614,0.4431372582912445
NH3,maxima,30,2025-01-17T07:42:00.000,2460692.8208333333,59,39,1,321,135.0692114842449,1840.3030997786711,0.48627451062202454
NH3,maxima,31,N/A,0.0,77,39,-17,321,127.75410645340956,1767.6093645835172,0.43529412150382996
NH3,maxima,32,N/A,0.0,103,36,-43,324,123.91670351030183,1572.3361084356548,0.33725491166114807
NH3,maxima,33,N/A,0.0,98,34,-38,326,127.00171961282076,1615.1598397255286,0.3607843220233917
NH3,maxima,34,2025-01-17T07:42:00.000,2460692.8208333333,7,29,53,331,103.06226522271925,1787.9319028069465,0.2980392277240753
NH3,maxima,35,2025-01-17T07:42:00.000,2460692.8208333333,67,26,-7,334,122.3714718362574,1839.35978019655,0.47843137383461
NH3,maxima,36,N/A,0.0,97,25,-37,335,129.2167839370241,1629.9484987637115,0.35686275362968445
NH3,maxima,37,N/A,0.0,79,24,-19,336,122.5749491264421,1729.08779601736,0.4313725531101227
NH3,maxima,38,N/A,0.0,111,12,-51,348,133.96898910398087,1662.6369233029548,0.2549019753932953
NH3,maxima,39,2025-01-17T07:42:00.000,2460692.8208333333,55,9,5,351,140.77294213931904,1758.0434165036334,0.3843137323856354
NH3,maxima,40,2025-01-17T07:42:00.000,2460692.8208333333,72,8,-12,352,128.877598723307,1849.4316770613361,0.35686275362968445
NH3,minima,0,N/A,0.0,105,321,-45,39,55.72171298402165,1672.6203778286022,0.3294117748737335
NH3,minima,1,N/A,0.0,42,321,18,39,59.44907852206838,1707.0454074521544,0.4000000059604645
NH3,minima,2,2025-01-17T01:04:36.000,2460692.5448611113,44,316,16,44,60.641450288609754,1719.6421162648076,0.43529412150382996
NH3,minima,3,N/A,0.0,80,316,-20,44,75.92258573480845,1730.662869365785,0.5058823823928833
NH3,minima,4,N/A,0.0,105,309,-45,51,61.059663716813766,1629.0834691601399,0.36549020409584043
NH3,minima,5,N/A,0.0,112,297,-52,63,77.3236115144733,1656.5885969359106,0.3019607961177826
NH3,minima,6,N/A,0.0,81,297,-21,63,82.46007030328482,1708.114777036145,0.5803921818733215
