Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20221019-20221021,1,2022-10-20T03:50:30.000,2459872.660069444,4,19,1794.78466796875,131.9962615966797
xyfnh3max,20221019-20221021,2,2022-10-20T03:50:30.000,2459872.660069444,-7,28,1797.602294921875,112.63505554199219
xyfnh3max,20221019-20221021,3,2022-10-19T03:42:24.000,2459871.6544444445,5,45,1850.3133544921875,130.60243225097656
xyfnh3max,20221019-20221021,4,2022-10-19T03:42:24.000,2459871.6544444445,2,53,1759.328125,126.89857482910156
xyfnh3max,20221019-20221021,5,2022-10-19T03:42:24.000,2459871.6544444445,7,68,1881.789306640625,127.14947509765625
xyfnh3max,20221019-20221021,6,N/A,0.0,3,192,1756.4539794921875,125.55770874023438
xyfnh3max,20221019-20221021,7,2022-10-20T04:40:24.000,2459872.694722222,-5,206,1808.887451171875,124.72447204589844
xyfnh3max,20221019-20221021,8,2022-10-20T04:40:24.000,2459872.694722222,3,217,1793.3533935546875,145.37005615234375
xyfnh3max,20221019-20221021,9,2022-10-20T04:40:24.000,2459872.694722222,3,234,1839.597900390625,138.51553344726562
xyfnh3max,20221019-20221021,10,2022-10-20T04:40:24.000,2459872.694722222,3,255,1697.96044921875,141.27244567871094
xyfnh3min,20221019-20221021,1,2022-10-20T03:50:30.000,2459872.660069444,-3,6,1654.523193359375,86.53972625732422
xyfnh3min,20221019-20221021,2,2022-10-20T03:50:30.000,2459872.660069444,-5,18,1713.7373046875,92.31139373779297
xyfnh3min,20221019-20221021,3,2022-10-20T03:50:30.000,2459872.660069444,8,31,1700.29736328125,89.99974060058594
xyfnh3min,20221019-20221021,4,2022-10-19T03:42:24.000,2459871.6544444445,0,44,1774.84228515625,102.83926391601562
xyfnh3min,20221019-20221021,5,2022-10-19T03:42:24.000,2459871.6544444445,-2,51,1751.0513916015625,102.05780792236328
xyfnh3min,20221019-20221021,6,2022-10-19T03:42:24.000,2459871.6544444445,9,56,1816.130615234375,87.92512512207031
xyfnh3min,20221019-20221021,7,2022-10-19T03:42:24.000,2459871.6544444445,-2,60,1717.8201904296875,104.30085754394531
xyfnh3min,20221019-20221021,8,2022-10-19T03:42:24.000,2459871.6544444445,-2,69,1655.8883056640625,100.49886322021484
xyfnh3min,20221019-20221021,9,N/A,0.0,-1,190,1734.3187255859375,104.71172332763672
xyfnh3min,20221019-20221021,10,N/A,0.0,-8,192,1907.75,106.5168228149414
xyfnh3min,20221019-20221021,11,2022-10-20T04:40:24.000,2459872.694722222,-8,218,1892.468017578125,111.12971496582031
xyfnh3min,20221019-20221021,12,2022-10-20T04:40:24.000,2459872.694722222,-7,229,1906.4984130859375,109.46831512451172
xyfnh3min,20221019-20221021,13,2022-10-20T04:40:24.000,2459872.694722222,-8,239,1942.21142578125,110.66004943847656
xyfnh3min,20221019-20221021,14,2022-10-20T04:40:24.000,2459872.694722222,-9,247,1909.896728515625,108.17310333251953
xyPcldmax,20221019-20221021,1,2022-10-19T03:42:24.000,2459871.6544444445,10,52,1926.254150390625,101.83863067626953
xyPcldmax,20221019-20221021,2,2022-10-19T03:42:24.000,2459871.6544444445,11,65,1913.396728515625,107.583740234375
xyPcldmax,20221019-20221021,3,N/A,0.0,-10,190,1980.4805908203125,112.17381286621094
xyPcldmax,20221019-20221021,4,2022-10-20T04:40:24.000,2459872.694722222,3,196,1824.7984619140625,121.49494171142578
xyPcldmax,20221019-20221021,5,2022-10-20T04:40:24.000,2459872.694722222,7,223,2016.0521240234375,129.0386962890625
xyPcldmax,20221019-20221021,6,2022-10-20T04:40:24.000,2459872.694722222,-9,236,1990.9537353515625,113.95995330810547
xyPcldmax,20221019-20221021,7,2022-10-20T04:40:24.000,2459872.694722222,7,240,1883.2528076171875,120.76419830322266
xyPcldmin,20221019-20221021,1,2022-10-20T03:50:30.000,2459872.660069444,-1,16,1604.3468017578125,94.89535522460938
xyPcldmin,20221019-20221021,2,2022-10-20T03:50:30.000,2459872.660069444,0,26,1654.6580810546875,106.36358642578125
xyPcldmin,20221019-20221021,3,2022-10-20T02:25:19.059,2459872.600915033,6,34,1644.7926025390625,101.3719253540039
xyPcldmin,20221019-20221021,4,2022-10-19T23:00:52.800,2459872.4589444445,-1,36,1647.05517578125,112.1406478881836
xyPcldmin,20221019-20221021,5,2022-10-19T03:42:24.000,2459871.6544444445,-1,56,1676.7208251953125,108.12200164794922
xyPcldmin,20221019-20221021,6,2022-10-19T03:42:24.000,2459871.6544444445,-3,69,1620.9691162109375,105.99537658691406
xyPcldmin,20221019-20221021,7,N/A,0.0,0,190,1706.968505859375,110.46671295166016
xyPcldmin,20221019-20221021,8,N/A,0.0,7,190,1712.4482421875,104.14097595214844
xyPcldmin,20221019-20221021,9,2022-10-20T04:40:24.000,2459872.694722222,-1,195,1722.79833984375,117.7215576171875
xyPcldmin,20221019-20221021,10,2022-10-20T04:40:24.000,2459872.694722222,5,206,1674.729736328125,124.5091781616211
xyPcldmin,20221019-20221021,11,2022-10-20T04:40:24.000,2459872.694722222,1,216,1741.0823974609375,131.7918243408203
xyPcldmin,20221019-20221021,12,2022-10-20T04:40:24.000,2459872.694722222,-2,223,1743.49169921875,124.99275970458984
xyPcldmin,20221019-20221021,13,2022-10-20T04:40:24.000,2459872.694722222,8,252,1682.223388671875,107.29331970214844
xyPcldmin,20221019-20221021,14,2022-10-20T04:40:24.000,2459872.694722222,1,264,1606.044189453125,135.8328094482422
